NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DYNC2LI1	191	2.442026376724243	0.06389416	Yes	
row_1	ACTR10	195	2.437605142593384	0.13904217	Yes	
row_2	BUB1	352	2.0493004322052	0.19292042	Yes	
row_3	DYNC1I2	551	1.823386311531067	0.23727252	Yes	
row_4	DYNLL2	576	1.8036925792694092	0.29155827	Yes	
row_5	PAFAH1B1	986	1.5540896654129028	0.31480423	Yes	
row_6	SPDL1	1117	1.4752575159072876	0.352518	Yes	
row_7	DYNLT1	1211	1.4364213943481445	0.39127335	Yes	
row_8	DCTN6	1799	1.2164438962936401	0.39330038	Yes	
row_9	ZWILCH	2292	1.0569835901260376	0.3961554	Yes	
row_10	DCTN5	2428	1.0239496231079102	0.41961938	Yes	
row_11	NDE1	2646	0.9690292477607727	0.43641794	Yes	
row_12	CENPF	2724	0.9507784247398376	0.4611348	Yes	
row_13	DCTN1	2794	0.9344712495803833	0.48583236	Yes	
row_14	DCTN4	3176	0.8503129482269287	0.48902583	Yes	
row_15	DYNLRB1	3177	0.8496522307395935	0.5152828	Yes	
row_16	DYNC1LI2	3391	0.8038539290428162	0.5272193	Yes	
row_17	DYNC1LI1	3454	0.7912907004356384	0.54791623	Yes	
row_18	DYNLL1	4186	0.6466732621192932	0.5236109	No	
row_19	DCTN2	4511	0.5856668949127197	0.52207947	No	
row_20	ZW10	5750	0.3625347912311554	0.45827538	No	
row_21	DCTN3	5841	0.3482176661491394	0.46358353	No	
row_22	ACTR1A	5854	0.3460596799850464	0.47355083	No	
row_23	DYNC2H1	9461	-0.31854942440986633	0.2649158	No	
row_24	DYNLT3	10068	-0.4552459716796875	0.24226819	No	
row_25	KNTC1	10727	-0.6116480827331543	0.22130336	No	
row_26	NDEL1	11115	-0.7077400088310242	0.21972735	No	
row_27	DYNC1I1	13696	-1.5449085235595703	0.11115369	No	
row_28	DYNC1H1	14609	-1.9633251428604126	0.116570726	No	
