NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	0.20565638	Yes	
row_1	MNAT1	1423	1.3510006666183472	0.21092726	Yes	
row_2	GTF2H2	1743	1.236889123916626	0.27260363	Yes	
row_3	GTF2H5	1788	1.2200597524642944	0.3498285	Yes	
row_4	RAD23B	1853	1.1972403526306152	0.42434826	Yes	
row_5	CETN2	1855	1.1971596479415894	0.5026772	Yes	
row_6	XPC	3151	0.8550590872764587	0.4802573	Yes	
row_7	ERCC2	3390	0.8039829134941101	0.5184915	Yes	
row_8	GTF2H3	3904	0.6977756023406982	0.53312075	Yes	
row_9	CUL4A	4721	0.5482906699180603	0.51961595	Yes	
row_10	CCNH	4811	0.5332558155059814	0.54914457	Yes	
row_11	ERCC3	4816	0.5325030088424683	0.58377045	Yes	
row_12	RBX1	4848	0.5264285206794739	0.6163638	Yes	
row_13	DDB1	5181	0.4713648855686188	0.6271269	Yes	
row_14	CDK7	6959	0.15181496739387512	0.529475	No	
row_15	GTF2H1	7548	0.04789484292268753	0.49700928	No	
row_16	RAD23A	8984	-0.2216036468744278	0.42463434	No	
row_17	GTF2H4	10226	-0.49446141719818115	0.3818722	No	
