NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F2R	1052	1.5098055601119995	-0.03257605	No	
row_1	GNAQ	2308	1.0531238317489624	-0.08688683	No	
row_2	CXCR4	2411	1.0285329818725586	-0.07182669	No	
row_3	ITPR2	3382	0.8065460324287415	-0.113957234	No	
row_4	GRPR	3911	0.6964762210845947	-0.13157314	No	
row_5	AGTR1	7037	0.13931934535503387	-0.31808975	No	
row_6	HTR2A	7346	0.08380264043807983	-0.33502567	No	
row_7	CHRM3	8112	-0.05687687173485756	-0.38021466	No	
row_8	GNA14	8590	-0.14667516946792603	-0.40609452	No	
row_9	TACR1	9027	-0.23008319735527039	-0.42776692	No	
row_10	CHRM1	9049	-0.23478329181671143	-0.42419073	No	
row_11	EDNRB	9642	-0.36179018020629883	-0.4525976	No	
row_12	OXTR	10194	-0.486490398645401	-0.47594422	No	
row_13	GNA11	10425	-0.541606068611145	-0.478698	No	
row_14	HRH1	10746	-0.615208625793457	-0.48538622	No	
row_15	ADRA1A	11808	-0.8859832286834717	-0.5313913	No	
row_16	GRM5	12194	-0.9962438344955444	-0.5341496	No	
row_17	NTSR1	13451	-1.437056541442871	-0.58059174	Yes	
row_18	ITPR1	13491	-1.4561443328857422	-0.5528821	Yes	
row_19	PLCB3	13784	-1.5846507549285889	-0.53785175	Yes	
row_20	LTB4R2	14125	-1.7328050136566162	-0.52267075	Yes	
row_21	ADRA1D	14175	-1.7579153776168823	-0.4893348	Yes	
row_22	AVPR1A	14402	-1.8614734411239624	-0.46458736	Yes	
row_23	PTAFR	14476	-1.8936372995376587	-0.42990294	Yes	
row_24	PTGER1	14676	-1.9939156770706177	-0.40078384	Yes	
row_25	GRM1	14835	-2.091409206390381	-0.3671664	Yes	
row_26	TBXA2R	14931	-2.155005931854248	-0.32841733	Yes	
row_27	ITPR3	15245	-2.3793013095855713	-0.2982481	Yes	
row_28	ADRA1B	15469	-2.5450212955474854	-0.25920174	Yes	
row_29	BDKRB1	15507	-2.5758888721466064	-0.20824517	Yes	
row_30	EDNRA	15822	-2.8734564781188965	-0.16793092	Yes	
row_31	PLCB1	15913	-2.96479868888855	-0.11215444	Yes	
row_32	PLCB4	16124	-3.3665199279785156	-0.05535407	Yes	
row_33	BDKRB2	16296	-3.8775219917297363	0.014363497	Yes	
