NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	129	2.6674349308013916	0.0483358	Yes	
row_1	NDUFA4	341	2.064725160598755	0.07900363	Yes	
row_2	COA5	494	1.8869459629058838	0.109509304	Yes	
row_3	NDUFA1	713	1.7047209739685059	0.13217196	Yes	
row_4	NDUFAF4	752	1.68064284324646	0.16525327	Yes	
row_5	COX16	785	1.659937858581543	0.19826278	Yes	
row_6	NDUFS2	1133	1.4678950309753418	0.20810875	Yes	
row_7	COX6B1	1220	1.433395266532898	0.23307048	Yes	
row_8	NDUFA13	1226	1.429498553276062	0.26286668	Yes	
row_9	UQCRC2	1315	1.3962167501449585	0.28692418	Yes	
row_10	ATP5F1A	1449	1.3397704362869263	0.30706173	Yes	
row_11	ATP5PO	1652	1.2731819152832031	0.321609	Yes	
row_12	NDUFB3	1820	1.2086119651794434	0.33692113	Yes	
row_13	SDHC	1908	1.1792967319488525	0.3564718	Yes	
row_14	UQCRB	2089	1.1158593893051147	0.36904183	Yes	
row_15	NDUFA12	2154	1.0964772701263428	0.38824472	Yes	
row_16	NDUFAF6	2209	1.0821391344070435	0.4077527	Yes	
row_17	NDUFV2	2274	1.0627366304397583	0.42624512	Yes	
row_18	UQCRFS1	3968	0.6852594614028931	0.3379123	No	
row_19	NDUFA6	4268	0.6294581890106201	0.33301753	No	
row_20	NDUFAF1	4394	0.6088711023330688	0.33825073	No	
row_21	NDUFA8	4745	0.5441364049911499	0.32846382	No	
row_22	COX4I1	4773	0.5394724011421204	0.33818418	No	
row_23	NDUFC2	5389	0.4291030168533325	0.30989015	No	
row_24	SDHD	5455	0.4170844554901123	0.31472695	No	
row_25	NDUFS1	5644	0.3831782639026642	0.311384	No	
row_26	COX10	5985	0.32200929522514343	0.29752693	No	
row_27	NDUFB9	6068	0.3071776032447815	0.29901764	No	
row_28	NDUFA11	6201	0.2804919183254242	0.2969116	No	
row_29	NDUFA10	6732	0.18902741372585297	0.26872182	No	
row_30	COA3	6903	0.1615303009748459	0.26180434	No	
row_31	NDUFS3	6923	0.1583852618932724	0.26398608	No	
row_32	COA6	7002	0.14487320184707642	0.2623021	No	
row_33	COX20	7133	0.12234071642160416	0.25698736	No	
row_34	NDUFAF5	7611	0.035456448793411255	0.22878098	No	
row_35	NDUFA2	7706	0.01603703945875168	0.22341305	No	
row_36	NDUFAF2	7714	0.0146485585719347	0.2232966	No	
row_37	SDHA	7720	0.012429258786141872	0.22325483	No	
row_38	COX5A	7844	-0.01035633310675621	0.21600704	No	
row_39	NDUFB8	7963	-0.027326857671141624	0.20942007	No	
row_40	ATP5F1E	8568	-0.1422165483236313	0.17575298	No	
row_41	COX14	8573	-0.14313305914402008	0.17852402	No	
row_42	NDUFV1	8956	-0.21636375784873962	0.15989316	No	
row_43	COX15	9091	-0.24418458342552185	0.1569012	No	
row_44	NDUFB10	9288	-0.2862700819969177	0.15103212	No	
row_45	NDUFS6	9362	-0.302914023399353	0.15297936	No	
row_46	NDUFB11	9533	-0.33498790860176086	0.14971425	No	
row_47	UQCRQ	9649	-0.36338818073272705	0.15038553	No	
row_48	COX8A	9908	-0.4201938211917877	0.14357309	No	
row_49	SDHB	10275	-0.5059407949447632	0.13201076	No	
row_50	NDUFB7	10563	-0.5773200392723083	0.12674655	No	
row_51	CYC1	11779	-0.8791632652282715	0.071510226	No	
row_52	NDUFAF8	12009	-0.9444234371185303	0.077496275	No	
row_53	COX11	12473	-1.0908288955688477	0.072361715	No	
row_54	NDUFAF3	12720	-1.1736979484558105	0.08214354	No	
row_55	NDUFS8	12826	-1.2135156393051147	0.10132218	No	
row_56	NDUFA9	14158	-1.7505879402160645	0.057393707	No	
row_57	ATP5F1D	14579	-1.9424126148223877	0.07280022	No	
row_58	NDUFS7	14960	-2.1724319458007812	0.095477976	No	
