NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDGFRA	72	2.970909357070923	0.04828773	No	
row_1	FGF1	74	2.951002836227417	0.10052778	No	
row_2	PDGFA	1601	1.2870765924453735	0.03080895	No	
row_3	FGF2	2196	1.085899829864502	0.014036911	No	
row_4	ERBB3	2777	0.9379186630249023	-0.0045089056	No	
row_5	FGF7	3034	0.8827425241470337	-0.00438672	No	
row_6	ITPR2	3382	0.8065460324287415	-0.011132793	No	
row_7	ERBB4	5018	0.49991941452026367	-0.101411685	No	
row_8	EGFR	5398	0.42741426825523376	-0.11681745	No	
row_9	GDNF	5715	0.3682883679866791	-0.12945108	No	
row_10	FGFR2	6501	0.22841709852218628	-0.17300168	No	
row_11	ERBB2	6627	0.20452646911144257	-0.17695628	No	
row_12	FGFR3	6652	0.2012261152267456	-0.17484519	No	
row_13	PDGFC	7014	0.1428482085466385	-0.19420289	No	
row_14	NTRK3	7642	0.02893349900841713	-0.23170854	No	
row_15	EGF	8176	-0.07010498642921448	-0.26278475	No	
row_16	NTRK1	9969	-0.4336557686328888	-0.36375782	No	
row_17	PLCG1	10093	-0.4626263380050659	-0.36301684	No	
row_18	VEGFD	10364	-0.5250389575958252	-0.37008315	No	
row_19	VEGFA	10669	-0.5986935496330261	-0.37790567	No	
row_20	FGFR1	11465	-0.8048259615898132	-0.4118469	No	
row_21	MST1	11933	-0.919994592666626	-0.42385858	No	
row_22	PDGFD	12056	-0.9567592144012451	-0.41429946	No	
row_23	NGF	12590	-1.1277445554733276	-0.4266311	Yes	
row_24	MET	12847	-1.221004843711853	-0.4205139	Yes	
row_25	FGF10	13342	-1.4017850160598755	-0.42562395	Yes	
row_26	PDGFRB	13344	-1.4018961191177368	-0.40083873	Yes	
row_27	FGFR4	13429	-1.4297780990600586	-0.38059214	Yes	
row_28	ITPR1	13491	-1.4561443328857422	-0.3584836	Yes	
row_29	VEGFC	13561	-1.4826284646987915	-0.33639082	Yes	
row_30	NTRK2	14643	-1.9806090593338013	-0.3668354	Yes	
row_31	FLT1	14799	-2.0650877952575684	-0.33963427	Yes	
row_32	FGF21	14873	-2.1172115802764893	-0.3065373	Yes	
row_33	HGF	14893	-2.1293728351593018	-0.26995045	Yes	
row_34	PLCG2	14962	-2.173229217529297	-0.23555748	Yes	
row_35	VEGFB	15014	-2.2033636569976807	-0.19959962	Yes	
row_36	ITPR3	15245	-2.3793013095855713	-0.17137738	Yes	
row_37	FGF5	15588	-2.6429121494293213	-0.14527431	Yes	
row_38	KDR	15647	-2.6903090476989746	-0.10111077	Yes	
row_39	PDGFB	15754	-2.8065645694732666	-0.057797335	Yes	
row_40	RET	15852	-2.8974151611328125	-0.01232803	Yes	
row_41	FGF18	15950	-3.022066831588745	0.03535048	Yes	
