NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BUB1B	407	1.9812971353530884	0.07314944	Yes	
row_1	MAD2L1	637	1.7587370872497559	0.14609224	Yes	
row_2	ANAPC13	733	1.6947650909423828	0.22399175	Yes	
row_3	ANAPC10	820	1.6403491497039795	0.29975033	Yes	
row_4	PTTG1	1165	1.4586989879608154	0.3509197	Yes	
row_5	ANAPC4	1272	1.4171490669250488	0.41445023	Yes	
row_6	CDC26	1450	1.3392008543014526	0.4698339	Yes	
row_7	CDC16	1660	1.2684545516967773	0.51978785	Yes	
row_8	CDC27	2349	1.043047308921814	0.52961016	Yes	
row_9	CDC23	3040	0.8818792104721069	0.5313563	Yes	
row_10	ANAPC7	3330	0.8150379061698914	0.55408555	Yes	
row_11	CDC20	4560	0.577100396156311	0.5081491	No	
row_12	ANAPC5	7091	0.1286025047302246	0.36129344	No	
row_13	ESPL1	7335	0.08502823114395142	0.3507756	No	
row_14	ANAPC11	8315	-0.09721879661083221	0.2962912	No	
row_15	BUB3	9611	-0.3521343469619751	0.23525394	No	
row_16	MAD2L2	9740	-0.38227400183677673	0.24637167	No	
row_17	ANAPC1	9891	-0.4169706702232361	0.2578698	No	
row_18	MAD1L1	13216	-1.3585014343261719	0.123640545	No	
row_19	ANAPC2	13738	-1.5632082223892212	0.16925023	No	
