NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTR2	972	1.5621978044509888	-0.01175265	No	
row_1	TJP1	2253	1.0687931776046753	-0.057043284	No	
row_2	ACTR3	2767	0.9390753507614136	-0.059789922	No	
row_3	ARPC1A	4011	0.6781957745552063	-0.114621125	No	
row_4	ARPC4	4082	0.6621286273002625	-0.09888911	No	
row_5	ARPC3	4258	0.6310805678367615	-0.090453394	No	
row_6	ACTB	4379	0.6108660697937012	-0.07929609	No	
row_7	ARPC2	4781	0.5368620157241821	-0.08739097	No	
row_8	CLDN20	8129	-0.0589970238506794	-0.28833705	No	
row_9	ARPC5	8724	-0.17060278356075287	-0.31916934	No	
row_10	ARPC5L	9173	-0.2612976133823395	-0.33842286	No	
row_11	CTTN	10798	-0.6298434734344482	-0.41778943	No	
row_12	ACTG1	10928	-0.6602455377578735	-0.40568784	No	
row_13	CLDN15	11337	-0.7712641954421997	-0.40713638	No	
row_14	OCLN	12772	-1.1941648721694946	-0.4579731	No	
row_15	CLDN1	13934	-1.6382886171340942	-0.47887823	Yes	
row_16	ARPC1B	14099	-1.7209970951080322	-0.43690094	Yes	
row_17	CLDN5	14801	-2.0670676231384277	-0.41701084	Yes	
row_18	CLDN11	15029	-2.213841676712036	-0.36398372	Yes	
row_19	CLDN10	15457	-2.5349678993225098	-0.3133843	Yes	
row_20	CLDN9	15538	-2.606036424636841	-0.23962365	Yes	
row_21	CLDN4	15585	-2.64152455329895	-0.16273323	Yes	
row_22	CLDN23	16059	-3.212101459503174	-0.09449553	Yes	
row_23	CLDN3	16357	-4.082627296447754	0.010660148	Yes	
