NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.0337903	No	
row_1	NSD2	4179	0.6474030613899231	-0.18206471	No	
row_2	H3-3B	9510	-0.32959118485450745	-0.49322212	No	
row_3	CCND2	10322	-0.515432596206665	-0.524303	No	
row_4	H3C4	12237	-1.014069676399231	-0.6047297	No	
row_5	H3C6	13182	-1.3446156978607178	-0.6148783	Yes	
row_6	H3C12	13646	-1.524367094039917	-0.58962387	Yes	
row_7	H3C3	14026	-1.6829837560653687	-0.55373967	Yes	
row_8	H3C7	14369	-1.8449333906173706	-0.50995445	Yes	
row_9	H3C1	14400	-1.860592246055603	-0.44673344	Yes	
row_10	H3C14	14517	-1.9120327234268188	-0.38692075	Yes	
row_11	H3C10	14689	-2.00132155418396	-0.32731664	Yes	
row_12	H3C11	14693	-2.002318859100342	-0.25750697	Yes	
row_13	H3C2	14885	-2.124586820602417	-0.19480492	Yes	
row_14	H3C13	15151	-2.303771734237671	-0.1303194	Yes	
row_15	H3C8	16526	-6.119996070861816	4.238075E-4	Yes	
