NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.10673306	Yes	
row_1	SEM1	861	1.6260969638824463	0.11654919	Yes	
row_2	PSMB6	1331	1.3908638954162598	0.13804466	Yes	
row_3	PSMB1	1391	1.3627511262893677	0.1833811	Yes	
row_4	PSMD1	1821	1.2085275650024414	0.20075648	Yes	
row_5	PSMD14	1883	1.1883625984191895	0.23971246	Yes	
row_6	PSMC6	2132	1.1059304475784302	0.26437575	Yes	
row_7	PSMA2	2605	0.9821703433990479	0.2710204	Yes	
row_8	PSMB2	2841	0.9261661767959595	0.29001945	Yes	
row_9	PSMD13	3051	0.8800524473190308	0.30893922	Yes	
row_10	PSMD12	3273	0.8270295262336731	0.32522854	Yes	
row_11	PSMD7	3297	0.8220282196998596	0.35333908	Yes	
row_12	PSMD4	3309	0.8191383481025696	0.3820732	Yes	
row_13	PSMC2	3654	0.7503330111503601	0.38815472	Yes	
row_14	PSMC3	3940	0.6903654336929321	0.3956598	Yes	
row_15	PSMB5	4116	0.6567730903625488	0.40862626	Yes	
row_16	PSMA6	4239	0.634976327419281	0.4240227	Yes	
row_17	PSMB3	4305	0.6225293874740601	0.44242716	Yes	
row_18	PSMD11	4501	0.5884295701980591	0.4517284	Yes	
row_19	PSMC1	4603	0.5701741576194763	0.46607172	Yes	
row_20	PSMA4	4833	0.5295811295509338	0.47120005	Yes	
row_21	PSMA3	4901	0.519446074962616	0.48578334	Yes	
row_22	PSMA1	5233	0.4622754454612732	0.4823137	Yes	
row_23	PSMD8	5480	0.4130707085132599	0.4822298	Yes	
row_24	PSMB7	5773	0.3588389754295349	0.47741136	Yes	
row_25	PSMB4	5872	0.34337514638900757	0.48379615	Yes	
row_26	PSMC5	5908	0.33724820613861084	0.49377948	Yes	
row_27	PSMD2	6156	0.28758013248443604	0.4891308	No	
row_28	PSMC4	6538	0.2220301628112793	0.4740077	No	
row_29	PSMD9	7888	-0.01783563569188118	0.39288533	No	
row_30	PSMD6	8033	-0.040716275572776794	0.38561893	No	
row_31	PSMA7	9669	-0.3668043911457062	0.2996875	No	
row_32	HTT	10009	-0.44309738278388977	0.29504463	No	
row_33	PSMD3	12674	-1.1594445705413818	0.17519554	No	
row_34	ADRM1	13918	-1.6336841583251953	0.15849449	No	
