NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFS4	129	2.6674349308013916	0.0706495	Yes	
row_1	NDUFA4	341	2.064725160598755	0.1185974	Yes	
row_2	NDUFA1	713	1.7047209739685059	0.14625487	Yes	
row_3	NDUFB4	999	1.5458937883377075	0.17445369	Yes	
row_4	NDUFA5	1026	1.52797269821167	0.21782705	Yes	
row_5	NDUFS2	1133	1.4678950309753418	0.2545831	Yes	
row_6	NDUFA13	1226	1.429498553276062	0.29105833	Yes	
row_7	NDUFS5	1407	1.3570482730865479	0.32006732	Yes	
row_8	NDUFB1	1702	1.252820611000061	0.33909896	Yes	
row_9	NDUFB3	1820	1.2086119651794434	0.3675606	Yes	
row_10	NDUFA12	2154	1.0964772701263428	0.3796286	Yes	
row_11	NDUFC1	2199	1.0846441984176636	0.40886897	Yes	
row_12	NDUFV2	2274	1.0627366304397583	0.43564612	Yes	
row_13	TARDBP	2489	1.0083073377609253	0.45233467	Yes	
row_14	NDUFB5	2561	0.9935803413391113	0.47725928	Yes	
row_15	NDUFA7	3492	0.7835291028022766	0.44392827	No	
row_16	NDUFV3	4163	0.6490379571914673	0.42240316	No	
row_17	NDUFA6	4268	0.6294581890106201	0.4346155	No	
row_18	NDUFA8	4745	0.5441364049911499	0.42176557	No	
row_19	NDUFC2	5389	0.4291030168533325	0.39540732	No	
row_20	NDUFB6	5589	0.393267959356308	0.39491212	No	
row_21	NDUFS1	5644	0.3831782639026642	0.40291065	No	
row_22	NDUFB9	6068	0.3071776032447815	0.386303	No	
row_23	NDUFA11	6201	0.2804919183254242	0.38655204	No	
row_24	NDUFA10	6732	0.18902741372585297	0.35998186	No	
row_25	NDUFB2	6806	0.17716319859027863	0.36076802	No	
row_26	NDUFS3	6923	0.1583852618932724	0.35839495	No	
row_27	NDUFAB1	7122	0.1238112822175026	0.35003355	No	
row_28	NDUFA2	7706	0.01603703945875168	0.3151613	No	
row_29	NDUFB8	7963	-0.027326857671141624	0.30044535	No	
row_30	NDUFV1	8956	-0.21636375784873962	0.24667084	No	
row_31	NDUFB10	9288	-0.2862700819969177	0.23502558	No	
row_32	NDUFS6	9362	-0.302914023399353	0.23951107	No	
row_33	NDUFB11	9533	-0.33498790860176086	0.23905952	No	
row_34	NDUFA3	10553	-0.575135350227356	0.19420244	No	
row_35	NDUFB7	10563	-0.5773200392723083	0.2106403	No	
row_36	NDUFS8	12826	-1.2135156393051147	0.10920679	No	
row_37	NDUFA9	14158	-1.7505879402160645	0.08001411	No	
row_38	NDUFS7	14960	-2.1724319458007812	0.0953621	No	
