NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT3	93	2.8484997749328613	0.09061235	No	
row_1	SMO	2884	0.9151763319969177	-0.04746422	No	
row_2	GLI2	7128	0.12305744737386703	-0.30031765	No	
row_3	WNT5A	7130	0.12273965030908585	-0.2962311	No	
row_4	SUFU	7197	0.10935232788324356	-0.2965341	No	
row_5	WNT9B	7219	0.10651092976331711	-0.2942073	No	
row_6	PTCH1	7670	0.02295014075934887	-0.3206897	No	
row_7	WNT7B	9327	-0.2945745885372162	-0.4110455	No	
row_8	WNT4	9705	-0.3740600645542145	-0.4212427	No	
row_9	WNT10B	11402	-0.7877554893493652	-0.49735773	Yes	
row_10	WNT5B	11693	-0.8549625277519226	-0.48603627	Yes	
row_11	GLI1	11845	-0.8964365124702454	-0.46489382	Yes	
row_12	WNT7A	12118	-0.9744680523872375	-0.4484442	Yes	
row_13	WNT2B	12775	-1.195609211921692	-0.4477826	Yes	
row_14	KIF7	12853	-1.2223567962646484	-0.4111455	Yes	
row_15	WNT1	13506	-1.4594823122024536	-0.40132585	Yes	
row_16	BMP4	13556	-1.4810938835144043	-0.35425046	Yes	
row_17	BMP2	13697	-1.5450446605682373	-0.31052643	Yes	
row_18	PTCH2	13753	-1.5697444677352905	-0.26081914	Yes	
row_19	HHIP	13999	-1.6676952838897705	-0.2193111	Yes	
row_20	WNT6	14355	-1.837815523147583	-0.17871808	Yes	
row_21	WNT16	14453	-1.8831393718719482	-0.12096579	Yes	
row_22	WNT10A	14568	-1.937782883644104	-0.06239694	Yes	
row_23	WNT9A	14599	-1.958126187324524	0.0019474068	Yes	
row_24	GLI3	16146	-3.4077069759368896	0.023441762	Yes	
