NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.09874134	Yes	
row_1	SEM1	861	1.6260969638824463	0.10431773	Yes	
row_2	PSMB6	1331	1.3908638954162598	0.122189984	Yes	
row_3	PSMB1	1391	1.3627511262893677	0.1639823	Yes	
row_4	PSMD1	1821	1.2085275650024414	0.17820913	Yes	
row_5	PSMD14	1883	1.1883625984191895	0.2140744	Yes	
row_6	PSMC6	2132	1.1059304475784302	0.23585854	Yes	
row_7	PSMA2	2605	0.9821703433990479	0.23994255	Yes	
row_8	PSMB2	2841	0.9261661767959595	0.25653005	Yes	
row_9	PSMD13	3051	0.8800524473190308	0.27315855	Yes	
row_10	PSMD12	3273	0.8270295262336731	0.2872943	Yes	
row_11	PSMD7	3297	0.8220282196998596	0.31326717	Yes	
row_12	PSMD4	3309	0.8191383481025696	0.33987132	Yes	
row_13	UBQLN2	3567	0.769116997718811	0.34989655	Yes	
row_14	PSMC2	3654	0.7503330111503601	0.36966318	Yes	
row_15	RPS27A	3668	0.7473828792572021	0.39375716	Yes	
row_16	UBA52	3857	0.7059215307235718	0.40586156	Yes	
row_17	PSMC3	3940	0.6903654336929321	0.42387423	Yes	
row_18	PSMB5	4116	0.6567730903625488	0.43513048	Yes	
row_19	PSMA6	4239	0.634976327419281	0.44887412	Yes	
row_20	PSMB3	4305	0.6225293874740601	0.465659	Yes	
row_21	PSMD11	4501	0.5884295701980591	0.4734274	Yes	
row_22	PSMC1	4603	0.5701741576194763	0.4862868	Yes	
row_23	PSMA4	4833	0.5295811295509338	0.4900348	Yes	
row_24	PSMA3	4901	0.519446074962616	0.5032665	Yes	
row_25	PSMA1	5233	0.4622754454612732	0.49859005	Yes	
row_26	PSMD8	5480	0.4130707085132599	0.49742854	Yes	
row_27	PSMB7	5773	0.3588389754295349	0.49167278	Yes	
row_28	PSMB4	5872	0.34337514638900757	0.49716336	Yes	
row_29	PSMC5	5908	0.33724820613861084	0.5062693	Yes	
row_30	PSMD2	6156	0.28758013248443604	0.5008693	Yes	
row_31	UBC	6166	0.2852231562137604	0.5098194	Yes	
row_32	PSMC4	6538	0.2220301628112793	0.49471962	No	
row_33	UBB	7187	0.11134494841098785	0.4591419	No	
row_34	PSMD9	7888	-0.01783563569188118	0.41729861	No	
row_35	PSMD6	8033	-0.040716275572776794	0.40992424	No	
row_36	PSMA7	9669	-0.3668043911457062	0.32301506	No	
row_37	PSMD3	12674	-1.1594445705413818	0.17949988	No	
row_38	ADRM1	13918	-1.6336841583251953	0.15853287	No	
