NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.10024523	Yes	
row_1	SEM1	861	1.6260969638824463	0.10661734	Yes	
row_2	PSMB6	1331	1.3908638954162598	0.12517019	Yes	
row_3	PSMB1	1391	1.3627511262893677	0.16762936	Yes	
row_4	PSMD1	1821	1.2085275650024414	0.18244755	Yes	
row_5	PSMD14	1883	1.1883625984191895	0.21889435	Yes	
row_6	PSMC6	2132	1.1059304475784302	0.24121967	Yes	
row_7	PSMA2	2605	0.9821703433990479	0.2457843	Yes	
row_8	PSMB2	2841	0.9261661767959595	0.26282498	Yes	
row_9	PSMD13	3051	0.8800524473190308	0.27988413	Yes	
row_10	PSMD12	3273	0.8270295262336731	0.29442456	Yes	
row_11	PSMD7	3297	0.8220282196998596	0.3207997	Yes	
row_12	PSMD4	3309	0.8191383481025696	0.3478047	Yes	
row_13	PSMC2	3654	0.7503330111503601	0.3522974	Yes	
row_14	RPS27A	3668	0.7473828792572021	0.37675712	Yes	
row_15	UBA52	3857	0.7059215307235718	0.38920692	Yes	
row_16	PSMC3	3940	0.6903654336929321	0.40755743	Yes	
row_17	PSMB5	4116	0.6567730903625488	0.41913503	Yes	
row_18	PSMA6	4239	0.634976327419281	0.43318942	Yes	
row_19	PSMB3	4305	0.6225293874740601	0.4502789	Yes	
row_20	PSMD11	4501	0.5884295701980591	0.45833528	Yes	
row_21	PSMC1	4603	0.5701741576194763	0.47147366	Yes	
row_22	PSMA4	4833	0.5295811295509338	0.4754808	Yes	
row_23	PSMA3	4901	0.519446074962616	0.48896673	Yes	
row_24	PSMA1	5233	0.4622754454612732	0.48451647	Yes	
row_25	PSMD8	5480	0.4130707085132599	0.48355708	Yes	
row_26	PSMB7	5773	0.3588389754295349	0.47797692	Yes	
row_27	PSMB4	5872	0.34337514638900757	0.48363551	Yes	
row_28	PSMC5	5908	0.33724820613861084	0.49290648	Yes	
row_29	VCP	5923	0.33402207493782043	0.50334156	Yes	
row_30	PSMD2	6156	0.28758013248443604	0.4989916	Yes	
row_31	UBC	6166	0.2852231562137604	0.5080813	Yes	
row_32	PSMC4	6538	0.2220301628112793	0.4930902	No	
row_33	UBB	7187	0.11134494841098785	0.45756698	No	
row_34	PSMD9	7888	-0.01783563569188118	0.4157324	No	
row_35	PSMD6	8033	-0.040716275572776794	0.40837795	No	
row_36	PSMA7	9669	-0.3668043911457062	0.32164827	No	
row_37	PSMD3	12674	-1.1594445705413818	0.17870045	No	
row_38	ADRM1	13918	-1.6336841583251953	0.15853287	No	
