NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	0.09306956	Yes	
row_1	ERCC8	391	2.002206325531006	0.13266467	Yes	
row_2	MNAT1	1423	1.3510006666183472	0.11085624	Yes	
row_3	GTF2H2	1743	1.236889123916626	0.12878428	Yes	
row_4	GTF2H5	1788	1.2200597524642944	0.16288096	Yes	
row_5	RAD23B	1853	1.1972403526306152	0.19507723	Yes	
row_6	CETN2	1855	1.1971596479415894	0.23109132	Yes	
row_7	RFC1	1890	1.1866358518600464	0.2647872	Yes	
row_8	XPA	1932	1.173006296157837	0.2976479	Yes	
row_9	RFC3	2531	0.9981847405433655	0.2914646	Yes	
row_10	XPC	3151	0.8550590872764587	0.279695	Yes	
row_11	ERCC2	3390	0.8039829134941101	0.28948978	Yes	
row_12	RPA3	3436	0.7939934134483337	0.3106869	Yes	
row_13	RFC4	3500	0.7817145586013794	0.33042252	Yes	
row_14	RPA1	3537	0.7757415175437927	0.3516154	Yes	
row_15	GTF2H3	3904	0.6977756023406982	0.35044795	Yes	
row_16	ERCC1	4007	0.6788633465766907	0.36471936	Yes	
row_17	POLE2	4348	0.6162001490592957	0.3626704	Yes	
row_18	LIG1	4488	0.5908672213554382	0.3720465	Yes	
row_19	CUL4B	4505	0.587711751461029	0.38878617	Yes	
row_20	CUL4A	4721	0.5482906699180603	0.3922707	Yes	
row_21	CCNH	4811	0.5332558155059814	0.40294275	Yes	
row_22	ERCC3	4816	0.5325030088424683	0.41874644	Yes	
row_23	RBX1	4848	0.5264285206794739	0.4327298	Yes	
row_24	ERCC6	4879	0.5223509073257446	0.44665095	Yes	
row_25	POLD3	5026	0.49853649735450745	0.45282033	Yes	
row_26	DDB1	5181	0.4713648855686188	0.45768583	Yes	
row_27	RPA2	5862	0.344385027885437	0.42682877	No	
row_28	RFC2	5890	0.33985498547554016	0.43543258	No	
row_29	POLD2	6759	0.18587437272071838	0.38839886	No	
row_30	CDK7	6959	0.15181496739387512	0.3809064	No	
row_31	RFC5	7505	0.056512657552957535	0.349561	No	
row_32	GTF2H1	7548	0.04789484292268753	0.34845743	No	
row_33	PCNA	8013	-0.03671662136912346	0.32142726	No	
row_34	RAD23A	8984	-0.2216036468744278	0.26928502	No	
row_35	ERCC4	9268	-0.2826254367828369	0.26064065	No	
row_36	POLE	9961	-0.43228647112846375	0.23170473	No	
row_37	ERCC5	10112	-0.4675668478012085	0.23669833	No	
row_38	POLE3	10137	-0.47357672452926636	0.24951357	No	
row_39	GTF2H4	10226	-0.49446141719818115	0.25907722	No	
row_40	POLE4	10797	-0.6294053196907043	0.24347916	No	
row_41	POLD1	12701	-1.1679651737213135	0.1632779	No	
row_42	POLD4	15135	-2.2908153533935547	0.08477339	No	
