NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDE1C	649	1.751013159751892	-0.01251422	No	
row_1	PRKACB	1353	1.3811746835708618	-0.03397487	No	
row_2	CALM1	2307	1.053452491760254	-0.075624295	No	
row_3	CALM3	2991	0.8945136666297913	-0.10333435	No	
row_4	CAMK2D	3190	0.8461828827857971	-0.1023684	No	
row_5	PRKX	3417	0.7983003258705139	-0.103834994	No	
row_6	CALM2	3812	0.7157005667686462	-0.11675802	No	
row_7	OR1F1	4785	0.5363865494728088	-0.16748857	No	
row_8	GRK3	5329	0.4412030875682831	-0.19365819	No	
row_9	OR1D2	5694	0.3728513717651367	-0.21001887	No	
row_10	ARRB2	7347	0.08379783481359482	-0.30893406	No	
row_11	CAMK2G	8104	-0.05534135177731514	-0.35393977	No	
row_12	PRKACA	8603	-0.1492622345685959	-0.3818566	No	
row_13	CAMK2A	10039	-0.4490845203399658	-0.46200857	No	
row_14	CNGA3	10349	-0.5211511254310608	-0.47275925	No	
row_15	CAMK2B	10411	-0.5373133420944214	-0.46821994	No	
row_16	ADCY3	10561	-0.5771592259407043	-0.46840718	No	
row_17	OR2L2	11053	-0.691295862197876	-0.48758787	No	
row_18	OR5A2	11120	-0.7084782123565674	-0.48072717	No	
row_19	OR10A2	11137	-0.7140609622001648	-0.4707482	No	
row_20	OR14J1	11549	-0.8210486173629761	-0.4830869	No	
row_21	GNAL	11699	-0.8554537296295166	-0.47900677	No	
row_22	OR5AU1	12183	-0.9930657744407654	-0.49307483	No	
row_23	OR1A1	12513	-1.1018590927124023	-0.496134	No	
row_24	OR2A5	12823	-1.2125048637390137	-0.4962834	Yes	
row_25	OR6Y1	13119	-1.3173593282699585	-0.49397585	Yes	
row_26	OR10K1	13248	-1.3696829080581665	-0.48073676	Yes	
row_27	OR52K1	13744	-1.5664169788360596	-0.4867409	Yes	
row_28	OR10H5	13751	-1.5691338777542114	-0.46304363	Yes	
row_29	OR6C74	14089	-1.715232491493225	-0.45718253	Yes	
row_30	OR2AT4	14162	-1.7521148920059204	-0.43468258	Yes	
row_31	OR8A1	14324	-1.8240951299667358	-0.41647708	Yes	
row_32	GUCA1B	14340	-1.830765962600708	-0.38931382	Yes	
row_33	OR56A4	14527	-1.9165849685668945	-0.37120643	Yes	
row_34	OR10H1	14659	-1.986557126045227	-0.3486901	Yes	
row_35	OR2M3	14745	-2.0337092876434326	-0.32266068	Yes	
row_36	OR7D2	14945	-2.1646728515625	-0.30153757	Yes	
row_37	OR2G6	15002	-2.1944327354431152	-0.27128464	Yes	
row_38	OR7C1	15126	-2.285015821456909	-0.24370652	Yes	
row_39	OR2T12	15208	-2.350083589553833	-0.21258318	Yes	
row_40	OR1I1	15232	-2.366649866104126	-0.17768788	Yes	
row_41	PRKG1	15496	-2.569695472717285	-0.154236	Yes	
row_42	OR5AS1	15518	-2.587205410003662	-0.11583739	Yes	
row_43	GUCA1A	15631	-2.6829261779785156	-0.08149049	Yes	
row_44	OR4K17	15798	-2.8517367839813232	-0.047830343	Yes	
row_45	OR4D9	15908	-2.960594654083252	-0.009043697	Yes	
row_46	OR7A17	15967	-3.0580103397369385	0.03433007	Yes	
