NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC18A1	58	3.074232816696167	0.03142638	Yes	
row_1	ATP5PB	90	2.856595039367676	0.06202138	Yes	
row_2	NDUFS4	129	2.6674349308013916	0.09003942	Yes	
row_3	NDUFA4	341	2.064725160598755	0.100674644	Yes	
row_4	CASP3	495	1.8861331939697266	0.11280927	Yes	
row_5	NDUFA1	713	1.7047209739685059	0.11898577	Yes	
row_6	GPR37	948	1.5749521255493164	0.12265201	Yes	
row_7	NDUFB4	999	1.5458937883377075	0.13718686	Yes	
row_8	NDUFA5	1026	1.52797269821167	0.15297866	Yes	
row_9	COX7A2	1047	1.5124292373657227	0.16895892	Yes	
row_10	NDUFS2	1133	1.4678950309753418	0.1804766	Yes	
row_11	COX6B1	1220	1.433395266532898	0.19154114	Yes	
row_12	PRKN	1264	1.4186360836029053	0.20505501	Yes	
row_13	UQCRC2	1315	1.3962167501449585	0.21788791	Yes	
row_14	NDUFS5	1407	1.3570482730865479	0.22778	Yes	
row_15	ATP5F1A	1449	1.3397704362869263	0.24051882	Yes	
row_16	COX7A2L	1634	1.2788876295089722	0.24386178	Yes	
row_17	ATP5PO	1652	1.2731819152832031	0.2573042	Yes	
row_18	NDUFB1	1702	1.252820611000061	0.26856744	Yes	
row_19	ATP5PF	1760	1.22926926612854	0.27907595	Yes	
row_20	NDUFB3	1820	1.2086119651794434	0.28922784	Yes	
row_21	SLC25A4	1877	1.189977765083313	0.29935044	Yes	
row_22	SDHC	1908	1.1792967319488525	0.3109341	Yes	
row_23	UBE2G1	1986	1.1539732217788696	0.31936914	Yes	
row_24	UQCRB	2089	1.1158593893051147	0.3258492	Yes	
row_25	UBE2L3	2140	1.1010431051254272	0.33532575	Yes	
row_26	NDUFC1	2199	1.0846441984176636	0.34412888	Yes	
row_27	NDUFV2	2274	1.0627366304397583	0.3517091	Yes	
row_28	CYCS	2298	1.055037021636963	0.36230585	Yes	
row_29	LRRK2	2359	1.0399198532104492	0.37047872	Yes	
row_30	NDUFB5	2561	0.9935803413391113	0.3695428	Yes	
row_31	UQCRH	2622	0.9793556332588196	0.377027	Yes	
row_32	UBE2G2	2915	0.9092487692832947	0.36959353	Yes	
row_33	PARK7	3020	0.887397825717926	0.37335408	Yes	
row_34	UBE2L6	3048	0.8803742527961731	0.38172132	Yes	
row_35	SNCAIP	3206	0.8426929712295532	0.38174772	Yes	
row_36	VDAC3	3341	0.8128637671470642	0.38283482	Yes	
row_37	ATP5PD	3484	0.7857524752616882	0.38312674	Yes	
row_38	NDUFA7	3492	0.7835291028022766	0.39161006	Yes	
row_39	PPID	3843	0.707679271697998	0.37835443	No	
row_40	UQCRFS1	3968	0.6852594614028931	0.37859923	No	
row_41	NDUFV3	4163	0.6490379571914673	0.37417164	No	
row_42	NDUFA6	4268	0.6294581890106201	0.3749992	No	
row_43	NDUFA8	4745	0.5441364049911499	0.35221508	No	
row_44	COX7C	4769	0.5399929881095886	0.35695535	No	
row_45	COX4I1	4773	0.5394724011421204	0.362907	No	
row_46	ATP5F1B	4859	0.5247511267662048	0.36370036	No	
row_47	NDUFC2	5389	0.4291030168533325	0.33638242	No	
row_48	APAF1	5441	0.419216126203537	0.33804518	No	
row_49	SDHD	5455	0.4170844554901123	0.34199652	No	
row_50	ATP5MC2	5520	0.40482932329177856	0.34270445	No	
row_51	NDUFB6	5589	0.393267959356308	0.34303746	No	
row_52	NDUFS1	5644	0.3831782639026642	0.3441078	No	
row_53	UQCR11	5645	0.38315582275390625	0.3484646	No	
row_54	NDUFB9	6068	0.3071776032447815	0.32627276	No	
row_55	UQCR10	6421	0.24123921990394592	0.30759162	No	
row_56	ATP5MC1	6620	0.2053138017654419	0.29787505	No	
row_57	NDUFA10	6732	0.18902741372585297	0.29326853	No	
row_58	NDUFB2	6806	0.17716319859027863	0.2908399	No	
row_59	CASP9	6807	0.1768738478422165	0.29285112	No	
row_60	NDUFS3	6923	0.1583852618932724	0.2876527	No	
row_61	COX6A1	7117	0.12462958693504333	0.27732304	No	
row_62	NDUFAB1	7122	0.1238112822175026	0.2784874	No	
row_63	UBB	7187	0.11134494841098785	0.27585816	No	
row_64	SLC25A5	7266	0.09753164649009705	0.27221978	No	
row_65	ATP5F1C	7622	0.03365291655063629	0.2509956	No	
row_66	UBA1	7664	0.025605708360671997	0.24879134	No	
row_67	NDUFA2	7706	0.01603703945875168	0.24647826	No	
row_68	SDHA	7720	0.012429258786141872	0.24582835	No	
row_69	COX5A	7844	-0.01035633310675621	0.23845981	No	
row_70	NDUFB8	7963	-0.027326857671141624	0.23158856	No	
row_71	UCHL1	8522	-0.13463374972343445	0.19915718	No	
row_72	ATP5F1E	8568	-0.1422165483236313	0.1980354	No	
row_73	PINK1	8624	-0.15341416001319885	0.1964323	No	
row_74	UBE2J2	8667	-0.1612377017736435	0.19570942	No	
row_75	NDUFV1	8956	-0.21636375784873962	0.18064074	No	
row_76	UQCRC1	8973	-0.21979321539402008	0.18216613	No	
row_77	VDAC2	9240	-0.27763667702674866	0.16913319	No	
row_78	NDUFB10	9288	-0.2862700819969177	0.1695277	No	
row_79	NDUFS6	9362	-0.302914023399353	0.16852897	No	
row_80	UBE2J1	9484	-0.32350608706474304	0.16484292	No	
row_81	UQCRQ	9649	-0.36338818073272705	0.1589932	No	
row_82	ATP5MC3	9889	-0.4166985750198364	0.14918484	No	
row_83	COX8A	9908	-0.4201938211917877	0.15286723	No	
row_84	COX7B	10032	-0.44803446531295776	0.15047543	No	
row_85	VDAC1	10142	-0.4740442931652069	0.1492315	No	
row_86	SDHB	10275	-0.5059407949447632	0.14695036	No	
row_87	COX5B	10401	-0.5345311760902405	0.14542037	No	
row_88	NDUFA3	10553	-0.575135350227356	0.14276962	No	
row_89	NDUFB7	10563	-0.5773200392723083	0.14878644	No	
row_90	SLC25A6	10626	-0.5896338820457458	0.15171747	No	
row_91	COX6C	10802	-0.6308307647705078	0.14823927	No	
row_92	TH	10971	-0.6704765558242798	0.14563793	No	
row_93	HTRA2	11028	-0.6845597624778748	0.15001354	No	
row_94	SEPTIN5	11157	-0.7198485136032104	0.15040816	No	
row_95	CYC1	11779	-0.8791632652282715	0.122608244	No	
row_96	UQCRHL	12779	-1.1963506937026978	0.07540831	No	
row_97	NDUFS8	12826	-1.2135156393051147	0.08640721	No	
row_98	UBA7	13413	-1.4244033098220825	0.06693736	No	
row_99	NDUFA9	14158	-1.7505879402160645	0.04155993	No	
row_100	ATP5F1D	14579	-1.9424126148223877	0.038083732	No	
row_101	COX6B2	14842	-2.096113920211792	0.0459718	No	
row_102	NDUFS7	14960	-2.1724319458007812	0.06355298	No	
row_103	NDUFA4L2	15775	-2.825270175933838	0.046135064	No	
