NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.09429982	Yes	
row_1	SEM1	861	1.6260969638824463	0.09752055	Yes	
row_2	PSMB6	1331	1.3908638954162598	0.1133795	Yes	
row_3	PSMB1	1391	1.3627511262893677	0.15320216	Yes	
row_4	PSMD1	1821	1.2085275650024414	0.16567945	Yes	
row_5	PSMD14	1883	1.1883625984191895	0.19982705	Yes	
row_6	PSMC6	2132	1.1059304475784302	0.22001125	Yes	
row_7	PSMA2	2605	0.9821703433990479	0.22267252	Yes	
row_8	PSMB2	2841	0.9261661767959595	0.23791994	Yes	
row_9	PSMD13	3051	0.8800524473190308	0.2532752	Yes	
row_10	PSMD12	3273	0.8270295262336731	0.26621422	Yes	
row_11	PSMD7	3297	0.8220282196998596	0.29099905	Yes	
row_12	PSMD4	3309	0.8191383481025696	0.31641945	Yes	
row_13	PSME3	3566	0.7692116498947144	0.32539502	Yes	
row_14	PSMC2	3654	0.7503330111503601	0.34401613	Yes	
row_15	PSMC3	3940	0.6903654336929321	0.34872234	Yes	
row_16	PSMB5	4116	0.6567730903625488	0.35902822	Yes	
row_17	PSMA6	4239	0.634976327419281	0.3718534	Yes	
row_18	PSMB3	4305	0.6225293874740601	0.38773823	Yes	
row_19	PSMD11	4501	0.5884295701980591	0.39465493	Yes	
row_20	PSMC1	4603	0.5701741576194763	0.4066896	Yes	
row_21	PSMA4	4833	0.5295811295509338	0.40967065	Yes	
row_22	PSMA3	4901	0.519446074962616	0.42215127	Yes	
row_23	PSMA1	5233	0.4622754454612732	0.41680437	Yes	
row_24	PSME2	5404	0.42629274725914	0.42007324	Yes	
row_25	PSME1	5463	0.41578492522239685	0.42979822	Yes	
row_26	PSMD8	5480	0.4130707085132599	0.4419833	Yes	
row_27	PSMB7	5773	0.3588389754295349	0.43570685	Yes	
row_28	PSME4	5811	0.3527965843677521	0.4446991	Yes	
row_29	PSMB4	5872	0.34337514638900757	0.45199677	Yes	
row_30	PSMC5	5908	0.33724820613861084	0.4606151	Yes	
row_31	PSMB9	6051	0.31080082058906555	0.46190354	Yes	
row_32	POMP	6145	0.2902601659297943	0.4655088	Yes	
row_33	PSMD2	6156	0.28758013248443604	0.47406113	Yes	
row_34	PSMC4	6538	0.2220301628112793	0.45803148	No	
row_35	PSMF1	7220	0.10643545538187027	0.4201309	No	
row_36	PSMD6	8033	-0.040716275572776794	0.37219462	No	
row_37	PSMB8	9123	-0.2519811689853668	0.31419152	No	
row_38	PSMA7	9669	-0.3668043911457062	0.29282892	No	
row_39	PSMD3	12674	-1.1594445705413818	0.14761621	No	
row_40	PSMB10	15666	-2.709846019744873	0.0525678	No	
