NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX5	125	2.690777540206909	0.019842494	Yes	
row_1	SRSF5	177	2.482321262359619	0.042067584	Yes	
row_2	PPIE	278	2.194040060043335	0.058364272	Yes	
row_3	PPIH	387	2.007815361022949	0.072272874	Yes	
row_4	HNRNPU	588	1.7954435348510742	0.0784071	Yes	
row_5	RBMX	643	1.7569706439971924	0.093046784	Yes	
row_6	TRA2B	718	1.701136827468872	0.10589774	Yes	
row_7	ZMAT2	1084	1.4897288084030151	0.09885592	Yes	
row_8	SNRPG	1289	1.4101539850234985	0.10081429	Yes	
row_9	SNRPD3	1339	1.3879895210266113	0.11199307	Yes	
row_10	SNRNP27	1468	1.3322569131851196	0.117788345	Yes	
row_11	SF3B6	1546	1.307152509689331	0.12643565	Yes	
row_12	PRPF38A	1556	1.3032079935073853	0.13918702	Yes	
row_13	HNRNPA3	1824	1.2070826292037964	0.13523336	Yes	
row_14	ACIN1	1843	1.2012009620666504	0.14639519	Yes	
row_15	SNRPD2	1935	1.172359824180603	0.15281363	Yes	
row_16	DDX39B	1956	1.163666844367981	0.16347052	Yes	
row_17	SF3B5	1961	1.161679983139038	0.17508227	Yes	
row_18	LSM7	2029	1.1398488283157349	0.18263161	Yes	
row_19	LSM5	2039	1.1374480724334717	0.19369133	Yes	
row_20	BUD31	2123	1.1076583862304688	0.19993703	Yes	
row_21	HNRNPK	2205	1.0837666988372803	0.2060608	Yes	
row_22	TRA2A	2227	1.0760730504989624	0.2157628	Yes	
row_23	LSM3	2294	1.056854248046875	0.22252609	Yes	
row_24	SRSF7	2405	1.0306408405303955	0.22634025	Yes	
row_25	SNRPF	2483	1.009848713874817	0.23195343	Yes	
row_26	CWC15	2501	1.0050792694091797	0.24117468	Yes	
row_27	MAGOH	2566	0.9924353361129761	0.24740244	Yes	
row_28	PRPF40A	2746	0.9451748132705688	0.24613911	Yes	
row_29	RBM17	2845	0.925921618938446	0.24961591	Yes	
row_30	PPIL1	2981	0.8956519365310669	0.25052878	Yes	
row_31	DHX15	2992	0.8943800926208496	0.25904694	Yes	
row_32	LSM6	3009	0.8894040584564209	0.2671486	Yes	
row_33	U2SURP	3013	0.8891684412956238	0.27604017	Yes	
row_34	HNRNPA1	3126	0.8608503937721252	0.27799964	Yes	
row_35	THOC1	3207	0.8426773548126221	0.28172392	Yes	
row_36	DDX42	3357	0.8097724318504333	0.28090712	Yes	
row_37	HSPA8	3370	0.8078862428665161	0.28842065	Yes	
row_38	PRPF38B	3385	0.8059577941894531	0.2957926	Yes	
