NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP1B1	5937	0.3315235674381256	-0.33989966	No	
row_1	HSD17B7	6079	0.30382823944091797	-0.33050174	No	
row_2	HSD17B12	7376	0.08037423342466354	-0.40422657	No	
row_3	HSD11B2	7464	0.06533931940793991	-0.4056372	No	
row_4	SRD5A1	8079	-0.05019684508442879	-0.43985012	No	
row_5	CYP21A2	10010	-0.4434133470058441	-0.5305317	No	
row_6	CYP3A5	10438	-0.544048011302948	-0.52427006	No	
row_7	SRD5A3	11446	-0.7987270951271057	-0.5380921	Yes	
row_8	COMT	11696	-0.8553274869918823	-0.5026781	Yes	
row_9	STS	11861	-0.8988435864448547	-0.45954883	Yes	
row_10	CYP1A1	12019	-0.9498414993286133	-0.4129853	Yes	
row_11	HSD17B6	12262	-1.0202287435531616	-0.3674133	Yes	
row_12	AKR1C1	12369	-1.0529751777648926	-0.31167385	Yes	
row_13	AKR1C2	13891	-1.6244211196899414	-0.30787623	Yes	
row_14	CYP19A1	14370	-1.8462599515914917	-0.22783251	Yes	
row_15	HSD17B8	14528	-1.9169474840164185	-0.124180384	Yes	
row_16	HSD17B1	14678	-1.9950449466705322	-0.015433754	Yes	
row_17	AKR1C3	14940	-2.163099527359009	0.096451886	Yes	
