NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FCGR2A	7	4.010391712188721	0.026324905	No	
row_1	FCGR2B	166	2.5164575576782227	0.033496995	No	
row_2	C5	678	1.733324646949768	0.013966743	No	
row_3	SSB	762	1.6741341352462769	0.020083651	No	
row_4	H2BW2	1012	1.5366092920303345	0.015182821	No	
row_5	SNRPD3	1339	1.3879895210266113	0.0046055187	No	
row_6	H3-3A	1355	1.3800959587097168	0.012898592	No	
row_7	GRIN2B	1544	1.3078705072402954	0.010183579	No	
row_8	C1S	1605	1.2861933708190918	0.015112229	No	
row_9	C4B	1850	1.1983734369277954	0.008259467	No	
row_10	C1R	2318	1.0516034364700317	-0.01314091	No	
row_11	C7	2499	1.0058139562606812	-0.017383987	No	
row_12	H2AZ1	2690	0.959559977054596	-0.022544054	No	
row_13	H2AZ2	3171	0.8516238927841187	-0.046069365	No	
row_14	C4A	3578	0.7668138742446899	-0.0656578	No	
row_15	MACROH2A2	3894	0.699921727180481	-0.08015548	No	
row_16	SNRPD1	4222	0.63846355676651	-0.09579325	No	
row_17	HLA-DRA	4276	0.6279778480529785	-0.094829224	No	
row_18	HLA-DMA	4357	0.6144884824752808	-0.09559801	No	
row_19	HLA-DOA	5338	0.43847447633743286	-0.15230206	No	
row_20	HLA-DPB1	5590	0.3932347297668457	-0.16495132	No	
row_21	HLA-DMB	6526	0.22471313178539276	-0.22034319	No	
row_22	MACROH2A1	7607	0.03577263280749321	-0.28581798	No	
row_23	HLA-DRB1	8047	-0.04307103529572487	-0.31224197	No	
row_24	RO60	8312	-0.09675419330596924	-0.32765988	No	
row_25	H2AC18	8912	-0.20763935148715973	-0.36272144	No	
row_26	HLA-DPA1	9322	-0.2929801344871521	-0.38565305	No	
row_27	HLA-DQB1	9349	-0.2986396849155426	-0.385243	No	
row_28	H3-3B	9510	-0.32959118485450745	-0.39277983	No	
row_29	H4C11	9651	-0.36360275745391846	-0.39887288	No	
row_30	H4C8	10118	-0.4685598313808441	-0.42410153	No	
row_31	H4C14	10252	-0.5007442235946655	-0.42885387	No	
row_32	H2BC9	10328	-0.5166260004043579	-0.4299712	No	
row_33	HLA-DRB5	10354	-0.5225377678871155	-0.42800683	No	
row_34	FCGR3A	10472	-0.5535611510276794	-0.43143332	No	
row_35	H2AX	10714	-0.6094644069671631	-0.44203177	No	
row_36	TRIM21	10804	-0.6312717199325562	-0.44323623	No	
row_37	H4C1	11059	-0.6921157836914062	-0.45407438	No	
row_38	SNRPB	11175	-0.7265368700027466	-0.45622537	No	
row_39	ACTN1	11182	-0.7286474704742432	-0.4517301	No	
row_40	H2BC21	11333	-0.7696878910064697	-0.45572284	No	
row_41	H4C13	11441	-0.7959462404251099	-0.45692408	No	
row_42	HLA-DQA1	11444	-0.7977637052536011	-0.45172438	No	
row_43	H2AC25	11458	-0.8024420142173767	-0.4471628	No	
row_44	H3C4	12237	-1.014069676399231	-0.48773655	No	
row_45	GRIN2A	12495	-1.096837043762207	-0.4960576	No	
row_46	C2	12724	-1.1747652292251587	-0.5020943	No	
row_47	H2BC12	12827	-1.2135350704193115	-0.5002058	No	
row_48	H4C12	13014	-1.2790555953979492	-0.5029914	Yes	
row_49	H2BC17	13107	-1.3134263753890991	-0.49982813	Yes	
row_50	H3C6	13182	-1.3446156978607178	-0.49536163	Yes	
row_51	ACTN4	13217	-1.3588004112243652	-0.48836666	Yes	
row_52	H2BC14	13229	-1.3626646995544434	-0.4799465	Yes	
row_53	H2BC3	13325	-1.3952683210372925	-0.47641987	Yes	
row_54	H4C2	13377	-1.4115980863571167	-0.4701071	Yes	
row_55	H2BC13	13571	-1.4892842769622803	-0.47191626	Yes	
row_56	H2BC11	13574	-1.4913228750228882	-0.46209025	Yes	
row_57	H3C12	13646	-1.524367094039917	-0.4562422	Yes	
row_58	H2AJ	13647	-1.5247454643249512	-0.44607157	Yes	
row_59	H2BC10	13921	-1.6341475248336792	-0.45178208	Yes	
row_60	H2BC5	13928	-1.6365104913711548	-0.441231	Yes	
row_61	H4C5	13957	-1.6475505828857422	-0.4319449	Yes	
row_62	H3C3	14026	-1.6829837560653687	-0.4248563	Yes	
row_63	H2BC18	14259	-1.793230414390564	-0.42701098	Yes	
row_64	H4C9	14285	-1.8014343976974487	-0.4165159	Yes	
row_65	H2BC7	14296	-1.8048152923583984	-0.40508553	Yes	
row_66	H3C7	14369	-1.8449333906173706	-0.39716002	Yes	
row_67	H3C1	14400	-1.860592246055603	-0.38657457	Yes	
row_68	H2BC26	14486	-1.8953831195831299	-0.3791035	Yes	
row_69	H2BC4	14509	-1.9068490266799927	-0.36772272	Yes	
row_70	H3C14	14517	-1.9120327234268188	-0.35539466	Yes	
