NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	139	-0.5461708	-1.9708467	0.0	0.005977264	0.009	3523	tags=48%, list=21%, signal=61%	
KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GPCR_PLCB_ITPR_SIGNALING_PATHWAY	Details ...	34	-0.6102708	-1.8493466	0.0	0.03772703	0.108	3084	tags=50%, list=19%, signal=61%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	99	-0.5115231	-1.8007731	0.0	0.05780014	0.232	3521	tags=52%, list=21%, signal=65%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Details ...	42	-0.5577051	-1.758707	0.0	0.080637746	0.38	3919	tags=50%, list=24%, signal=65%	
KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	Details ...	16	-0.6618795	-1.7205327	0.004054054	0.107363336	0.556	3353	tags=69%, list=20%, signal=86%	
KEGG_OLFACTORY_TRANSDUCTION	KEGG_OLFACTORY_TRANSDUCTION	Details ...	47	-0.51487607	-1.6402484	0.0035545023	0.23495558	0.869	3712	tags=49%, list=22%, signal=63%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	96	-0.45462134	-1.6014766	0.0052687037	0.31028298	0.959	3931	tags=43%, list=24%, signal=56%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	30	-0.53431284	-1.5845618	0.006203474	0.3187118	0.979	4092	tags=50%, list=25%, signal=66%	
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	Details ...	26	-0.549304	-1.5821095	0.012658228	0.28975832	0.979	3448	tags=42%, list=21%, signal=53%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	18	-0.58524126	-1.5559862	0.028645834	0.3377232	0.995	5089	tags=61%, list=31%, signal=88%	
KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TIGHT_JUNCTION_ACTIN_SIGNALING_PATHWAY	Details ...	24	-0.52829415	-1.5170974	0.039092056	0.44281247	1.0	2601	tags=38%, list=16%, signal=44%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	25	-0.52397454	-1.5143456	0.030748663	0.41503295	1.0	5133	tags=64%, list=31%, signal=93%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Details ...	27	-0.51640713	-1.5046254	0.02117061	0.41498616	1.0	2626	tags=30%, list=16%, signal=35%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	25	-0.52397454	-1.487416	0.035714287	0.44939652	1.0	5133	tags=64%, list=31%, signal=93%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	129	-0.41046047	-1.4809517	0.0031347962	0.44532868	1.0	3191	tags=33%, list=19%, signal=41%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	Details ...	37	-0.4820093	-1.4692688	0.03233533	0.4620806	1.0	4656	tags=57%, list=28%, signal=79%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE	Details ...	22	-0.52642554	-1.463518	0.04853129	0.45672807	1.0	3931	tags=45%, list=24%, signal=60%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	72	-0.4196679	-1.4459876	0.02583423	0.4967181	1.0	3814	tags=35%, list=23%, signal=45%	
KEGG_JAK_STAT_SIGNALING_PATHWAY	KEGG_JAK_STAT_SIGNALING_PATHWAY	Details ...	92	-0.40788844	-1.4363499	0.012931035	0.50673276	1.0	2984	tags=27%, list=18%, signal=33%	
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	Details ...	42	-0.4504678	-1.433613	0.049457178	0.49085274	1.0	3193	tags=40%, list=19%, signal=50%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		139	-0.393263	-1.428277	0.008213553	0.48715365	1.0	3105	tags=35%, list=19%, signal=42%	
KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY		22	-0.49622568	-1.3969507	0.08538163	0.58417356	1.0	4716	tags=45%, list=29%, signal=64%	
