NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE	KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE	Details ...	17	0.6575054	2.1186948	0.0	0.047138702	0.02	3525	tags=59%, list=21%, signal=75%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	39	0.5098194	2.06677	0.0	0.048085	0.041	6166	tags=82%, list=37%, signal=131%	
KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER	Details ...	18	0.6271269	2.0611882	0.0	0.032056667	0.041	5181	tags=78%, list=31%, signal=113%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	43	0.49788737	2.0608191	0.0	0.0240425	0.041	4556	tags=65%, list=28%, signal=90%	
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	38	0.5066739	2.0564353	0.0	0.02028426	0.043	6166	tags=82%, list=37%, signal=130%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	34	0.5075424	2.0563605	0.005291005	0.01690355	0.043	5908	tags=79%, list=36%, signal=123%	
KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING	KEGG_MEDICUS_REFERENCE_DNA_END_RESECTION_AND_RPA_LOADING	Details ...	17	0.64704543	2.0508993	0.0	0.014796449	0.044	4189	tags=71%, list=25%, signal=94%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	39	0.5080813	2.0481606	0.0	0.0129468925	0.044	6166	tags=82%, list=37%, signal=131%	
KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE	Details ...	29	0.54791623	2.0336921	0.0	0.013928722	0.053	3454	tags=62%, list=21%, signal=78%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	35	0.509463	2.030209	0.0	0.013019329	0.055	5908	tags=80%, list=36%, signal=124%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	35	0.49377948	1.9734274	0.0	0.02082076	0.096	5908	tags=77%, list=36%, signal=120%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	104	0.39161006	1.9680037	0.0	0.02079072	0.104	3492	tags=38%, list=21%, signal=47%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	Details ...	40	0.4761238	1.9516064	0.0	0.020972693	0.113	6166	tags=80%, list=37%, signal=127%	
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	Details ...	39	0.47725928	1.949455	0.0	0.019978194	0.116	2561	tags=38%, list=15%, signal=45%	
KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	KEGG_MEDICUS_REFERENCE_COHESIN_DISSOCIATION_IN_ANAPHASE	Details ...	16	0.61381286	1.9472016	0.003984064	0.019137694	0.118	3330	tags=63%, list=20%, signal=78%	
KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	Details ...	20	0.55408555	1.946916	0.0	0.018119555	0.119	3330	tags=55%, list=20%, signal=69%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	41	0.47406113	1.9461035	0.0	0.017243743	0.12	6156	tags=83%, list=37%, signal=132%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	126	0.3593848	1.9248683	0.0	0.019587891	0.139	5110	tags=52%, list=31%, signal=74%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	43	0.45768583	1.9168743	0.0	0.01995134	0.148	5181	tags=63%, list=31%, signal=91%	
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS	Details ...	59	0.42624512	1.9148589	0.0	0.019060103	0.149	2274	tags=31%, list=14%, signal=35%	
KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC	KEGG_MEDICUS_REFERENCE_DISASSEMBLY_OF_MCC		17	0.57584536	1.9136316	0.0	0.018532118	0.152	3330	tags=53%, list=20%, signal=66%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I		39	0.46306697	1.910978	0.0	0.017923083	0.154	2561	tags=36%, list=15%, signal=42%	
KEGG_RIBOSOME	KEGG_RIBOSOME		85	0.39760274	1.9015151	0.0	0.018527681	0.166	4922	tags=48%, list=30%, signal=68%	
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION	KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION		35	0.48243284	1.9013927	0.0	0.017854284	0.167	5908	tags=77%, list=36%, signal=120%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		120	0.3640973	1.8982611	0.0	0.018189317	0.176	3330	tags=37%, list=20%, signal=46%	
KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR	KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION_IN_ICLR		15	0.5906941	1.8873074	0.007905139	0.01840925	0.183	4151	tags=53%, list=25%, signal=71%	
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I	KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I		38	0.46594858	1.8835024	0.0	0.01863106	0.19	2561	tags=37%, list=15%, signal=43%	
