NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.06696155	No	
row_1	KDM1A	1895	1.18524169921875	-0.08655378	No	
row_2	H2AZ2	3171	0.8516238927841187	-0.15451059	No	
row_3	NCOA2	4312	0.6216619610786438	-0.21681961	No	
row_4	AR	5382	0.4308144450187683	-0.27693224	No	
row_5	H2AC18	8912	-0.20763935148715973	-0.48882377	No	
row_6	H3-3B	9510	-0.32959118485450745	-0.52140933	No	
row_7	H4C11	9651	-0.36360275745391846	-0.52588105	No	
row_8	PKN1	9920	-0.42301490902900696	-0.53746384	No	
row_9	H4C8	10118	-0.4685598313808441	-0.54423314	No	
row_10	H4C14	10252	-0.5007442235946655	-0.54676163	No	
row_11	H2BC9	10328	-0.5166260004043579	-0.54559404	No	
row_12	H2AX	10714	-0.6094644069671631	-0.5622139	No	
row_13	H4C1	11059	-0.6921157836914062	-0.5754302	No	
row_14	H2BC21	11333	-0.7696878910064697	-0.5834784	No	
row_15	H4C13	11441	-0.7959462404251099	-0.58116066	No	
row_16	H3C4	12237	-1.014069676399231	-0.6181857	No	
row_17	KDM4C	12417	-1.071956753730774	-0.6171822	No	
row_18	H2BC12	12827	-1.2135350704193115	-0.6285709	Yes	
row_19	H4C12	13014	-1.2790555953979492	-0.6256994	Yes	
row_20	H2BC17	13107	-1.3134263753890991	-0.61674213	Yes	
row_21	H3C6	13182	-1.3446156978607178	-0.606347	Yes	
row_22	H2BC14	13229	-1.3626646995544434	-0.5940527	Yes	
row_23	H2BC3	13325	-1.3952683210372925	-0.5843713	Yes	
row_24	H4C2	13377	-1.4115980863571167	-0.57183874	Yes	
row_25	H2BC13	13571	-1.4892842769622803	-0.5670646	Yes	
row_26	H2BC11	13574	-1.4913228750228882	-0.5506753	Yes	
row_27	H3C12	13646	-1.524367094039917	-0.53810805	Yes	
row_28	H2AJ	13647	-1.5247454643249512	-0.5212273	Yes	
row_29	H2BC10	13921	-1.6341475248336792	-0.51970494	Yes	
row_30	H2BC5	13928	-1.6365104913711548	-0.50195104	Yes	
row_31	H4C5	13957	-1.6475505828857422	-0.48541015	Yes	
row_32	H3C3	14026	-1.6829837560653687	-0.47090474	Yes	
row_33	H4C9	14285	-1.8014343976974487	-0.4666199	Yes	
row_34	H2BC7	14296	-1.8048152923583984	-0.44724542	Yes	
row_35	H3C7	14369	-1.8449333906173706	-0.43118984	Yes	
row_36	H3C1	14400	-1.860592246055603	-0.41241172	Yes	
row_37	H2BC26	14486	-1.8953831195831299	-0.39658663	Yes	
row_38	H2BC4	14509	-1.9068490266799927	-0.37681082	Yes	
row_39	H3C14	14517	-1.9120327234268188	-0.35606724	Yes	
row_40	H2AC8	14573	-1.9389710426330566	-0.33793873	Yes	
row_41	H2AC7	14673	-1.9917974472045898	-0.32189593	Yes	
row_42	H3C10	14689	-2.00132155418396	-0.30064937	Yes	
row_43	H3C11	14693	-2.002318859100342	-0.27866343	Yes	
row_44	H2AC14	14713	-2.016253709793091	-0.25749433	Yes	
row_45	H4C16	14727	-2.0249745845794678	-0.2358645	Yes	
row_46	H2AC4	14730	-2.0254526138305664	-0.21356174	Yes	
row_47	H4C4	14732	-2.026857852935791	-0.19118275	Yes	
row_48	H3C2	14885	-2.124586820602417	-0.17688662	Yes	
row_49	H4C3	14934	-2.158620595932007	-0.15590148	Yes	
row_50	H2BC6	14976	-2.1810669898986816	-0.13424297	Yes	
row_51	H2AC19	15071	-2.246922016143799	-0.11507217	Yes	
row_52	H2BC15	15107	-2.2702934741973877	-0.092061654	Yes	
row_53	H3C13	15151	-2.303771734237671	-0.06916605	Yes	
row_54	H2AC20	15254	-2.385629415512085	-0.048945148	Yes	
row_55	H2BC8	15434	-2.5153231620788574	-0.03196185	Yes	
row_56	H2AC6	15731	-2.780921220779419	-0.019139312	Yes	
row_57	H3C8	16526	-6.119996070861816	4.2492998E-4	Yes	
