NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.040331706	Yes	
row_1	FBXO5	389	2.0054757595062256	0.04898814	Yes	
row_2	BUB1B	407	1.9812971353530884	0.07626793	Yes	
row_3	MAD2L1	637	1.7587370872497559	0.08747815	Yes	
row_4	NEK2	652	1.7499909400939941	0.111634895	Yes	
row_5	UBE2E1	784	1.6605392694473267	0.12740003	Yes	
row_6	ANAPC10	820	1.6403491497039795	0.14871319	Yes	
row_7	SEM1	861	1.6260969638824463	0.16951871	Yes	
row_8	CCNB1	1053	1.5094741582870483	0.17947721	Yes	
row_9	PTTG1	1165	1.4586989879608154	0.19357392	Yes	
row_10	PSMD10	1260	1.4212841987609863	0.20816953	Yes	
row_11	ANAPC4	1272	1.4171490669250488	0.22775225	Yes	
row_12	PSMB6	1331	1.3908638954162598	0.24410187	Yes	
row_13	PSMB1	1391	1.3627511262893677	0.25998893	Yes	
row_14	CDC26	1450	1.3392008543014526	0.27560025	Yes	
row_15	RB1	1558	1.3027392625808716	0.28771144	Yes	
row_16	CCNA2	1559	1.3026375770568848	0.30632654	Yes	
row_17	CDC16	1660	1.2684545516967773	0.31837338	Yes	
row_18	PSMD1	1821	1.2085275650024414	0.325916	Yes	
row_19	PSMD14	1883	1.1883625984191895	0.33918938	Yes	
row_20	PSMC6	2132	1.1059304475784302	0.33991566	Yes	
row_21	BTRC	2139	1.1019747257232666	0.35529843	Yes	
row_22	CDC27	2349	1.043047308921814	0.3574972	Yes	
row_23	UBE2D1	2478	1.0106985569000244	0.36415827	Yes	
row_24	PSMA2	2605	0.9821703433990479	0.3705333	Yes	
row_25	PSMB2	2841	0.9261661767959595	0.36948103	Yes	
row_26	CDC23	3040	0.8818792104721069	0.37004542	Yes	
row_27	PSMD13	3051	0.8800524473190308	0.38201368	Yes	
row_28	PSMD12	3273	0.8270295262336731	0.3803959	Yes	
row_29	PSMD7	3297	0.8220282196998596	0.39074457	Yes	
row_30	PSMD4	3309	0.8191383481025696	0.40178153	Yes	
row_31	ANAPC7	3330	0.8150379061698914	0.41221273	Yes	
row_32	PSME3	3566	0.7692116498947144	0.40891755	Yes	
row_33	PSMC2	3654	0.7503330111503601	0.41435063	Yes	
row_34	RPS27A	3668	0.7473828792572021	0.42424062	Yes	
row_35	UBA52	3857	0.7059215307235718	0.42289847	Yes	
row_36	PSMC3	3940	0.6903654336929321	0.4277786	Yes	
row_37	ANAPC15	4037	0.6725160479545593	0.4315525	Yes	
row_38	PSMB5	4116	0.6567730903625488	0.43619576	Yes	
row_39	PSMA6	4239	0.634976327419281	0.43785244	Yes	
row_40	PSMB3	4305	0.6225293874740601	0.44279674	Yes	
row_41	AURKB	4424	0.6027894020080566	0.44423667	Yes	
row_42	PSMD11	4501	0.5884295701980591	0.44802487	Yes	
row_43	CDC20	4560	0.577100396156311	0.45274556	Yes	
row_44	PSMC1	4603	0.5701741576194763	0.45834002	Yes	
row_45	PSMA4	4833	0.5295811295509338	0.45198524	Yes	
row_46	PSMA3	4901	0.519446074962616	0.45533484	Yes	
row_47	PLK1	4974	0.5083270072937012	0.45822155	Yes	
row_48	CDK1	5118	0.4838193953037262	0.4564414	Yes	
row_49	ANAPC16	5197	0.4688567817211151	0.4583993	Yes	
row_50	PSMA1	5233	0.4622754454612732	0.46287745	Yes	
row_51	PSME2	5404	0.42629274725914	0.4586337	Yes	
row_52	PSME1	5463	0.41578492522239685	0.4610491	Yes	
row_53	PSMD8	5480	0.4130707085132599	0.46597928	Yes	
row_54	PSMB7	5773	0.3588389754295349	0.45335427	Yes	
