NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KPNA1	817	1.64186692237854	-0.03206671	No	
row_1	ORC4	1156	1.4616949558258057	-0.03697773	No	
row_2	H3-3A	1355	1.3800959587097168	-0.03426083	No	
row_3	ORC2	2188	1.0884873867034912	-0.07314742	No	
row_4	ORC3	2430	1.0238450765609741	-0.07684522	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.11267591	No	
row_6	ORC6	4843	0.5278176069259644	-0.2084845	No	
row_7	KPNA6	5290	0.4488072991371155	-0.23076819	No	
row_8	KPNB1	5361	0.4351217448711395	-0.23037139	No	
row_9	ORC5	6455	0.23547068238258362	-0.29421195	No	
row_10	ORC1	6720	0.19140839576721191	-0.3081952	No	
row_11	H2AC18	8912	-0.20763935148715973	-0.43899152	No	
row_12	H3-3B	9510	-0.32959118485450745	-0.47171533	No	
row_13	H4C11	9651	-0.36360275745391846	-0.4763319	No	
row_14	H4C8	10118	-0.4685598313808441	-0.49961883	No	
row_15	H4C14	10252	-0.5007442235946655	-0.5023459	No	
row_16	H2BC9	10328	-0.5166260004043579	-0.50138235	No	
row_17	H2AX	10714	-0.6094644069671631	-0.5182472	No	
row_18	H4C1	11059	-0.6921157836914062	-0.5317404	No	
row_19	H2BC21	11333	-0.7696878910064697	-0.5400949	No	
row_20	H4C13	11441	-0.7959462404251099	-0.5380913	No	
row_21	H3C4	12237	-1.014069676399231	-0.5755263	No	
row_22	H2BC12	12827	-1.2135350704193115	-0.5983253	Yes	
row_23	H4C12	13014	-1.2790555953979492	-0.5959588	Yes	
row_24	H2BC17	13107	-1.3134263753890991	-0.5875187	Yes	
row_25	H3C6	13182	-1.3446156978607178	-0.57765275	Yes	
row_26	H2BC14	13229	-1.3626646995544434	-0.5658942	Yes	
row_27	H2BC3	13325	-1.3952683210372925	-0.5567623	Yes	
row_28	H4C2	13377	-1.4115980863571167	-0.5447847	Yes	
row_29	H2BC13	13571	-1.4892842769622803	-0.54059833	Yes	
row_30	H2BC11	13574	-1.4913228750228882	-0.5247947	Yes	
row_31	H3C12	13646	-1.524367094039917	-0.51282716	Yes	
row_32	H2AJ	13647	-1.5247454643249512	-0.49654523	Yes	
row_33	H2BC10	13921	-1.6341475248336792	-0.49566862	Yes	
row_34	H2BC5	13928	-1.6365104913711548	-0.47855747	Yes	
row_35	H4C5	13957	-1.6475505828857422	-0.46266404	Yes	
row_36	H3C3	14026	-1.6829837560653687	-0.4488206	Yes	
row_37	H4C9	14285	-1.8014343976974487	-0.44524696	Yes	
row_38	H2BC7	14296	-1.8048152923583984	-0.4265814	Yes	
row_39	H3C7	14369	-1.8449333906173706	-0.41125143	Yes	
row_40	H3C1	14400	-1.860592246055603	-0.39320445	Yes	
row_41	H2BC26	14486	-1.8953831195831299	-0.37812495	Yes	
row_42	H2BC4	14509	-1.9068490266799927	-0.35909835	Yes	
row_43	H3C14	14517	-1.9120327234268188	-0.33910576	Yes	
row_44	H2AC8	14573	-1.9389710426330566	-0.32173952	Yes	
row_45	H2AC7	14673	-1.9917974472045898	-0.3064804	Yes	
row_46	H3C10	14689	-2.00132155418396	-0.28602	Yes	
row_47	H3C11	14693	-2.002318859100342	-0.26482046	Yes	
row_48	H2AC14	14713	-2.016253709793091	-0.24444345	Yes	
row_49	H4C16	14727	-2.0249745845794678	-0.22360906	Yes	
row_50	H2AC4	14730	-2.0254526138305664	-0.20210177	Yes	
row_51	H4C4	14732	-2.026857852935791	-0.18051876	Yes	
row_52	H3C2	14885	-2.124586820602417	-0.16705923	Yes	
row_53	H4C3	14934	-2.158620595932007	-0.14692251	Yes	
row_54	H2BC6	14976	-2.1810669898986816	-0.12612116	Yes	
row_55	H2AC19	15071	-2.246922016143799	-0.107834145	Yes	
row_56	H2BC15	15107	-2.2702934741973877	-0.08571573	Yes	
row_57	H3C13	15151	-2.303771734237671	-0.063725494	Yes	
row_58	H2AC20	15254	-2.385629415512085	-0.044442974	Yes	
row_59	H2BC8	15434	-2.5153231620788574	-0.028450126	Yes	
row_60	H2AC6	15731	-2.780921220779419	-0.016724061	Yes	
row_61	H3C8	16526	-6.119996070861816	4.2504893E-4	Yes	
