NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.066872545	No	
row_1	H2AZ2	3171	0.8516238927841187	-0.16756019	No	
row_2	UHRF1	4340	0.6172966361045837	-0.23158339	No	
row_3	UNG	4497	0.5893533825874329	-0.2344842	No	
row_4	KDM6A	7562	0.04541241005063057	-0.41997933	No	
row_5	TET3	8351	-0.10363566130399704	-0.46666	No	
row_6	H2AC18	8912	-0.20763935148715973	-0.49834058	No	
row_7	KDM5B	9064	-0.23811806738376617	-0.5048529	No	
row_8	KDM5A	9391	-0.3069114089012146	-0.5212219	No	
row_9	H3-3B	9510	-0.32959118485450745	-0.5247113	No	
row_10	H4C11	9651	-0.36360275745391846	-0.52915716	No	
row_11	METTL23	9876	-0.41490432620048523	-0.5381304	No	
row_12	H4C8	10118	-0.4685598313808441	-0.5475376	No	
row_13	H4C14	10252	-0.5007442235946655	-0.5500299	No	
row_14	H2BC9	10328	-0.5166260004043579	-0.5488242	No	
row_15	H2AX	10714	-0.6094644069671631	-0.5654024	No	
row_16	H4C1	11059	-0.6921157836914062	-0.57857037	No	
row_17	H2BC21	11333	-0.7696878910064697	-0.5865636	No	
row_18	H4C13	11441	-0.7959462404251099	-0.58418703	No	
row_19	KDM6B	11472	-0.8065096735954285	-0.5770184	No	
row_20	H3C4	12237	-1.014069676399231	-0.612094	No	
row_21	H2BC12	12827	-1.2135350704193115	-0.63432276	Yes	
row_22	H4C12	13014	-1.2790555953979492	-0.63135695	Yes	
row_23	H2BC17	13107	-1.3134263753890991	-0.6223017	Yes	
row_24	H3C6	13182	-1.3446156978607178	-0.61180615	Yes	
row_25	H2BC14	13229	-1.3626646995544434	-0.5994096	Yes	
row_26	H2BC3	13325	-1.3952683210372925	-0.5896242	Yes	
row_27	H4C2	13377	-1.4115980863571167	-0.5769858	Yes	
row_28	H2BC13	13571	-1.4892842769622803	-0.5721016	Yes	
row_29	H2BC11	13574	-1.4913228750228882	-0.5556	Yes	
row_30	H3C12	13646	-1.524367094039917	-0.5429187	Yes	
row_31	H2AJ	13647	-1.5247454643249512	-0.5259231	Yes	
row_32	H2BC10	13921	-1.6341475248336792	-0.52428055	Yes	
row_33	H2BC5	13928	-1.6365104913711548	-0.5064034	Yes	
row_34	H4C5	13957	-1.6475505828857422	-0.4897387	Yes	
row_35	H3C3	14026	-1.6829837560653687	-0.47510725	Yes	
row_36	H4C9	14285	-1.8014343976974487	-0.47068954	Yes	
row_37	H2BC7	14296	-1.8048152923583984	-0.45117918	Yes	
row_38	H3C7	14369	-1.8449333906173706	-0.43498537	Yes	
row_39	H3C1	14400	-1.860592246055603	-0.41606742	Yes	
row_40	H2BC26	14486	-1.8953831195831299	-0.40010044	Yes	
row_41	H2BC4	14509	-1.9068490266799927	-0.38018122	Yes	
row_42	H3C14	14517	-1.9120327234268188	-0.35929367	Yes	
row_43	H2AC8	14573	-1.9389710426330566	-0.3410197	Yes	
row_44	H2AC7	14673	-1.9917974472045898	-0.3248279	Yes	
row_45	H3C10	14689	-2.00132155418396	-0.3034307	Yes	
row_46	H3C11	14693	-2.002318859100342	-0.28129393	Yes	
row_47	H2AC14	14713	-2.016253709793091	-0.25997314	Yes	
row_48	H4C16	14727	-2.0249745845794678	-0.23819089	Yes	
row_49	H2AC4	14730	-2.0254526138305664	-0.21573555	Yes	
row_50	H4C4	14732	-2.026857852935791	-0.19320385	Yes	
row_51	H3C2	14885	-2.124586820602417	-0.17874932	Yes	
row_52	H4C3	14934	-2.158620595932007	-0.15760207	Yes	
row_53	H2BC6	14976	-2.1810669898986816	-0.13577968	Yes	
row_54	H2AC19	15071	-2.246922016143799	-0.11644063	Yes	
row_55	H2BC15	15107	-2.2702934741973877	-0.093259454	Yes	
row_56	H3C13	15151	-2.303771734237671	-0.07019074	Yes	
row_57	H2AC20	15254	-2.385629415512085	-0.04979123	Yes	
row_58	H2BC8	15434	-2.5153231620788574	-0.032620396	Yes	
row_59	H2AC6	15731	-2.780921220779419	-0.019591602	Yes	
row_60	H3C8	16526	-6.119996070861816	4.2496654E-4	Yes	
