NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LZTFL1	41	3.318791151046753	0.017306361	Yes	
row_1	IFT88	106	2.7914369106292725	0.030057227	Yes	
row_2	CNTRL	110	2.7658779621124268	0.04638707	Yes	
row_3	DYNC2LI1	191	2.442026376724243	0.056073047	Yes	
row_4	TMEM67	193	2.439018726348877	0.07057376	Yes	
row_5	CEP63	263	2.2210304737091064	0.079613216	Yes	
row_6	SEPTIN2	355	2.0460002422332764	0.08626185	Yes	
row_7	CDK5RAP2	392	1.9999853372573853	0.09600031	Yes	
row_8	IFT80	423	1.958588719367981	0.10585864	Yes	
row_9	BBS4	441	1.9361332654953003	0.11637816	Yes	
row_10	CLUAP1	448	1.9292830228805542	0.12752968	Yes	
row_11	UNC119B	450	1.9261157512664795	0.13896817	Yes	
row_12	NEDD1	483	1.895835280418396	0.1483295	Yes	
row_13	WDR35	489	1.8910114765167236	0.1593137	Yes	
row_14	IFT81	505	1.875915288925171	0.16959603	Yes	
row_15	DYNC1I2	551	1.823386311531067	0.17772956	Yes	
row_16	DYNLL2	576	1.8036925792694092	0.18703014	Yes	
row_17	BBS1	596	1.7895303964614868	0.19655204	Yes	
row_18	NEK2	652	1.7499909400939941	0.20363563	Yes	
row_19	IFT122	788	1.657783031463623	0.20527484	Yes	
row_20	HDAC6	848	1.6315139532089233	0.21140638	Yes	
row_21	NPHP1	900	1.5970473289489746	0.21782154	Yes	
row_22	TUBA1A	916	1.5884283781051636	0.22638747	Yes	
row_23	PAFAH1B1	986	1.5540896654129028	0.23144503	Yes	
row_24	CEP162	1177	1.4534550905227661	0.22849979	Yes	
row_25	TTC8	1202	1.4410351514816284	0.23563516	Yes	
row_26	CEP70	1218	1.4337689876556396	0.24327771	Yes	
row_27	ARL6	1237	1.4263590574264526	0.25069252	Yes	
row_28	WDR19	1334	1.390341877937317	0.25312075	Yes	
row_29	BBS9	1340	1.3879868984222412	0.26110172	Yes	
row_30	CCP110	1426	1.3504399061203003	0.26396462	Yes	
row_31	KIFAP3	1477	1.3288525342941284	0.26883972	Yes	
row_32	CEP135	1598	1.2883085012435913	0.26919064	Yes	
row_33	KIF3A	1673	1.2629563808441162	0.27220413	Yes	
row_34	CEP78	1690	1.2555396556854248	0.27872142	Yes	
row_35	CENPJ	1701	1.2529847621917725	0.2855905	Yes	
row_36	IFT43	1741	1.237292766571045	0.29059187	Yes	
row_37	MKS1	1803	1.2147090435028076	0.29411256	Yes	
row_38	CETN2	1855	1.1971596479415894	0.29814023	Yes	
row_39	CKAP5	1873	1.192340612411499	0.30421904	Yes	
row_40	YWHAE	1900	1.1839460134506226	0.30969712	Yes	
row_41	BBS12	1921	1.1755039691925049	0.31549188	Yes	
row_42	IFT172	1924	1.1741164922714233	0.32237947	Yes	
row_43	TCTN2	1997	1.1502996683120728	0.32484272	Yes	
row_44	IFT57	2005	1.1482994556427002	0.3312703	Yes	
row_45	IQCB1	2090	1.1153779029846191	0.33279097	Yes	
row_46	CEP89	2163	1.094204068183899	0.33491933	Yes	
row_47	YWHAG	2171	1.0912699699401855	0.34100643	Yes	
row_48	EXOC4	2217	1.0791033506393433	0.34469628	Yes	
row_49	SDCCAG8	2324	1.0499759912490845	0.34448066	Yes	
row_50	TTC21B	2394	1.0322246551513672	0.3464225	Yes	
row_51	HSP90AA1	2403	1.0307763814926147	0.35208726	Yes	
row_52	KIF17	2437	1.0218336582183838	0.35616925	Yes	
row_53	B9D1	2491	1.007655382156372	0.35894316	Yes	
row_54	IFT70B	2553	0.9944922924041748	0.3611491	Yes	
row_55	RP2	2604	0.9823257327079773	0.36395532	Yes	
row_56	NDE1	2646	0.9690292477607727	0.36723268	Yes	
row_57	HAUS1	2720	0.9513058662414551	0.3684467	Yes	
row_58	DCTN1	2794	0.9344712495803833	0.3695602	Yes	
row_59	KIF3B	2802	0.9328594207763672	0.37470153	Yes	
row_60	IFT22	2846	0.9257224798202515	0.377598	Yes	
row_61	SMO	2884	0.9151763319969177	0.38079852	Yes	
row_62	OFD1	3004	0.8900375366210938	0.3788328	Yes	
row_63	PLK4	3080	0.8713182806968689	0.3794469	Yes	
row_64	DYNLRB1	3177	0.8496522307395935	0.378647	Yes	
row_65	CEP152	3209	0.8416754603385925	0.38177577	Yes	
row_66	CEP57	3226	0.8378946781158447	0.38579953	Yes	
row_67	CEP76	3232	0.8374571204185486	0.3904936	Yes	
row_68	RAB3IP	3248	0.8322757482528687	0.39454502	Yes	
row_69	TRAF3IP1	3292	0.8234692215919495	0.396831	Yes	
row_70	CEP290	3301	0.8210718035697937	0.40124375	Yes	
row_71	IFT74	3307	0.8195357918739319	0.4058308	Yes	
row_72	SCLT1	3363	0.8088042140007019	0.40729517	Yes	
row_73	ATAT1	3368	0.8085052967071533	0.41187754	Yes	
row_74	BBS5	3412	0.8004833459854126	0.4140263	Yes	
row_75	CEP43	3452	0.7913747429847717	0.41636536	Yes	
row_76	TUBA1B	3457	0.7907239198684692	0.42084157	Yes	
row_77	ARL3	3503	0.780989944934845	0.4227516	Yes	
row_78	CCT2	3621	0.7571558356285095	0.42011485	Yes	
row_79	HAUS8	3635	0.7534732222557068	0.4238181	Yes	
row_80	HAUS3	3699	0.7409794926643372	0.4243881	Yes	
row_81	IFT25	3818	0.7141333818435669	0.42143333	Yes	
row_82	DYNC2I1	3851	0.7067677974700928	0.42369545	Yes	
row_83	IFT46	3871	0.7035931944847107	0.42673388	Yes	
row_84	IFT52	3923	0.6935771703720093	0.42775497	Yes	
row_85	RAB11A	4145	0.6520413160324097	0.4181286	Yes	
row_86	PDE6D	4171	0.6483742594718933	0.42047033	Yes	
row_87	DYNLL1	4186	0.6466732621192932	0.4234748	Yes	
row_88	HAUS5	4229	0.637620747089386	0.42471236	Yes	
row_89	TUBB	4294	0.6240842938423157	0.4245233	Yes	
row_90	IFT56	4313	0.621636152267456	0.42713356	Yes	
row_91	PCM1	4327	0.6194667816162109	0.43003678	Yes	
row_92	EXOC7	4347	0.6165095567703247	0.4325553	Yes	
row_93	MAPRE1	4400	0.6074020862579346	0.43300068	Yes	
row_94	TNPO1	4435	0.6004981994628906	0.434506	Yes	
row_95	DCTN2	4511	0.5856668949127197	0.43341467	No	
row_96	MKKS	4601	0.570681095123291	0.43137744	No	
row_97	IFT70A	4625	0.5668158531188965	0.43335456	No	
row_98	PPP2R1A	4837	0.5291846394538879	0.42360643	No	
row_99	CEP97	4846	0.526800274848938	0.42626223	No	
row_100	TUBB2B	4887	0.5215921401977539	0.4269294	No	
row_101	CEP83	4930	0.5149813890457153	0.42743477	No	
row_102	PLK1	4974	0.5083270072937012	0.42783922	No	
row_103	EXOC1	4988	0.5057343244552612	0.4300634	No	
row_104	KIF24	4998	0.5032023787498474	0.43251717	No	
row_105	CCT8	5057	0.49348020553588867	0.43191537	No	
row_106	CDK1	5118	0.4838193953037262	0.43113357	No	
row_107	KIF3C	5287	0.4496684670448303	0.42354116	No	
row_108	BBS7	5311	0.44416385889053345	0.424786	No	
row_109	HAUS2	5325	0.4414072632789612	0.42662612	No	
row_110	EXOC5	5401	0.4268600046634674	0.42458662	No	
row_111	B9D2	5554	0.39997121691703796	0.41767627	No	
row_112	TCTN1	5573	0.3966746926307678	0.41894346	No	
row_113	EXOC2	5577	0.39599609375	0.4211242	No	
row_114	ARL13B	5676	0.37673985958099365	0.4173785	No	
row_115	PKD2	5726	0.3668842017650604	0.41657144	No	
row_116	CSNK1D	5759	0.36089369654655457	0.41676855	No	
row_117	TUBB2A	5796	0.3551931083202362	0.41668695	No	
row_118	BBIP1	5824	0.3506365418434143	0.4171287	No	
row_119	RAB8A	5832	0.3496476113796234	0.41878805	No	
row_120	DCTN3	5841	0.3482176661491394	0.42037764	No	
row_121	ACTR1A	5854	0.3460596799850464	0.4217097	No	
row_122	DYNLT2B	5897	0.3389466106891632	0.42116404	No	
row_123	BBS10	6011	0.3173007369041443	0.41614586	No	
row_124	PRKAR2B	6101	0.2989419102668762	0.41248626	No	
row_125	TRIP11	6332	0.255670428276062	0.39994285	No	
row_126	TUBA1C	6396	0.24527095258235931	0.39755327	No	
row_127	CYS1	6399	0.24501243233680725	0.39889374	No	
row_128	CCT4	6400	0.24482397735118866	0.40035546	No	
row_129	NPHP3	6469	0.2330637276172638	0.39758715	No	
row_130	CCT3	6618	0.2057846635580063	0.3897621	No	
row_131	TCP1	6634	0.20391783118247986	0.39006197	No	
row_132	AKAP9	6686	0.1971912384033203	0.38811943	No	
row_133	CCT5	6705	0.19352716207504272	0.38817376	No	
row_134	TMEM216	6863	0.16766607761383057	0.37957057	No	
row_135	MARK4	6942	0.15508955717086792	0.375725	No	
row_136	RPGRIP1L	6971	0.14980821311473846	0.37490657	No	
row_137	ASAP1	7062	0.13268372416496277	0.37019315	No	
row_138	CEP72	7186	0.11138641089200974	0.36333385	No	
row_139	TTBK2	7291	0.09393439441919327	0.35753265	No	
row_140	ODF2	7297	0.09297618269920349	0.3577819	No	
row_141	NPHP4	7531	0.05068589374423027	0.34383112	No	
row_142	IFT20	7630	0.031386297196149826	0.3380235	No	
