NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.071188375	No	
row_1	YWHAE	1900	1.1839460134506226	-0.09464002	No	
row_2	CDC25C	1929	1.1735352277755737	-0.08678766	No	
row_3	FOXO3	2083	1.1197291612625122	-0.086977296	No	
row_4	RIPK1	2147	1.0990725755691528	-0.08186034	No	
row_5	GSDME	2343	1.0445433855056763	-0.08521708	No	
row_6	PRDX1	2447	1.0186423063278198	-0.08318828	No	
row_7	LMNB1	2805	0.9322924613952637	-0.09731365	No	
row_8	SUZ12	2887	0.9139024615287781	-0.094799414	No	
row_9	POLA1	2983	0.8953283429145813	-0.09328806	No	
row_10	RBBP4	3138	0.8583824634552002	-0.095666565	No	
row_11	H2AZ2	3171	0.8516238927841187	-0.09067873	No	
row_12	RBBP7	3294	0.8228333592414856	-0.0914001	No	
row_13	DNMT3B	4076	0.6639984846115112	-0.13350241	No	
row_14	EED	4669	0.5596553087234497	-0.16495728	No	
row_15	CAPNS1	4752	0.5429614186286926	-0.1655243	No	
row_16	PRIM2	5281	0.45119622349739075	-0.19396913	No	
row_17	EZH2	5316	0.44310641288757324	-0.19242935	No	
row_18	CDK5R1	5550	0.4010904133319855	-0.20333704	No	
row_19	APP	5634	0.38473883271217346	-0.20525324	No	
row_20	POLA2	5752	0.3623009920120239	-0.2094204	No	
row_21	DNMT1	6169	0.2848260998725891	-0.23240684	No	
row_22	BCL2L11	6204	0.280171275138855	-0.23219377	No	
row_23	TP53	6368	0.25025931000709534	-0.24007146	No	
row_24	PRDX2	7079	0.13066506385803223	-0.28219748	No	
row_25	PRIM1	7352	0.08346109092235565	-0.2980639	No	
row_26	CASP8	7524	0.0517154186964035	-0.3080449	No	
row_27	CDC25A	7528	0.05121168494224548	-0.3078104	No	
row_28	CDC25B	7658	0.026216868311166763	-0.3154441	No	
row_29	C1QBP	8526	-0.13494068384170532	-0.36708578	No	
row_30	H2AC18	8912	-0.20763935148715973	-0.388815	No	
row_31	H3-3B	9510	-0.32959118485450745	-0.42244732	No	
row_32	H4C11	9651	-0.36360275745391846	-0.42800298	No	
row_33	JUN	9736	-0.3816027045249939	-0.43000555	No	
row_34	H4C8	10118	-0.4685598313808441	-0.44936684	No	
row_35	H4C14	10252	-0.5007442235946655	-0.45338002	No	
row_36	H2BC9	10328	-0.5166260004043579	-0.45373565	No	
row_37	CDK5	10341	-0.5194270610809326	-0.45023614	No	
row_38	FADD	10352	-0.5217751860618591	-0.44659585	No	
row_39	CAPN2	10445	-0.5459063649177551	-0.4477472	No	
row_40	H2AX	10714	-0.6094644069671631	-0.45908728	No	
row_41	CAST	10741	-0.6146772503852844	-0.4556638	No	
row_42	DNMT3A	11029	-0.6850240230560303	-0.4675444	No	
row_43	H4C1	11059	-0.6921157836914062	-0.4636729	No	
row_44	CAPN1	11166	-0.7228322625160217	-0.46423525	No	
row_45	H2BC21	11333	-0.7696878910064697	-0.46806592	No	
row_46	H4C13	11441	-0.7959462404251099	-0.46809378	No	
row_47	H3C4	12237	-1.014069676399231	-0.5081972	No	
row_48	H2BC12	12827	-1.2135350704193115	-0.5341453	Yes	
row_49	GOLGA2	12935	-1.2509139776229858	-0.5304685	Yes	
row_50	H4C12	13014	-1.2790555953979492	-0.5247985	Yes	
row_51	SOD2	13092	-1.3074244260787964	-0.5188367	Yes	
row_52	H2BC17	13107	-1.3134263753890991	-0.5089936	Yes	
row_53	H3C6	13182	-1.3446156978607178	-0.5025464	Yes	
row_54	H2BC14	13229	-1.3626646995544434	-0.49424905	Yes	
row_55	H2BC3	13325	-1.3952683210372925	-0.48866686	Yes	
row_56	H4C2	13377	-1.4115980863571167	-0.48027518	Yes	
row_57	H2BC13	13571	-1.4892842769622803	-0.47988892	Yes	
row_58	H2BC11	13574	-1.4913228750228882	-0.46786734	Yes	
row_59	H3C12	13646	-1.524367094039917	-0.45977405	Yes	
row_60	H2AJ	13647	-1.5247454643249512	-0.44735864	Yes	
row_61	TRAF2	13708	-1.5512821674346924	-0.43837705	Yes	
row_62	TRADD	13874	-1.6178383827209473	-0.43524075	Yes	
row_63	H2BC10	13921	-1.6341475248336792	-0.42473277	Yes	
