NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.06670176	No	
row_1	H2AZ2	3171	0.8516238927841187	-0.1672696	No	
row_2	DNMT3B	4076	0.6639984846115112	-0.21466014	No	
row_3	UHRF1	4340	0.6172966361045837	-0.22367361	No	
row_4	DNMT1	6169	0.2848260998725891	-0.3314102	No	
row_5	H2AC18	8912	-0.20763935148715973	-0.49548686	No	
row_6	H3-3B	9510	-0.32959118485450745	-0.52800936	No	
row_7	H4C11	9651	-0.36360275745391846	-0.5324134	No	
row_8	H4C8	10118	-0.4685598313808441	-0.55542123	No	
row_9	H4C14	10252	-0.5007442235946655	-0.5578568	No	
row_10	H2BC9	10328	-0.5166260004043579	-0.5565936	No	
row_11	H2AX	10714	-0.6094644069671631	-0.5730995	No	
row_12	DNMT3A	11029	-0.6850240230560303	-0.58444583	No	
row_13	H4C1	11059	-0.6921157836914062	-0.5784156	No	
row_14	H2BC21	11333	-0.7696878910064697	-0.5863207	No	
row_15	H4C13	11441	-0.7959462404251099	-0.58385557	No	
row_16	H3C4	12237	-1.014069676399231	-0.62069046	No	
row_17	H2BC12	12827	-1.2135350704193115	-0.642778	Yes	
row_18	H4C12	13014	-1.2790555953979492	-0.63966966	Yes	
row_19	H2BC17	13107	-1.3134263753890991	-0.6304695	Yes	
row_20	H3C6	13182	-1.3446156978607178	-0.6198259	Yes	
row_21	H2BC14	13229	-1.3626646995544434	-0.6072798	Yes	
row_22	H2BC3	13325	-1.3952683210372925	-0.5973405	Yes	
row_23	H4C2	13377	-1.4115980863571167	-0.5845471	Yes	
row_24	H2BC13	13571	-1.4892842769622803	-0.57949734	Yes	
row_25	H2BC11	13574	-1.4913228750228882	-0.56283265	Yes	
row_26	H3C12	13646	-1.524367094039917	-0.54998374	Yes	
row_27	H2AJ	13647	-1.5247454643249512	-0.53282154	Yes	
row_28	H2BC10	13921	-1.6341475248336792	-0.53099644	Yes	
row_29	H2BC5	13928	-1.6365104913711548	-0.51294035	Yes	
row_30	H4C5	13957	-1.6475505828857422	-0.49609518	Yes	
row_31	H3C3	14026	-1.6829837560653687	-0.48127884	Yes	
row_32	H4C9	14285	-1.8014343976974487	-0.47666043	Yes	
row_33	H2BC7	14296	-1.8048152923583984	-0.45695272	Yes	
row_34	H3C7	14369	-1.8449333906173706	-0.44055623	Yes	
row_35	H3C1	14400	-1.860592246055603	-0.42143452	Yes	
row_36	H2BC26	14486	-1.8953831195831299	-0.40525916	Yes	
row_37	H2BC4	14509	-1.9068490266799927	-0.38513127	Yes	
row_38	H3C14	14517	-1.9120327234268188	-0.36403462	Yes	
row_39	H2AC8	14573	-1.9389710426330566	-0.34554794	Yes	
row_40	H2AC7	14673	-1.9917974472045898	-0.32913706	Yes	
row_41	H3C10	14689	-2.00132155418396	-0.30752096	Yes	
row_42	H3C11	14693	-2.002318859100342	-0.28516534	Yes	
row_43	H2AC14	14713	-2.016253709793091	-0.2636239	Yes	
row_44	H4C16	14727	-2.0249745845794678	-0.24162018	Yes	
row_45	H2AC4	14730	-2.0254526138305664	-0.21894348	Yes	
row_46	H4C4	14732	-2.026857852935791	-0.19619027	Yes	
row_47	H3C2	14885	-2.124586820602417	-0.18150133	Yes	
row_48	H4C3	14934	-2.158620595932007	-0.16011748	Yes	
row_49	H2BC6	14976	-2.1810669898986816	-0.13805614	Yes	
row_50	H2AC19	15071	-2.246922016143799	-0.11847016	Yes	
row_51	H2BC15	15107	-2.2702934741973877	-0.09504037	Yes	
row_52	H3C13	15151	-2.303771734237671	-0.07171928	Yes	
row_53	H2AC20	15254	-2.385629415512085	-0.05105757	Yes	
row_54	H2BC8	15434	-2.5153231620788574	-0.033609226	Yes	
row_55	H2AC6	15731	-2.780921220779419	-0.020272177	Yes	
row_56	H3C8	16526	-6.119996070861816	4.2487634E-4	Yes	
