NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHD3	517	1.8583500385284424	-0.012436967	No	
row_1	CBX3	565	1.8094761371612549	0.0031727469	No	
row_2	H3-3A	1355	1.3800959587097168	-0.03066431	No	
row_3	HDAC2	1963	1.1608906984329224	-0.05568443	No	
row_4	RBBP4	3138	0.8583824634552002	-0.118228085	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.111481465	No	
row_6	MTA3	3193	0.8455266952514648	-0.10412898	No	
row_7	RBBP7	3294	0.8228333592414856	-0.10180611	No	
row_8	TTF1	3652	0.7506736516952515	-0.11582845	No	
row_9	GATAD2A	4727	0.5468602776527405	-0.17547745	No	
row_10	MTA2	4789	0.5359187126159668	-0.17371365	No	
row_11	ERCC6	4879	0.5223509073257446	-0.17378889	No	
row_12	GATAD2B	5439	0.41932418942451477	-0.20346083	No	
row_13	EHMT2	6791	0.1801779419183731	-0.2836751	No	
row_14	HDAC1	7216	0.10711921006441116	-0.30833364	No	
row_15	CHD4	7386	0.07811715453863144	-0.3178007	No	
row_16	MTA1	8846	-0.19568724930286407	-0.40441608	No	
row_17	H2AC18	8912	-0.20763935148715973	-0.40624505	No	
row_18	H3-3B	9510	-0.32959118485450745	-0.43914056	No	
row_19	H4C11	9651	-0.36360275745391846	-0.4439332	No	
row_20	H4C8	10118	-0.4685598313808441	-0.46745434	No	
row_21	H4C14	10252	-0.5007442235946655	-0.47042242	No	
row_22	H2BC9	10328	-0.5166260004043579	-0.46970576	No	
row_23	H2AX	10714	-0.6094644069671631	-0.4868696	No	
row_24	H4C1	11059	-0.6921157836914062	-0.50069994	No	
row_25	MBD3	11145	-0.7152466773986816	-0.49856386	No	
row_26	H2BC21	11333	-0.7696878910064697	-0.50206727	No	
row_27	H4C13	11441	-0.7959462404251099	-0.5004439	No	
row_28	H3C4	12237	-1.014069676399231	-0.5383804	No	
row_29	H2BC12	12827	-1.2135350704193115	-0.5617701	Yes	
row_30	H4C12	13014	-1.2790555953979492	-0.560015	Yes	
row_31	H2BC17	13107	-1.3134263753890991	-0.55220014	Yes	
row_32	H3C6	13182	-1.3446156978607178	-0.5429738	Yes	
row_33	H2BC14	13229	-1.3626646995544434	-0.53186274	Yes	
row_34	H2BC3	13325	-1.3952683210372925	-0.52339494	Yes	
row_35	H4C2	13377	-1.4115980863571167	-0.5120882	Yes	
row_36	H2BC13	13571	-1.4892842769622803	-0.50861305	Yes	
row_37	H2BC11	13574	-1.4913228750228882	-0.49351677	Yes	
row_38	H3C12	13646	-1.524367094039917	-0.48227403	Yes	
row_39	H2AJ	13647	-1.5247454643249512	-0.46671522	Yes	
row_40	H2BC10	13921	-1.6341475248336792	-0.46662068	Yes	
row_41	H2BC5	13928	-1.6365104913711548	-0.4502858	Yes	
row_42	H4C5	13957	-1.6475505828857422	-0.43517444	Yes	
row_43	H3C3	14026	-1.6829837560653687	-0.4221309	Yes	
row_44	H4C9	14285	-1.8014343976974487	-0.41941833	Yes	
row_45	H2BC7	14296	-1.8048152923583984	-0.40160897	Yes	
row_46	H3C7	14369	-1.8449333906173706	-0.38715583	Yes	
row_47	H3C1	14400	-1.860592246055603	-0.36999202	Yes	
row_48	H2BC26	14486	-1.8953831195831299	-0.35581362	Yes	
row_49	H2BC4	14509	-1.9068490266799927	-0.33769193	Yes	
row_50	H3C14	14517	-1.9120327234268188	-0.31860632	Yes	
row_51	H2AC8	14573	-1.9389710426330566	-0.3021611	Yes	
row_52	H2AC7	14673	-1.9917974472045898	-0.28784916	Yes	
row_53	H3C10	14689	-2.00132155418396	-0.2683383	Yes	
row_54	H3C11	14693	-2.002318859100342	-0.24808843	Yes	
row_55	H2AC14	14713	-2.016253709793091	-0.22866814	Yes	
row_56	H4C16	14727	-2.0249745845794678	-0.20879444	Yes	
row_57	H2AC4	14730	-2.0254526138305664	-0.1882478	Yes	
row_58	H4C4	14732	-2.026857852935791	-0.16762608	Yes	
row_59	H3C2	14885	-2.124586820602417	-0.15517807	Yes	
row_60	H4C3	14934	-2.158620595932007	-0.13606636	Yes	
row_61	H2BC6	14976	-2.1810669898986816	-0.11630045	Yes	
row_62	H2AC19	15071	-2.246922016143799	-0.09908149	Yes	
row_63	H2BC15	15107	-2.2702934741973877	-0.07804068	Yes	
row_64	H3C13	15151	-2.303771734237671	-0.05714414	Yes	
row_65	H2AC20	15254	-2.385629415512085	-0.03899566	Yes	
row_66	H2BC8	15434	-2.5153231620788574	-0.02420035	Yes	
row_67	H2AC6	15731	-2.780921220779419	-0.013800807	Yes	
row_68	H3C8	16526	-6.119996070861816	4.253409E-4	Yes	
