NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	0.09308416	Yes	
row_1	PARP1	314	2.119830846786499	0.14090264	Yes	
row_2	PARP2	945	1.5762510299682617	0.15020534	Yes	
row_3	UBE2V2	1416	1.3543530702590942	0.16252269	Yes	
row_4	MNAT1	1423	1.3510006666183472	0.20287557	Yes	
row_5	SUMO1	1732	1.2404301166534424	0.22158302	Yes	
row_6	GTF2H2	1743	1.236889123916626	0.25825423	Yes	
row_7	GTF2H5	1788	1.2200597524642944	0.2923565	Yes	
row_8	RAD23B	1853	1.1972403526306152	0.32455826	Yes	
row_9	CETN2	1855	1.1971596479415894	0.36057782	Yes	
row_10	XPA	1932	1.173006296157837	0.39132154	Yes	
row_11	UBE2N	2231	1.0753251314163208	0.40565944	Yes	
row_12	CHD1L	3092	0.8694175481796265	0.37971243	Yes	
row_13	XPC	3151	0.8550590872764587	0.4019653	Yes	
row_14	PIAS3	3259	0.829149067401886	0.42046595	Yes	
row_15	ERCC2	3390	0.8039829134941101	0.43681347	Yes	
row_16	RPA3	3436	0.7939934134483337	0.45801422	Yes	
row_17	PIAS1	3530	0.7765658497810364	0.47577906	Yes	
row_18	RPA1	3537	0.7757415175437927	0.49879467	Yes	
row_19	RPS27A	3668	0.7473828792572021	0.5134364	Yes	
row_20	UBA52	3857	0.7059215307235718	0.5233114	Yes	
row_21	GTF2H3	3904	0.6977756023406982	0.5415517	Yes	
row_22	ERCC1	4007	0.6788633465766907	0.5558262	Yes	
row_23	CUL4B	4505	0.587711751461029	0.5434011	Yes	
row_24	CUL4A	4721	0.5482906699180603	0.5468882	Yes	
row_25	CCNH	4811	0.5332558155059814	0.55756265	Yes	
row_26	ERCC3	4816	0.5325030088424683	0.5733688	Yes	
row_27	RBX1	4848	0.5264285206794739	0.5873546	Yes	
row_28	DDB1	5181	0.4713648855686188	0.58142847	Yes	
row_29	UBE2I	5245	0.46027299761772156	0.59148	Yes	
row_30	RPA2	5862	0.344385027885437	0.5645054	No	
row_31	UBC	6166	0.2852231562137604	0.55472785	No	
row_32	SUMO2	6554	0.2192942500114441	0.53786963	No	
row_33	CDK7	6959	0.15181496739387512	0.5179469	No	
row_34	UBB	7187	0.11134494841098785	0.50753754	No	
row_35	SUMO3	7483	0.061000850051641464	0.49148744	No	
row_36	GTF2H1	7548	0.04789484292268753	0.48905	No	
row_37	USP45	8239	-0.08154034614562988	0.44966647	No	
row_38	RAD23A	8984	-0.2216036468744278	0.4112297	No	
row_39	ERCC4	9268	-0.2826254367828369	0.40258664	No	
row_40	RNF111	9317	-0.29135555028915405	0.4084569	No	
row_41	ERCC5	10112	-0.4675668478012085	0.37440103	No	
row_42	GTF2H4	10226	-0.49446141719818115	0.38245097	No	
