NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	0.05180036	Yes	
row_1	PARP1	314	2.119830846786499	0.072107844	Yes	
row_2	PARP2	945	1.5762510299682617	0.06088863	Yes	
row_3	COPS7B	1403	1.3576627969741821	0.056430973	Yes	
row_4	UBE2V2	1416	1.3543530702590942	0.07896813	Yes	
row_5	MNAT1	1423	1.3510006666183472	0.10181244	Yes	
row_6	COPS8	1636	1.2787024974822998	0.11089192	Yes	
row_7	SUMO1	1732	1.2404301166534424	0.12642638	Yes	
row_8	GTF2H2	1743	1.236889123916626	0.14706719	Yes	
row_9	GTF2H5	1788	1.2200597524642944	0.16535202	Yes	
row_10	RAD23B	1853	1.1972403526306152	0.18202902	Yes	
row_11	CETN2	1855	1.1971596479415894	0.20253442	Yes	
row_12	RFC1	1890	1.1866358518600464	0.22085296	Yes	
row_13	XPA	1932	1.173006296157837	0.2385118	Yes	
row_14	UBE2N	2231	1.0753251314163208	0.23886947	Yes	
row_15	RFC3	2531	0.9981847405433655	0.23784116	Yes	
row_16	COPS4	2960	0.8994655013084412	0.22727498	Yes	
row_17	CHD1L	3092	0.8694175481796265	0.23424731	Yes	
row_18	XPC	3151	0.8550590872764587	0.24541067	Yes	
row_19	PIAS3	3259	0.829149067401886	0.2531502	Yes	
row_20	COPS5	3320	0.8173916339874268	0.26354486	Yes	
row_21	ERCC2	3390	0.8039829134941101	0.2731621	Yes	
row_22	RPA3	3436	0.7939934134483337	0.28406665	Yes	
row_23	RFC4	3500	0.7817145586013794	0.29366606	Yes	
row_24	XRCC1	3517	0.7786193490028381	0.30606943	Yes	
row_25	PIAS1	3530	0.7765658497810364	0.3186807	Yes	
row_26	RPA1	3537	0.7757415175437927	0.33164254	Yes	
row_27	RPS27A	3668	0.7473828792572021	0.3365792	Yes	
row_28	UBA52	3857	0.7059215307235718	0.33727777	Yes	
row_29	GTF2H3	3904	0.6977756023406982	0.34646863	Yes	
row_30	YY1	3945	0.6895208954811096	0.3558824	Yes	
row_31	ERCC1	4007	0.6788633465766907	0.3638365	Yes	
row_32	POLE2	4348	0.6162001490592957	0.3537536	Yes	
row_33	LIG3	4367	0.6126207709312439	0.36318368	Yes	
row_34	ACTB	4379	0.6108660697937012	0.37300915	Yes	
row_35	INO80E	4415	0.6048757433891296	0.38127273	Yes	
row_36	LIG1	4488	0.5908672213554382	0.38704643	Yes	
row_37	CUL4B	4505	0.587711751461029	0.3961702	Yes	
row_38	CUL4A	4721	0.5482906699180603	0.39251944	Yes	
row_39	CCNH	4811	0.5332558155059814	0.39627	Yes	
row_40	ERCC3	4816	0.5325030088424683	0.4051748	Yes	
row_41	RBX1	4848	0.5264285206794739	0.41233388	Yes	
row_42	TFPT	4954	0.5108668804168701	0.41472715	Yes	
row_43	POLD3	5026	0.49853649735450745	0.4189755	Yes	
row_44	MCRS1	5042	0.4957105219364166	0.42657954	Yes	
row_45	DDB1	5181	0.4713648855686188	0.42628813	Yes	
row_46	UBE2I	5245	0.46027299761772156	0.43036544	Yes	
row_47	COPS2	5321	0.4422394931316376	0.43340346	Yes	
row_48	INO80C	5505	0.4076448380947113	0.42928183	No	
row_49	COPS3	5810	0.35319024324417114	0.4168691	No	
row_50	RPA2	5862	0.344385027885437	0.41968504	No	
row_51	RFC2	5890	0.33985498547554016	0.42388213	No	
row_52	COPS6	6103	0.29843246936798096	0.4161214	No	
row_53	UBC	6166	0.2852231562137604	0.4172523	No	
row_54	RUVBL1	6347	0.2533625066280365	0.4106626	No	
row_55	SUMO2	6554	0.2192942500114441	0.4019071	No	
row_56	POLD2	6759	0.18587437272071838	0.39269906	No	
row_57	INO80B	6782	0.1815648078918457	0.3944808	No	
row_58	CDK7	6959	0.15181496739387512	0.38638976	No	
row_59	ACTR8	7084	0.129196435213089	0.38107124	No	
row_60	INO80	7139	0.12061609327793121	0.37986067	No	
row_61	UBB	7187	0.11134494841098785	0.37891632	No	
row_62	SUMO3	7483	0.061000850051641464	0.36203113	No	
row_63	RFC5	7505	0.056512657552957535	0.3617254	No	
row_64	GTF2H1	7548	0.04789484292268753	0.35999498	No	
row_65	ACTL6A	7855	-0.01246714685112238	0.34160733	No	
row_66	PCNA	8013	-0.03671662136912346	0.33269402	No	
row_67	USP45	8239	-0.08154034614562988	0.32041702	No	
row_68	COPS7A	8591	-0.14739230275154114	0.3016117	No	
row_69	RAD23A	8984	-0.2216036468744278	0.28158888	No	
row_70	ERCC4	9268	-0.2826254367828369	0.2692405	No	
row_71	RNF111	9317	-0.29135555028915405	0.2713278	No	
row_72	INO80D	9351	-0.29916101694107056	0.27446106	No	
row_73	POLE	9961	-0.43228647112846375	0.24486609	No	
row_74	ERCC5	10112	-0.4675668478012085	0.24377996	No	
row_75	POLE3	10137	-0.47357672452926636	0.25045663	No	
row_76	GTF2H4	10226	-0.49446141719818115	0.25360152	No	
row_77	ACTR5	10642	-0.5939154028892517	0.23857652	No	
row_78	POLE4	10797	-0.6294053196907043	0.24002747	No	
row_79	GPS1	11032	-0.6856980323791504	0.23758227	No	
row_80	NFRKB	12091	-0.966897189617157	0.18987663	No	
row_81	POLD1	12701	-1.1679651737213135	0.17292	No	
row_82	POLK	12780	-1.1963648796081543	0.1887309	No	
row_83	POLD4	15135	-2.2908153533935547	0.08498487	No	
