NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHD3	517	1.8583500385284424	-0.017113581	No	
row_1	ARID4A	1121	1.4739038944244385	-0.042420104	No	
row_2	ARID4B	1190	1.4459770917892456	-0.03540921	No	
row_3	HDAC8	1384	1.3667218685150146	-0.036610324	No	
row_4	SAP18	1809	1.2124764919281006	-0.053047217	No	
row_5	KDM1A	1895	1.18524169921875	-0.049079876	No	
row_6	HDAC2	1963	1.1608906984329224	-0.044205677	No	
row_7	RBBP4	3138	0.8583824634552002	-0.10897857	No	
row_8	REST	3142	0.8577909469604492	-0.102548964	No	
row_9	MTA3	3193	0.8455266952514648	-0.099071905	No	
row_10	RBBP7	3294	0.8228333592414856	-0.09881021	No	
row_11	SUDS3	3317	0.8179402947425842	-0.093843155	No	
row_12	HDAC3	3731	0.7316310405731201	-0.11331761	No	
row_13	RCOR1	4068	0.6653075814247131	-0.12862103	No	
row_14	GATAD2A	4727	0.5468602776527405	-0.16441788	No	
row_15	MTA2	4789	0.5359187126159668	-0.16399623	No	
row_16	PHF21A	5387	0.429986834526062	-0.19698463	No	
row_17	GATAD2B	5439	0.41932418942451477	-0.19685364	No	
row_18	SAP30L	5834	0.349119633436203	-0.2181212	No	
row_19	NCOR1	6114	0.2968197166919708	-0.2327989	No	
row_20	HDAC1	7216	0.10711921006441116	-0.29892364	No	
row_21	CHD4	7386	0.07811715453863144	-0.3085982	No	
row_22	GPS2	8257	-0.08401568233966827	-0.36085418	No	
row_23	SAP30	8596	-0.14771491289138794	-0.38026893	No	
row_24	MTA1	8846	-0.19568724930286407	-0.3939019	No	
row_25	H2AC18	8912	-0.20763935148715973	-0.39625397	No	
row_26	TBL1XR1	9102	-0.24655857682228088	-0.4058463	No	
row_27	H4C11	9651	-0.36360275745391846	-0.43636677	No	
row_28	TBL1X	9825	-0.4001818597316742	-0.443802	No	
row_29	H4C8	10118	-0.4685598313808441	-0.4579464	No	
row_30	H4C14	10252	-0.5007442235946655	-0.46217412	No	
row_31	BRMS1	10270	-0.5045763850212097	-0.4593185	No	
row_32	H2BC9	10328	-0.5166260004043579	-0.45880234	No	
row_33	HMG20B	10758	-0.6190269589424133	-0.4801177	No	
row_34	H4C1	11059	-0.6921157836914062	-0.49302536	No	
row_35	MBD3	11145	-0.7152466773986816	-0.49268082	No	
row_36	H2BC21	11333	-0.7696878910064697	-0.49811915	No	
row_37	H4C13	11441	-0.7959462404251099	-0.49849036	No	
row_38	H2AC25	11458	-0.8024420142173767	-0.49327794	No	
row_39	H3C4	12237	-1.014069676399231	-0.53277045	No	
row_40	NCOR2	12314	-1.0378848314285278	-0.5293917	No	
row_41	H2BC12	12827	-1.2135350704193115	-0.5511716	No	
row_42	H4C12	13014	-1.2790555953979492	-0.5526228	Yes	
row_43	H2BC17	13107	-1.3134263753890991	-0.5480931	Yes	
row_44	H3C6	13182	-1.3446156978607178	-0.54222834	Yes	
row_45	H2BC14	13229	-1.3626646995544434	-0.5345218	Yes	
row_46	H2BC3	13325	-1.3952683210372925	-0.52954364	Yes	
row_47	H4C2	13377	-1.4115980863571167	-0.521764	Yes	
row_48	H2BC13	13571	-1.4892842769622803	-0.5220204	Yes	
row_49	H2BC11	13574	-1.4913228750228882	-0.5106466	Yes	
row_50	H3C12	13646	-1.524367094039917	-0.5032139	Yes	
row_51	H2BC10	13921	-1.6341475248336792	-0.5072791	Yes	
row_52	H2BC5	13928	-1.6365104913711548	-0.49502942	Yes	
row_53	H4C5	13957	-1.6475505828857422	-0.4840324	Yes	
row_54	H3C3	14026	-1.6829837560653687	-0.4751946	Yes	
row_55	H2BC18	14259	-1.793230414390564	-0.47547963	Yes	
row_56	H4C9	14285	-1.8014343976974487	-0.46311402	Yes	
row_57	H2BC7	14296	-1.8048152923583984	-0.44981024	Yes	
row_58	H3C7	14369	-1.8449333906173706	-0.43996733	Yes	
row_59	H3C1	14400	-1.860592246055603	-0.42744976	Yes	
row_60	H2BC26	14486	-1.8953831195831299	-0.4180085	Yes	
row_61	H2BC4	14509	-1.9068490266799927	-0.40464792	Yes	
row_62	H3C14	14517	-1.9120327234268188	-0.39033523	Yes	
row_63	H2AC8	14573	-1.9389710426330566	-0.37873372	Yes	
row_64	H2AC7	14673	-1.9917974472045898	-0.3694006	Yes	
row_65	H3C10	14689	-2.00132155418396	-0.3548861	Yes	
row_66	H3C11	14693	-2.002318859100342	-0.33963427	Yes	
row_67	H2AC14	14713	-2.016253709793091	-0.32524794	Yes	
row_68	H4C16	14727	-2.0249745845794678	-0.3104295	Yes	
row_69	H2AC4	14730	-2.0254526138305664	-0.29493853	Yes	
row_70	H4C4	14732	-2.026857852935791	-0.2793759	Yes	
row_71	H2AC11	14862	-2.1082100868225098	-0.27096972	Yes	
row_72	H3C2	14885	-2.124586820602417	-0.25593075	Yes	
row_73	H4C3	14934	-2.158620595932007	-0.24221048	Yes	
row_74	H2BC6	14976	-2.1810669898986816	-0.22789152	Yes	
row_75	H2AC17	15046	-2.2233450412750244	-0.21494932	Yes	
row_76	H2AC19	15071	-2.246922016143799	-0.19908899	Yes	
row_77	H2BC15	15107	-2.2702934741973877	-0.1837174	Yes	
row_78	H3C13	15151	-2.303771734237671	-0.16857423	Yes	
row_79	H2AC12	15216	-2.3550028800964355	-0.15431315	Yes	
row_80	H2AC20	15254	-2.385629415512085	-0.13817415	Yes	
row_81	H2AC15	15264	-2.392354965209961	-0.12028065	Yes	
row_82	H2BC8	15434	-2.5153231620788574	-0.111168705	Yes	
row_83	H2AC16	15535	-2.60444712638855	-0.09717396	Yes	
row_84	H2AC13	15604	-2.6555001735687256	-0.08083981	Yes	
row_85	H2AC6	15731	-2.780921220779419	-0.0670658	Yes	
row_86	HDAC10	15972	-3.067141056060791	-0.058017742	Yes	
row_87	H2AC21	16523	-5.816632270812988	-0.046626754	Yes	
row_88	H3C8	16526	-6.119996070861816	4.2582589E-4	Yes	
