NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT88	106	2.7914369106292725	0.04905125	Yes	
row_1	DYNC2LI1	191	2.442026376724243	0.09249233	Yes	
row_2	IFT80	423	1.958588719367981	0.11740761	Yes	
row_3	CLUAP1	448	1.9292830228805542	0.1542973	Yes	
row_4	WDR35	489	1.8910114765167236	0.18945575	Yes	
row_5	IFT81	505	1.875915288925171	0.22583067	Yes	
row_6	DYNLL2	576	1.8036925792694092	0.25743377	Yes	
row_7	IFT122	788	1.657783031463623	0.2775836	Yes	
row_8	TUBA1A	916	1.5884283781051636	0.30145052	Yes	
row_9	WDR19	1334	1.390341877937317	0.3037886	Yes	
row_10	KIFAP3	1477	1.3288525342941284	0.32158637	Yes	
row_11	KIF3A	1673	1.2629563808441162	0.3348594	Yes	
row_12	IFT43	1741	1.237292766571045	0.35538697	Yes	
row_13	IFT172	1924	1.1741164922714233	0.36768284	Yes	
row_14	IFT57	2005	1.1482994556427002	0.38565302	Yes	
row_15	TTC21B	2394	1.0322246551513672	0.3826325	Yes	
row_16	KIF17	2437	1.0218336582183838	0.40039423	Yes	
row_17	IFT70B	2553	0.9944922924041748	0.4131843	Yes	
row_18	KIF3B	2802	0.9328594207763672	0.41668138	Yes	
row_19	IFT22	2846	0.9257224798202515	0.4324722	Yes	
row_20	DYNLRB1	3177	0.8496522307395935	0.42934132	Yes	
row_21	TRAF3IP1	3292	0.8234692215919495	0.43879282	Yes	
row_22	IFT74	3307	0.8195357918739319	0.4542323	Yes	
row_23	TUBA1B	3457	0.7907239198684692	0.46090984	Yes	
row_24	IFT25	3818	0.7141333818435669	0.4532656	Yes	
row_25	DYNC2I1	3851	0.7067677974700928	0.46537185	Yes	
row_26	IFT46	3871	0.7035931944847107	0.4782036	Yes	
row_27	IFT52	3923	0.6935771703720093	0.4888951	Yes	
row_28	DYNLL1	4186	0.6466732621192932	0.48585483	Yes	
row_29	IFT56	4313	0.621636152267456	0.49056688	Yes	
row_30	TNPO1	4435	0.6004981994628906	0.4951621	Yes	
row_31	IFT70A	4625	0.5668158531188965	0.49496293	No	
row_32	TUBB2B	4887	0.5215921401977539	0.48949727	No	
row_33	KIF3C	5287	0.4496684670448303	0.47423086	No	
row_34	TUBB2A	5796	0.3551931083202362	0.45047462	No	
row_35	DYNLT2B	5897	0.3389466106891632	0.45114526	No	
row_36	TRIP11	6332	0.255670428276062	0.42989987	No	
row_37	TUBA1C	6396	0.24527095258235931	0.43095312	No	
row_38	IFT20	7630	0.031386297196149826	0.35678166	No	
row_39	IFT140	7707	0.015886278823018074	0.35248718	No	
row_40	TUBB4A	8154	-0.06398563832044601	0.32670403	No	
row_41	TUBB6	9108	-0.2477753758430481	0.27381855	No	
row_42	DYNC2H1	9461	-0.31854942440986633	0.25879717	No	
row_43	TUBB4B	10150	-0.4756971597671509	0.22651699	No	
row_44	IFT27	10218	-0.4922849237918854	0.23223712	No	
row_45	DYNC2I2	11199	-0.7334139347076416	0.18736614	No	
row_46	TUBB3	13477	-1.4507285356521606	0.07807459	No	
row_47	TUBB1	13985	-1.6607792377471924	0.080328256	No	
row_48	TUBA4A	16248	-3.7320139408111572	0.017288433	No	
