NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.068990596	No	
row_1	FIRRM	1979	1.1566330194473267	-0.095660575	No	
row_2	RAD50	2555	0.9943414330482483	-0.12098359	No	
row_3	BLM	2730	0.9480916261672974	-0.122385986	No	
row_4	MND1	3133	0.8593550324440002	-0.1385019	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.13251224	No	
row_6	RPA3	3436	0.7939934134483337	-0.14087442	No	
row_7	BRCA1	3498	0.7822126746177673	-0.13701463	No	
row_8	RPA1	3537	0.7757415175437927	-0.13181977	No	
row_9	RBBP8	3708	0.7389832139015198	-0.13500188	No	
row_10	NBN	4189	0.6458255648612976	-0.15792327	No	
row_11	RAD51C	4588	0.5726709961891174	-0.1765693	No	
row_12	CDK2	5794	0.35550451278686523	-0.24635595	No	
row_13	RPA2	5862	0.344385027885437	-0.24709603	No	
row_14	PSMC3IP	6208	0.27970269322395325	-0.26535538	No	
row_15	RAD51	6282	0.2659095823764801	-0.2672192	No	
row_16	CDK4	6444	0.23733390867710114	-0.27470705	No	
row_17	MLH1	6701	0.19456300139427185	-0.28838158	No	
row_18	MRE11	7565	0.044180598109960556	-0.3403971	No	
row_19	TOP3A	7766	0.004326992202550173	-0.35250887	No	
row_20	TEX15	8485	-0.1276637613773346	-0.39490542	No	
row_21	BRCA2	8564	-0.1412774920463562	-0.3982787	No	
row_22	H2AC18	8912	-0.20763935148715973	-0.41735667	No	
row_23	ATM	9244	-0.278315931558609	-0.43477866	No	
row_24	H3-3B	9510	-0.32959118485450745	-0.44769394	No	
row_25	H4C11	9651	-0.36360275745391846	-0.4526842	No	
row_26	H4C8	10118	-0.4685598313808441	-0.47646958	No	
row_27	H4C14	10252	-0.5007442235946655	-0.47970787	No	
row_28	H2BC9	10328	-0.5166260004043579	-0.47926795	No	
row_29	MSH5	10628	-0.5899577736854553	-0.49173072	No	
row_30	H2AX	10714	-0.6094644069671631	-0.49100044	No	
row_31	H4C1	11059	-0.6921157836914062	-0.50520957	No	
row_32	H2BC21	11333	-0.7696878910064697	-0.51435375	No	
row_33	H4C13	11441	-0.7959462404251099	-0.5131565	No	
row_34	H3C4	12237	-1.014069676399231	-0.5516576	No	
row_35	H2BC12	12827	-1.2135350704193115	-0.5757111	Yes	
row_36	H4C12	13014	-1.2790555953979492	-0.5746411	Yes	
row_37	H2BC17	13107	-1.3134263753890991	-0.5675265	Yes	
row_38	H3C6	13182	-1.3446156978607178	-0.5590164	Yes	
row_39	H2BC14	13229	-1.3626646995544434	-0.5486301	Yes	
row_40	H2BC3	13325	-1.3952683210372925	-0.54090613	Yes	
row_41	H4C2	13377	-1.4115980863571167	-0.5303504	Yes	
row_42	H2BC13	13571	-1.4892842769622803	-0.52767223	Yes	
row_43	H2BC11	13574	-1.4913228750228882	-0.5133676	Yes	
row_44	FIGNL1	13600	-1.502197265625	-0.5003555	Yes	
row_45	H3C12	13646	-1.524367094039917	-0.48834428	Yes	
row_46	H2AJ	13647	-1.5247454643249512	-0.4735948	Yes	
row_47	H2BC10	13921	-1.6341475248336792	-0.4743768	Yes	
row_48	H2BC5	13928	-1.6365104913711548	-0.4589108	Yes	
row_49	H4C5	13957	-1.6475505828857422	-0.4446749	Yes	
row_50	H3C3	14026	-1.6829837560653687	-0.432527	Yes	
row_51	H4C9	14285	-1.8014343976974487	-0.43077922	Yes	
row_52	H2BC7	14296	-1.8048152923583984	-0.41392824	Yes	
row_53	MLH3	14310	-1.8172321319580078	-0.39713943	Yes	
row_54	H3C7	14369	-1.8449333906173706	-0.38281724	Yes	
row_55	H3C1	14400	-1.860592246055603	-0.36664206	Yes	
row_56	H2BC26	14486	-1.8953831195831299	-0.3534726	Yes	
row_57	H2BC4	14509	-1.9068490266799927	-0.3363638	Yes	
row_58	H3C14	14517	-1.9120327234268188	-0.31829336	Yes	
row_59	H2AC8	14573	-1.9389710426330566	-0.30287918	Yes	
row_60	H2AC7	14673	-1.9917974472045898	-0.28962782	Yes	
row_61	H3C10	14689	-2.00132155418396	-0.2711798	Yes	
row_62	H3C11	14693	-2.002318859100342	-0.2519929	Yes	
row_63	H2AC14	14713	-2.016253709793091	-0.2336435	Yes	
row_64	H4C16	14727	-2.0249745845794678	-0.21484514	Yes	
row_65	H2AC4	14730	-2.0254526138305664	-0.19537368	Yes	
row_66	H4C4	14732	-2.026857852935791	-0.17582789	Yes	
row_67	H3C2	14885	-2.124586820602417	-0.1645127	Yes	
row_68	H4C3	14934	-2.158620595932007	-0.1465484	Yes	
row_69	H2BC6	14976	-2.1810669898986816	-0.12794161	Yes	
row_70	H2AC19	15071	-2.246922016143799	-0.11191847	Yes	
row_71	H2BC15	15107	-2.2702934741973877	-0.09208394	Yes	
row_72	H3C13	15151	-2.303771734237671	-0.0724117	Yes	
row_73	DMC1	15190	-2.3341188430786133	-0.052142065	Yes	
row_74	H2AC20	15254	-2.385629415512085	-0.03289335	Yes	
row_75	H2BC8	15434	-2.5153231620788574	-0.019439157	Yes	
row_76	H2AC6	15731	-2.780921220779419	-0.010525605	Yes	
row_77	H3C8	16526	-6.119996070861816	4.255774E-4	Yes	
