NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.052273117	No	
row_1	PSMD14	1883	1.1883625984191895	-0.034211334	No	
row_2	BRCC3	2694	0.9585498571395874	-0.06476949	No	
row_3	MYSM1	3332	0.8140069246292114	-0.087637044	No	
row_4	BRCA1	3498	0.7822126746177673	-0.08250998	No	
row_5	BARD1	3561	0.7698540091514587	-0.07137876	No	
row_6	RPS27A	3668	0.7473828792572021	-0.06334912	No	
row_7	BABAM1	3773	0.7245372533798218	-0.0556401	No	
row_8	UBA52	3857	0.7059215307235718	-0.047018237	No	
row_9	NLRP3	5653	0.3811381161212921	-0.14844796	No	
row_10	BABAM2	5972	0.324691504240036	-0.16144337	No	
row_11	UBC	6166	0.2852231562137604	-0.16762544	No	
row_12	UIMC1	6331	0.2558148503303528	-0.17261848	No	
row_13	STAMBP	6858	0.1688646823167801	-0.20123523	No	
row_14	STAM	6897	0.16197074949741364	-0.20040597	No	
row_15	UBB	7187	0.11134494841098785	-0.2157698	No	
row_16	ABRAXAS1	7240	0.10323149710893631	-0.21692516	No	
row_17	H2AC18	8912	-0.20763935148715973	-0.31419435	No	
row_18	ABRAXAS2	9205	-0.2690552771091461	-0.32668984	No	
row_19	EP300	10522	-0.5675387382507324	-0.39548066	No	
row_20	H2AC25	11458	-0.8024420142173767	-0.4366347	No	
row_21	H2AC8	14573	-1.9389710426330566	-0.5878844	Yes	
row_22	H2AC7	14673	-1.9917974472045898	-0.55536306	Yes	
row_23	H2AC14	14713	-2.016253709793091	-0.51873195	Yes	
row_24	H2AC4	14730	-2.0254526138305664	-0.48052874	Yes	
row_25	H2AC11	14862	-2.1082100868225098	-0.44769555	Yes	
row_26	H2AC17	15046	-2.2233450412750244	-0.41578752	Yes	
row_27	H2AC19	15071	-2.246922016143799	-0.37378594	Yes	
row_28	H2AC12	15216	-2.3550028800964355	-0.33696768	Yes	
row_29	H2AC20	15254	-2.385629415512085	-0.29307142	Yes	
row_30	H2AC15	15264	-2.392354965209961	-0.24734794	Yes	
row_31	H2AC16	15535	-2.60444712638855	-0.2133426	Yes	
row_32	H2AC13	15604	-2.6555001735687256	-0.16610597	Yes	
row_33	H2AC6	15731	-2.780921220779419	-0.119959235	Yes	
row_34	STAMBPL1	15846	-2.8931267261505127	-0.07091504	Yes	
row_35	H2AC21	16523	-5.816632270812988	6.060725E-4	Yes	
