NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO2	190	2.448385238647461	0.01265008	Yes	
row_1	CENPE	202	2.42108154296875	0.035928767	Yes	
row_2	NDC80	326	2.090451955795288	0.0491177	Yes	
row_3	BUB1	352	2.0493004322052	0.06786645	Yes	
row_4	CENPK	380	2.0168566703796387	0.08617251	Yes	
row_5	BUB1B	407	1.9812971353530884	0.10418772	Yes	
row_6	KIF18A	432	1.946377158164978	0.12197929	Yes	
row_7	DYNC1I2	551	1.823386311531067	0.13283093	Yes	
row_8	DYNLL2	576	1.8036925792694092	0.14921112	Yes	
row_9	KIF2A	614	1.771934151649475	0.16448563	Yes	
row_10	MAD2L1	637	1.7587370872497559	0.1805429	Yes	
row_11	CENPQ	688	1.7256001234054565	0.19456758	Yes	
row_12	PPP2R5E	730	1.6955666542053223	0.20884314	Yes	
row_13	UBE2E1	784	1.6605392694473267	0.22204159	Yes	
row_14	ANAPC10	820	1.6403491497039795	0.23613629	Yes	
row_15	PPP1CC	863	1.624915599822998	0.24965212	Yes	
row_16	KIF2C	974	1.5621235370635986	0.25840655	Yes	
row_17	PAFAH1B1	986	1.5540896654129028	0.27310926	Yes	
row_18	SKA2	1008	1.5403611660003662	0.28706732	Yes	
row_19	SPDL1	1117	1.4752575159072876	0.2950843	Yes	
row_20	NUF2	1171	1.4562855958938599	0.30626234	Yes	
row_21	ANAPC4	1272	1.4171490669250488	0.3141916	Yes	
row_22	ITGB3BP	1303	1.4038604497909546	0.32625148	Yes	
row_23	CENPU	1314	1.3966034650802612	0.3394573	Yes	
row_24	CENPI	1316	1.3961796760559082	0.3532069	Yes	
row_25	CDC26	1450	1.3392008543014526	0.35835588	Yes	
row_26	CENPA	1571	1.297245740890503	0.36388135	Yes	
row_27	SKA1	1606	1.286055326461792	0.3745324	Yes	
row_28	PPP2R5C	1629	1.2802300453186035	0.38585645	Yes	
row_29	CDC16	1660	1.2684545516967773	0.39657694	Yes	
row_30	RPS27	1698	1.2539360523223877	0.4067276	Yes	
row_31	CKAP5	1873	1.192340612411499	0.40792754	Yes	
row_32	SPC25	1898	1.1843401193618774	0.41818133	Yes	
row_33	PMF1	2118	1.1084458827972412	0.4158115	Yes	
row_34	PPP2CB	2128	1.1062829494476318	0.42620647	Yes	
row_35	SGO1	2219	1.0787893533706665	0.43139768	Yes	
row_36	CENPO	2263	1.0658665895462036	0.4393227	Yes	
row_37	ZWILCH	2292	1.0569835901260376	0.44807318	Yes	
row_38	CDC27	2349	1.043047308921814	0.45498097	Yes	
row_39	SPC24	2384	1.0339187383651733	0.46313795	Yes	
row_40	CENPN	2440	1.0203654766082764	0.46988228	Yes	
row_41	UBE2D1	2478	1.0106985569000244	0.47762695	Yes	
row_42	BIRC5	2600	0.9832806587219238	0.47998592	Yes	
row_43	NDE1	2646	0.9690292477607727	0.4868313	Yes	
row_44	CENPF	2724	0.9507784247398376	0.4915478	Yes	
row_45	CDC23	3040	0.8818792104721069	0.48109177	Yes	
row_46	CLASP2	3042	0.8813846707344055	0.4897492	Yes	
row_47	CDCA8	3127	0.86063551902771	0.49314782	Yes	
row_48	NUP133	3210	0.8412226438522339	0.4964762	Yes	
row_49	CENPH	3272	0.8270915746688843	0.5009434	Yes	
row_50	NUP43	3325	0.8158512711524963	0.5058474	Yes	
row_51	ANAPC7	3330	0.8150379061698914	0.5136659	Yes	
row_52	DYNC1LI2	3391	0.8038539290428162	0.5179641	Yes	
row_53	DYNC1LI1	3454	0.7912907004356384	0.52201635	Yes	
row_54	RCC2	3466	0.7885487675666809	0.5291466	Yes	
row_55	PPP2R5D	3670	0.7469285130500793	0.524175	No	
row_56	ANAPC15	4037	0.6725160479545593	0.5085428	No	
row_57	DYNLL1	4186	0.6466732621192932	0.5059282	No	
row_58	NUP85	4250	0.632612407207489	0.50834996	No	
row_59	XPO1	4343	0.6169223189353943	0.50885075	No	
row_60	MAPRE1	4400	0.6074020862579346	0.51144934	No	
row_61	AURKB	4424	0.6027894020080566	0.5160115	No	
row_62	CDC20	4560	0.577100396156311	0.5135003	No	
row_63	NUP107	4741	0.5444167852401733	0.50792587	No	
row_64	PPP2R1A	4837	0.5291846394538879	0.50737613	No	
row_65	PLK1	4974	0.5083270072937012	0.5041238	No	
row_66	MIS12	5051	0.4940548539161682	0.5043834	No	
row_67	ANAPC16	5197	0.4688567817211151	0.50019264	No	
row_68	ZWINT	5352	0.4371691346168518	0.4951404	No	
row_69	KNL1	5397	0.42742255330085754	0.49668932	No	
row_70	B9D2	5554	0.39997121691703796	0.4911474	No	
row_71	ZW10	5750	0.3625347912311554	0.48286057	No	
row_72	CENPC	6033	0.3133346140384674	0.46878996	No	
row_73	TAOK1	6286	0.2647929787635803	0.4560658	No	
row_74	CENPS	6559	0.217715784907341	0.44165823	No	
row_75	NSL1	6713	0.19271734356880188	0.4342489	No	
row_76	CENPT	6837	0.17180003225803375	0.42845923	No	
row_77	CLIP1	6874	0.1658049076795578	0.4279074	No	
row_78	PPP2CA	6911	0.1607002466917038	0.42730507	No	
row_79	NUP98	6936	0.15589672327041626	0.42738587	No	
row_80	ANAPC5	7091	0.1286025047302246	0.41928142	No	
row_81	UBE2C	7154	0.11832567304372787	0.4166769	No	
row_82	SEH1L	7222	0.10639948397874832	0.41364998	No	
row_83	NUP160	7436	0.06881242990493774	0.40136182	No	
row_84	ERCC6L	7533	0.05021433159708977	0.3960134	No	
row_85	CENPL	7705	0.016128238290548325	0.38576135	No	
row_86	INCENP	7753	0.006659762002527714	0.38296556	No	
row_87	NUP37	8105	-0.05566732585430145	0.36214504	No	
row_88	ANAPC11	8315	-0.09721879661083221	0.3503814	No	
row_89	NUDC	8388	-0.11149333417415619	0.34710044	No	
row_90	DSN1	8391	-0.11175864189863205	0.34808412	No	
row_91	CENPP	8533	-0.13614021241664886	0.3408458	No	
row_92	RANGAP1	9066	-0.23828506469726562	0.3108112	No	
row_93	SEC13	9490	-0.3257807493209839	0.2882787	No	
row_94	CENPM	9594	-0.34968245029449463	0.2854663	No	
row_95	BUB3	9611	-0.3521343469619751	0.2879753	No	
row_96	AHCTF1	9630	-0.35618796944618225	0.29040265	No	
row_97	PPP2R1B	9768	-0.38686874508857727	0.28588796	No	
row_98	ANAPC1	9891	-0.4169706702232361	0.2825843	No	
row_99	CLASP1	10154	-0.47661831974983215	0.27134657	No	
row_100	PPP2R5A	10181	-0.48225975036621094	0.27453387	No	
row_101	KNTC1	10727	-0.6116480827331543	0.24740091	No	
row_102	NDEL1	11115	-0.7077400088310242	0.23083854	No	
row_103	RANBP2	11207	-0.7356254458427429	0.23257439	No	
row_104	UBE2S	12744	-1.1823318004608154	0.15074791	No	
row_105	MAD1L1	13216	-1.3585014343261719	0.13550815	No	
row_106	DYNC1I1	13696	-1.5449085235595703	0.12162518	No	
row_107	ANAPC2	13738	-1.5632082223892212	0.1345915	No	
row_108	PPP2R5B	13886	-1.621986985206604	0.14168528	No	
row_109	DYNC1H1	14609	-1.9633251428604126	0.1171457	No	
