NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX5	125	2.690777540206909	0.008742802	Yes	
row_1	SRSF5	177	2.482321262359619	0.02074851	Yes	
row_2	HNRNPH2	212	2.384272813796997	0.033198074	Yes	
row_3	PPIE	278	2.194040060043335	0.042588975	Yes	
row_4	MTREX	363	2.0432748794555664	0.04989694	Yes	
row_5	PPIH	387	2.007815361022949	0.06072583	Yes	
row_6	WBP4	550	1.8238481283187866	0.061917823	Yes	
row_7	HNRNPU	588	1.7954435348510742	0.07059459	Yes	
row_8	PPIG	599	1.7875478267669678	0.08087734	Yes	
row_9	RBMX	643	1.7569706439971924	0.08895203	Yes	
row_10	TRA2B	718	1.701136827468872	0.09478724	Yes	
row_11	HNRNPR	902	1.5969364643096924	0.09330964	Yes	
row_12	HNRNPH1	925	1.583175539970398	0.10161155	Yes	
row_13	RBM7	989	1.5525981187820435	0.10721529	Yes	
row_14	CWC27	1079	1.4941445589065552	0.11086991	Yes	
row_15	ZMAT2	1084	1.4897288084030151	0.119704984	Yes	
row_16	PPP1R8	1160	1.4609215259552002	0.12401478	Yes	
row_17	RBMX2	1183	1.4509921073913574	0.13151102	Yes	
row_18	U2AF1L4	1224	1.4296374320983887	0.13777435	Yes	
row_19	SNRPG	1289	1.4101539850234985	0.1424486	Yes	
row_20	SNRPD3	1339	1.3879895210266113	0.14790672	Yes	
row_21	DHX9	1352	1.3813039064407349	0.15559082	Yes	
row_22	HNRNPA2B1	1359	1.3767750263214111	0.1636149	Yes	
row_23	FUS	1365	1.3735381364822388	0.17168051	Yes	
row_24	SNRNP35	1397	1.3592933416366577	0.17806645	Yes	
row_25	SNRNP27	1468	1.3322569131851196	0.18189834	Yes	
row_26	ZCRB1	1501	1.3218448162078857	0.18799476	Yes	
row_27	LUC7L3	1525	1.3147556781768799	0.19459935	Yes	
row_28	SF3B6	1546	1.307152509689331	0.20134139	Yes	
