NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LZTFL1	41	3.318791151046753	0.010740861	Yes	
row_1	ATP5PB	90	2.856595039367676	0.019203972	Yes	
row_2	IFT88	106	2.7914369106292725	0.029436832	Yes	
row_3	CNTRL	110	2.7658779621124268	0.040305782	Yes	
row_4	APOOL	174	2.4943652153015137	0.04639849	Yes	
row_5	DYNC2LI1	191	2.442026376724243	0.055173453	Yes	
row_6	TMEM67	193	2.439018726348877	0.06485919	Yes	
row_7	CEP63	263	2.2210304737091064	0.069490425	Yes	
row_8	SEPTIN2	355	2.0460002422332764	0.07206875	Yes	
row_9	ATP5MF	386	2.009824514389038	0.0782552	Yes	
row_10	CDK5RAP2	392	1.9999853372573853	0.08594031	Yes	
row_11	USP46	402	1.9876981973648071	0.093330234	Yes	
row_12	IFT80	423	1.958588719367981	0.09992711	Yes	
row_13	BBS4	441	1.9361332654953003	0.106618814	Yes	
row_14	CLUAP1	448	1.9292830228805542	0.11395985	Yes	
row_15	UNC119B	450	1.9261157512664795	0.12159583	Yes	
row_16	NEDD1	483	1.895835280418396	0.12720369	Yes	
row_17	WDR35	489	1.8910114765167236	0.1344533	Yes	
row_18	IFT81	505	1.875915288925171	0.14102738	Yes	
row_19	DYNC1I2	551	1.823386311531067	0.14554596	Yes	
row_20	SSBP1	575	1.804229736328125	0.1513414	Yes	
row_21	DYNLL2	576	1.8036925792694092	0.15854965	Yes	
row_22	BBS1	596	1.7895303964614868	0.16453242	Yes	
row_23	NEK2	652	1.7499909400939941	0.16814248	Yes	
row_24	IFT122	788	1.657783031463623	0.16646248	Yes	
row_25	MICOS10	790	1.6571632623672485	0.17302363	Yes	
row_26	HDAC6	848	1.6315139532089233	0.17603716	Yes	
row_27	CREB1	856	1.6273666620254517	0.18211012	Yes	
row_28	NPHP1	900	1.5970473289489746	0.18584718	Yes	
row_29	TUBA1A	916	1.5884283781051636	0.19127236	Yes	
row_30	CRTC3	927	1.582524061203003	0.19698153	Yes	
row_31	ATP5MG	928	1.5824878215789795	0.20330577	Yes	
row_32	PAFAH1B1	986	1.5540896654129028	0.2060099	Yes	
row_33	CEP162	1177	1.4534550905227661	0.20012975	Yes	
row_34	TTC8	1202	1.4410351514816284	0.2044122	Yes	
row_35	CEP70	1218	1.4337689876556396	0.2092193	Yes	
row_36	ARL6	1237	1.4263590574264526	0.21381223	Yes	
row_37	NRF1	1323	1.3940187692642212	0.2141541	Yes	
row_38	WDR19	1334	1.390341877937317	0.21909525	Yes	
row_39	BBS9	1340	1.3879868984222412	0.22433458	Yes	
row_40	APOO	1381	1.3672634363174438	0.2273379	Yes	
row_41	CCP110	1426	1.3504399061203003	0.23002791	Yes	
row_42	ATP5F1A	1449	1.3397704362869263	0.23402873	Yes	
row_43	KIFAP3	1477	1.3288525342941284	0.2376783	Yes	
row_44	ATF2	1538	1.309768795967102	0.23922147	Yes	
row_45	CEP135	1598	1.2883085012435913	0.24074039	Yes	
row_46	ATP5MJ	1647	1.2755070924758911	0.24288487	Yes	
row_47	ATP5PO	1652	1.2731819152832031	0.24772692	Yes	
row_48	KIF3A	1673	1.2629563808441162	0.2515438	Yes	
row_49	GABPA	1685	1.2585910558700562	0.25589687	Yes	
row_50	CEP78	1690	1.2555396556854248	0.26066843	Yes	
row_51	CENPJ	1701	1.2529847621917725	0.26506063	Yes	
row_52	DMAC2L	1730	1.2413243055343628	0.2682989	Yes	
row_53	IFT43	1741	1.237292766571045	0.2726284	Yes	
row_54	ATP5PF	1760	1.22926926612854	0.27643368	Yes	
row_55	MKS1	1803	1.2147090435028076	0.2787043	Yes	
row_56	CETN2	1855	1.1971596479415894	0.2803511	Yes	
row_57	CKAP5	1873	1.192340612411499	0.2840703	Yes	
