NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTREX	363	2.0432748794555664	-3.6377297E-4	No	
row_1	RBM7	989	1.5525981187820435	-0.021840654	No	
row_2	H3-3A	1355	1.3800959587097168	-0.029361265	No	
row_3	MORC2	2346	1.0437231063842773	-0.07839811	No	
row_4	PPHLN1	2508	1.0029280185699463	-0.07753379	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.10869353	No	
row_6	MPHOSPH8	4329	0.6190482974052429	-0.17237523	No	
row_7	EHMT2	6791	0.1801779419183731	-0.31988698	No	
row_8	ZCCHC8	6995	0.14652828872203827	-0.33065796	No	
row_9	SETDB1	7838	-0.009951095096766949	-0.38167566	No	
row_10	ATF7IP	8174	-0.0700855478644371	-0.40127215	No	
row_11	H2AC18	8912	-0.20763935148715973	-0.44381744	No	
row_12	H3-3B	9510	-0.32959118485450745	-0.47656864	No	
row_13	H4C11	9651	-0.36360275745391846	-0.48121163	No	
row_14	H4C8	10118	-0.4685598313808441	-0.5045347	No	
row_15	EHMT1	10240	-0.4988393783569336	-0.5065894	No	
row_16	H4C14	10252	-0.5007442235946655	-0.50194514	No	
row_17	TASOR	10266	-0.5039758086204529	-0.49738795	No	
row_18	H2BC9	10328	-0.5166260004043579	-0.49561095	No	
row_19	H2AX	10714	-0.6094644069671631	-0.5125212	No	
row_20	H4C1	11059	-0.6921157836914062	-0.5260653	No	
row_21	H2BC21	11333	-0.7696878910064697	-0.53447556	No	
row_22	H4C13	11441	-0.7959462404251099	-0.53252834	No	
row_23	H3C4	12237	-1.014069676399231	-0.5700401	No	
row_24	H2BC12	12827	-1.2135350704193115	-0.5929282	Yes	
row_25	H4C12	13014	-1.2790555953979492	-0.5906524	Yes	
row_26	H2BC17	13107	-1.3134263753890991	-0.5823047	Yes	
row_27	H3C6	13182	-1.3446156978607178	-0.57253325	Yes	
row_28	H2BC14	13229	-1.3626646995544434	-0.56087023	Yes	
row_29	H2BC3	13325	-1.3952683210372925	-0.55183643	Yes	
row_30	H4C2	13377	-1.4115980863571167	-0.5399579	Yes	
row_31	H2BC13	13571	-1.4892842769622803	-0.5358769	Yes	
row_32	H2BC11	13574	-1.4913228750228882	-0.5201775	Yes	
row_33	H3C12	13646	-1.524367094039917	-0.50831693	Yes	
row_34	H2AJ	13647	-1.5247454643249512	-0.49214152	Yes	
row_35	H2BC10	13921	-1.6341475248336792	-0.49138108	Yes	
row_36	H2BC5	13928	-1.6365104913711548	-0.47438428	Yes	
row_37	H4C5	13957	-1.6475505828857422	-0.45860612	Yes	
row_38	H3C3	14026	-1.6829837560653687	-0.44488072	Yes	
row_39	H4C9	14285	-1.8014343976974487	-0.44143486	Yes	
row_40	H2BC7	14296	-1.8048152923583984	-0.42289546	Yes	
row_41	H3C7	14369	-1.8449333906173706	-0.40769488	Yes	
row_42	H3C1	14400	-1.860592246055603	-0.38977808	Yes	
row_43	H2BC26	14486	-1.8953831195831299	-0.3748316	Yes	
row_44	H2BC4	14509	-1.9068490266799927	-0.35593835	Yes	
row_45	H3C14	14517	-1.9120327234268188	-0.33607936	Yes	
row_46	H2AC8	14573	-1.9389710426330566	-0.318849	Yes	
row_47	H2AC7	14673	-1.9917974472045898	-0.3037297	Yes	
row_48	H3C10	14689	-2.00132155418396	-0.28340924	Yes	
row_49	H3C11	14693	-2.002318859100342	-0.26234958	Yes	
row_50	H2AC14	14713	-2.016253709793091	-0.24211355	Yes	
row_51	H4C16	14727	-2.0249745845794678	-0.22142069	Yes	
row_52	H2AC4	14730	-2.0254526138305664	-0.2000549	Yes	
row_53	H4C4	14732	-2.026857852935791	-0.17861347	Yes	
row_54	H3C2	14885	-2.124586820602417	-0.16530347	Yes	
row_55	H4C3	14934	-2.158620595932007	-0.1453179	Yes	
row_56	H2BC6	14976	-2.1810669898986816	-0.124669194	Yes	
row_57	H2AC19	15071	-2.246922016143799	-0.10653983	Yes	
row_58	H2BC15	15107	-2.2702934741973877	-0.08458026	Yes	
row_59	H3C13	15151	-2.303771734237671	-0.062751256	Yes	
row_60	H2AC20	15254	-2.385629415512085	-0.043636132	Yes	
row_61	H2BC8	15434	-2.5153231620788574	-0.027820302	Yes	
row_62	H2AC6	15731	-2.780921220779419	-0.016290674	Yes	
row_63	H3C8	16526	-6.119996070861816	4.2509576E-4	Yes	
