NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGO2	190	2.448385238647461	0.009374131	Yes	
row_1	CENPE	202	2.42108154296875	0.029427847	Yes	
row_2	CDC42	211	2.3867859840393066	0.049370896	Yes	
row_3	NDC80	326	2.090451955795288	0.060314715	Yes	
row_4	BUB1	352	2.0493004322052	0.07633244	Yes	
row_5	CENPK	380	2.0168566703796387	0.09195052	Yes	
row_6	BUB1B	407	1.9812971353530884	0.107325174	Yes	
row_7	KIF18A	432	1.946377158164978	0.12252285	Yes	
row_8	DYNC1I2	551	1.823386311531067	0.13093673	Yes	
row_9	DYNLL2	576	1.8036925792694092	0.14491303	Yes	
row_10	KIF2A	614	1.771934151649475	0.15782489	Yes	
row_11	MAD2L1	637	1.7587370872497559	0.17153831	Yes	
row_12	CENPQ	688	1.7256001234054565	0.18326098	Yes	
row_13	PPP2R5E	730	1.6955666542053223	0.19527526	Yes	
row_14	PPP1CC	863	1.624915599822998	0.20113668	Yes	
row_15	TUBA1A	916	1.5884283781051636	0.21156323	Yes	
row_16	KIF2C	974	1.5621235370635986	0.22145976	Yes	
row_17	PAFAH1B1	986	1.5540896654129028	0.23409206	Yes	
row_18	SKA2	1008	1.5403611660003662	0.24599716	Yes	
row_19	SPDL1	1117	1.4752575159072876	0.25204074	Yes	
row_20	NUF2	1171	1.4562855958938599	0.26127517	Yes	
row_21	ITGB3BP	1303	1.4038604497909546	0.26530534	Yes	
row_22	CENPU	1314	1.3966034650802612	0.27665052	Yes	
row_23	CENPI	1316	1.3961796760559082	0.2885408	Yes	
row_24	CENPA	1571	1.297245740890503	0.28415927	Yes	
row_25	SKA1	1606	1.286055326461792	0.29309493	Yes	
row_26	PPP2R5C	1629	1.2802300453186035	0.30271235	Yes	
row_27	RPS27	1698	1.2539360523223877	0.30930015	Yes	
row_28	CKAP5	1873	1.192340612411499	0.3088981	Yes	
row_29	SPC25	1898	1.1843401193618774	0.31757274	Yes	
row_30	RAC1	1939	1.1710896492004395	0.3251585	Yes	
row_31	PMF1	2118	1.1084458827972412	0.32379442	Yes	
row_32	PPP2CB	2128	1.1062829494476318	0.33271545	Yes	
row_33	SGO1	2219	1.0787893533706665	0.3364627	Yes	
row_34	CENPO	2263	1.0658665895462036	0.34296486	Yes	
row_35	ZWILCH	2292	1.0569835901260376	0.3503055	Yes	
row_36	SPC24	2384	1.0339187383651733	0.35360768	Yes	
row_37	CENPN	2440	1.0203654766082764	0.35898873	Yes	
row_38	BIRC5	2600	0.9832806587219238	0.35771164	Yes	
row_39	NDE1	2646	0.9690292477607727	0.36326292	Yes	
row_40	DIAPH3	2681	0.9612360000610352	0.36941814	Yes	
row_41	CENPF	2724	0.9507784247398376	0.37499613	Yes	
row_42	CLASP2	3042	0.8813846707344055	0.3632138	Yes	
row_43	CDCA8	3127	0.86063551902771	0.3654595	Yes	
row_44	NUP133	3210	0.8412226438522339	0.36766094	Yes	
row_45	CENPH	3272	0.8270915746688843	0.37102175	Yes	
row_46	NUP43	3325	0.8158512711524963	0.37483507	Yes	
row_47	DYNC1LI2	3391	0.8038539290428162	0.3777531	Yes	
row_48	DYNC1LI1	3454	0.7912907004356384	0.38074648	Yes	
row_49	TUBA1B	3457	0.7907239198684692	0.38739312	Yes	
row_50	RCC2	3466	0.7885487675666809	0.39365533	Yes	
row_51	PFN2	3476	0.7869859933853149	0.3998432	Yes	
row_52	PPP2R5D	3670	0.7469285130500793	0.39447	No	
row_53	DYNLL1	4186	0.6466732621192932	0.3686069	No	
row_54	NUP85	4250	0.632612407207489	0.37018102	No	
row_55	XPO1	4343	0.6169223189353943	0.36985278	No	
row_56	ACTB	4379	0.6108660697937012	0.3729479	No	
row_57	MAPRE1	4400	0.6074020862579346	0.37692788	No	
row_58	AURKB	4424	0.6027894020080566	0.38068545	No	
row_59	CDC20	4560	0.577100396156311	0.3773947	No	
row_60	NUP107	4741	0.5444167852401733	0.37108064	No	
row_61	PPP2R1A	4837	0.5291846394538879	0.36981845	No	
row_62	TUBB2B	4887	0.5215921401977539	0.3712958	No	
row_63	PLK1	4974	0.5083270072937012	0.37040383	No	
row_64	MIS12	5051	0.4940548539161682	0.36999932	No	
row_65	EVL	5206	0.46762576699256897	0.3646131	No	
row_66	ZWINT	5352	0.4371691346168518	0.35951486	No	
row_67	SRGAP2	5365	0.43419399857521057	0.36249992	No	
row_68	KNL1	5397	0.42742255330085754	0.36426863	No	
row_69	DVL2	5432	0.4203091859817505	0.36579353	No	
row_70	B9D2	5554	0.39997121691703796	0.36184013	No	
row_71	ZW10	5750	0.3625347912311554	0.3530546	No	
row_72	TUBB2A	5796	0.3551931083202362	0.35335147	No	
row_73	CENPC	6033	0.3133346140384674	0.34164512	No	
row_74	DAAM1	6085	0.30177929997444153	0.34111896	No	
row_75	DVL3	6185	0.2834625542163849	0.33750954	No	
row_76	TAOK1	6286	0.2647929787635803	0.33367935	No	
row_77	TUBA1C	6396	0.24527095258235931	0.32913333	No	
row_78	RHOA	6419	0.24168339371681213	0.32986084	No	
row_79	CENPS	6559	0.217715784907341	0.3232499	No	
row_80	NSL1	6713	0.19271734356880188	0.31557143	No	
row_81	CENPT	6837	0.17180003225803375	0.30954292	No	
row_82	CLIP1	6874	0.1658049076795578	0.30876735	No	
