NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMARCD3	2504	1.0045192241668701	-0.14223018	No	
row_1	PRMT3	2583	0.9881197810173035	-0.13724314	No	
row_2	SMARCA2	2643	0.9705095291137695	-0.13127516	No	
row_3	PRMT5	2693	0.9587166905403137	-0.12481577	No	
row_4	SMARCC1	2726	0.9505802392959595	-0.117403716	No	
row_5	PRMT1	2844	0.9259426593780518	-0.11539787	No	
row_6	SMARCD1	2955	0.9011098146438599	-0.1132112	No	
row_7	H2AZ2	3171	0.8516238927841187	-0.117890306	No	
row_8	SMARCC2	3270	0.8272517919540405	-0.11570158	No	
row_9	RBBP7	3294	0.8228333592414856	-0.10900012	No	
row_10	SMARCE1	3575	0.767238199710846	-0.11845851	No	
row_11	PBRM1	3889	0.7004510164260864	-0.130579	No	
row_12	ARID1B	4326	0.6195804476737976	-0.15096764	No	
row_13	PRMT6	4368	0.6126174926757812	-0.14742872	No	
row_14	JAK2	5318	0.4429034888744354	-0.20072088	No	
row_15	SMARCB1	6151	0.28863924741744995	-0.24842368	No	
row_16	CDK4	6444	0.23733390867710114	-0.2638266	No	
row_17	ARID2	7108	0.1258665770292282	-0.30286482	No	
row_18	WDR77	7501	0.05692990869283676	-0.32611835	No	
row_19	ACTL6A	7855	-0.01246714685112238	-0.34744027	No	
row_20	WDR5	8505	-0.13171003758907318	-0.38557044	No	
row_21	H2AC18	8912	-0.20763935148715973	-0.4081911	No	
row_22	COPRS	8993	-0.22415021061897278	-0.4108449	No	
row_23	H4C11	9651	-0.36360275745391846	-0.44717866	No	
row_24	SMARCA4	9866	-0.4127880930900574	-0.45611626	No	
row_25	RPS2	10080	-0.45791634917259216	-0.4645489	No	
row_26	H4C8	10118	-0.4685598313808441	-0.46218485	No	
row_27	H4C14	10252	-0.5007442235946655	-0.465336	No	
row_28	ACTL6B	10262	-0.5024521946907043	-0.46093738	No	
row_29	CARM1	10385	-0.530584454536438	-0.4631266	No	
row_30	H2AX	10714	-0.6094644069671631	-0.47705385	No	
row_31	PRMT7	10894	-0.6536929607391357	-0.4814941	No	
row_32	DNMT3A	11029	-0.6850240230560303	-0.48289222	No	
row_33	H4C1	11059	-0.6921157836914062	-0.47784185	No	
row_34	H4C13	11441	-0.7959462404251099	-0.4931534	No	
row_35	H2AC25	11458	-0.8024420142173767	-0.4862274	No	
row_36	H3C4	12237	-1.014069676399231	-0.5235097	No	
row_37	SMARCD2	12251	-1.0174140930175781	-0.51428556	No	
row_38	H4C12	13014	-1.2790555953979492	-0.54798776	Yes	
row_39	H3C6	13182	-1.3446156978607178	-0.5448986	Yes	
row_40	H4C2	13377	-1.4115980863571167	-0.5427905	Yes	
row_41	H3C12	13646	-1.524367094039917	-0.54406786	Yes	
row_42	H2AJ	13647	-1.5247454643249512	-0.5290606	Yes	
row_43	H4C5	13957	-1.6475505828857422	-0.53161633	Yes	
row_44	H3C3	14026	-1.6829837560653687	-0.51918256	Yes	
row_45	H4C9	14285	-1.8014343976974487	-0.5171255	Yes	
row_46	H3C7	14369	-1.8449333906173706	-0.504009	Yes	
row_47	H3C1	14400	-1.860592246055603	-0.4875187	Yes	
row_48	H3C14	14517	-1.9120327234268188	-0.47574654	Yes	
row_49	H2AC8	14573	-1.9389710426330566	-0.46000355	Yes	
row_50	H2AC7	14673	-1.9917974472045898	-0.44641358	Yes	
row_51	H3C10	14689	-2.00132155418396	-0.4276269	Yes	
row_52	ARID1A	14691	-2.0022079944610596	-0.407981	Yes	
row_53	H3C11	14693	-2.002318859100342	-0.388334	Yes	
row_54	H2AC14	14713	-2.016253709793091	-0.36964336	Yes	
row_55	H4C16	14727	-2.0249745845794678	-0.3505024	Yes	
row_56	H2AC4	14730	-2.0254526138305664	-0.33068845	Yes	
row_57	H4C4	14732	-2.026857852935791	-0.31079996	Yes	
row_58	H2AC11	14862	-2.1082100868225098	-0.2978867	Yes	
row_59	H3C2	14885	-2.124586820602417	-0.27831203	Yes	
row_60	H4C3	14934	-2.158620595932007	-0.25998187	Yes	
row_61	H2AC17	15046	-2.2233450412750244	-0.2448419	Yes	
row_62	H2AC19	15071	-2.246922016143799	-0.22418468	Yes	
row_63	H3C13	15151	-2.303771734237671	-0.20630912	Yes	
row_64	CCND1	15176	-2.325098752975464	-0.18488243	Yes	
row_65	H2AC12	15216	-2.3550028800964355	-0.16407265	Yes	
row_66	H2AC20	15254	-2.385629415512085	-0.14283992	Yes	
row_67	H2AC15	15264	-2.392354965209961	-0.119840026	Yes	
row_68	H2AC16	15535	-2.60444712638855	-0.11060827	Yes	
row_69	H2AC13	15604	-2.6555001735687256	-0.0886026	Yes	
row_70	H2AC6	15731	-2.780921220779419	-0.06888596	Yes	
row_71	H2AC21	16523	-5.816632270812988	-0.059688985	Yes	
row_72	H3C8	16526	-6.119996070861816	4.253153E-4	Yes	
