NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.043634318	Yes	
row_1	UBE2E1	784	1.6605392694473267	0.025120614	Yes	
row_2	ANAPC10	820	1.6403491497039795	0.04819647	Yes	
row_3	SEM1	861	1.6260969638824463	0.07074927	Yes	
row_4	ORC4	1156	1.4616949558258057	0.07532964	Yes	
row_5	PSMD10	1260	1.4212841987609863	0.090904266	Yes	
row_6	ANAPC4	1272	1.4171490669250488	0.11201011	Yes	
row_7	PSMB6	1331	1.3908638954162598	0.12985387	Yes	
row_8	PSMB1	1391	1.3627511262893677	0.14720489	Yes	
row_9	CDC26	1450	1.3392008543014526	0.16425484	Yes	
row_10	CCNA2	1559	1.3026375770568848	0.17770238	Yes	
row_11	CDC16	1660	1.2684545516967773	0.19111119	Yes	
row_12	PSMD1	1821	1.2085275650024414	0.19995047	Yes	
row_13	PSMD14	1883	1.1883625984191895	0.21450032	Yes	
row_14	PSMC6	2132	1.1059304475784302	0.21641168	Yes	
row_15	ORC2	2188	1.0884873867034912	0.22979182	Yes	
row_16	CDC27	2349	1.043047308921814	0.23608845	Yes	
row_17	ORC3	2430	1.0238450765609741	0.24695504	Yes	
row_18	UBE2D1	2478	1.0106985569000244	0.25962645	Yes	
row_19	PSMA2	2605	0.9821703433990479	0.2670553	Yes	
row_20	MCM7	2786	0.9361999034881592	0.27049395	Yes	
row_21	PSMB2	2841	0.9261661767959595	0.28144082	Yes	
row_22	CDC23	3040	0.8818792104721069	0.2829502	Yes	
row_23	PSMD13	3051	0.8800524473190308	0.29586425	Yes	
row_24	PSMD12	3273	0.8270295262336731	0.29513216	Yes	
row_25	PSMD7	3297	0.8220282196998596	0.30636412	Yes	
row_26	PSMD4	3309	0.8191383481025696	0.31828138	Yes	
row_27	ANAPC7	3330	0.8150379061698914	0.32958835	Yes	
row_28	GMNN	3350	0.8108254075050354	0.34089142	Yes	
row_29	PSME3	3566	0.7692116498947144	0.33963582	Yes	
row_30	MCM6	3624	0.7559600472450256	0.347785	Yes	
row_31	PSMC2	3654	0.7503330111503601	0.35755044	Yes	
row_32	RPS27A	3668	0.7473828792572021	0.36824358	Yes	
row_33	UBA52	3857	0.7059215307235718	0.36765745	Yes	
row_34	PSMC3	3940	0.6903654336929321	0.37327844	Yes	
row_35	ANAPC15	4037	0.6725160479545593	0.3777738	Yes	
row_36	PSMB5	4116	0.6567730903625488	0.38312185	Yes	
