NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EDA2R	2453	1.0163856744766235	-0.123179466	No	
row_1	EDARADD	3485	0.7857111692428589	-0.16600603	No	
row_2	TNFSF13B	4768	0.5403313636779785	-0.23015462	No	
row_3	TNFRSF11B	5562	0.398891806602478	-0.2682212	No	
row_4	TNFSF13	9198	-0.2680913805961609	-0.48164797	No	
row_5	EDA	10722	-0.6107931733131409	-0.5586321	No	
row_6	TNFRSF1A	11579	-0.8269416093826294	-0.5898328	No	
row_7	TNFSF4	12244	-1.0156441926956177	-0.6046984	No	
row_8	TNFRSF6B	13228	-1.3624106645584106	-0.6302284	No	
row_9	TNFRSF14	13805	-1.5943868160247803	-0.62532425	No	
row_10	TNFSF18	15053	-2.230323314666748	-0.6451842	Yes	
row_11	TNFSF15	15224	-2.358621835708618	-0.59662545	Yes	
row_12	TNFSF14	15718	-2.763796091079712	-0.5575158	Yes	
row_13	LTA	15840	-2.888554811477661	-0.49276683	Yes	
row_14	TNFRSF18	15922	-2.977454900741577	-0.4233774	Yes	
row_15	TNFSF9	16026	-3.1576778888702393	-0.35082316	Yes	
row_16	TNFRSF9	16139	-3.3986008167266846	-0.27280235	Yes	
row_17	TNFRSF25	16180	-3.4919378757476807	-0.18809263	Yes	
row_18	CD70	16239	-3.6710686683654785	-0.100003175	Yes	
row_19	TNFRSF1B	16486	-4.718831539154053	0.0028461057	Yes	
