NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB1	856	1.6273666620254517	-0.038011234	No	
row_1	TFDP2	1004	1.5428999662399292	-0.033664856	No	
row_2	H3-3A	1355	1.3800959587097168	-0.04305561	No	
row_3	CDKN1A	1622	1.2820138931274414	-0.048186008	No	
row_4	RUNX1	2546	0.9956549406051636	-0.095705666	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.12629528	No	
row_6	LEF1	4015	0.6776940226554871	-0.17169009	No	
row_7	MYB	4195	0.6437404751777649	-0.17702709	No	
row_8	STAT3	4775	0.5390752553939819	-0.20757216	No	
row_9	CEBPA	5523	0.40449437499046326	-0.24948458	No	
row_10	CDK2	5794	0.35550451278686523	-0.26283225	No	
row_11	CDK4	6444	0.23733390867710114	-0.3002281	No	
row_12	TFDP1	6778	0.1825077384710312	-0.31889307	No	
row_13	RXRA	7656	0.026653723791241646	-0.3719573	No	
row_14	E2F1	8895	-0.20413894951343536	-0.44543126	No	
row_15	H2AC18	8912	-0.20763935148715973	-0.44461647	No	
row_16	H3-3B	9510	-0.32959118485450745	-0.47805834	No	
row_17	H4C11	9651	-0.36360275745391846	-0.48343644	No	
row_18	H4C8	10118	-0.4685598313808441	-0.5077216	No	
row_19	H4C14	10252	-0.5007442235946655	-0.51149404	No	
row_20	H2BC9	10328	-0.5166260004043579	-0.5116052	No	
row_21	EP300	10522	-0.5675387382507324	-0.51844877	No	
row_22	H2AX	10714	-0.6094644069671631	-0.52481	No	
row_23	RARA	10799	-0.6298828125	-0.52449334	No	
row_24	KLF5	10939	-0.6632460355758667	-0.5272317	No	
row_25	H4C1	11059	-0.6921157836914062	-0.5285063	No	
row_26	DEK	11088	-0.7020041942596436	-0.52416587	No	
row_27	H2BC21	11333	-0.7696878910064697	-0.5323688	No	
row_28	H4C13	11441	-0.7959462404251099	-0.5320205	No	
row_29	H3C4	12237	-1.014069676399231	-0.57160336	No	
row_30	H2BC12	12827	-1.2135350704193115	-0.5969512	No	
row_31	H4C12	13014	-1.2790555953979492	-0.59724563	Yes	
row_32	H2BC17	13107	-1.3134263753890991	-0.591532	Yes	
row_33	H3C6	13182	-1.3446156978607178	-0.58445615	Yes	
row_34	H2BC14	13229	-1.3626646995544434	-0.57552344	Yes	
row_35	H2BC3	13325	-1.3952683210372925	-0.5692877	Yes	
row_36	H4C2	13377	-1.4115980863571167	-0.5602377	Yes	
row_37	H2BC13	13571	-1.4892842769622803	-0.5591481	Yes	
row_38	H2BC11	13574	-1.4913228750228882	-0.5464342	Yes	
row_39	H3C12	13646	-1.524367094039917	-0.537629	Yes	
row_40	H2AJ	13647	-1.5247454643249512	-0.524506	Yes	
row_41	KMT2A	13741	-1.5655616521835327	-0.51668304	Yes	
row_42	H2BC10	13921	-1.6341475248336792	-0.5134959	Yes	
row_43	H2BC5	13928	-1.6365104913711548	-0.49977556	Yes	
row_44	H4C5	13957	-1.6475505828857422	-0.4872971	Yes	
row_45	H3C3	14026	-1.6829837560653687	-0.47694436	Yes	
row_46	CBFB	14145	-1.7453360557556152	-0.4690934	Yes	
row_47	H4C9	14285	-1.8014343976974487	-0.46203575	Yes	
row_48	H2BC7	14296	-1.8048152923583984	-0.4471099	Yes	
row_49	H3C7	14369	-1.8449333906173706	-0.43560642	Yes	
row_50	H3C1	14400	-1.860592246055603	-0.42141587	Yes	
row_51	H2BC26	14486	-1.8953831195831299	-0.41026816	Yes	
row_52	H2BC4	14509	-1.9068490266799927	-0.39519337	Yes	
row_53	H3C14	14517	-1.9120327234268188	-0.37916243	Yes	
row_54	MYC	14569	-1.937958836555481	-0.36558217	Yes	
row_55	H2AC8	14573	-1.9389710426330566	-0.3490763	Yes	
row_56	H2AC7	14673	-1.9917974472045898	-0.3379495	Yes	
row_57	H3C10	14689	-2.00132155418396	-0.32163626	Yes	
row_58	H3C11	14693	-2.002318859100342	-0.3045852	Yes	
row_59	H2AC14	14713	-2.016253709793091	-0.28838646	Yes	
row_60	H4C16	14727	-2.0249745845794678	-0.2717481	Yes	
row_61	H2AC4	14730	-2.0254526138305664	-0.25443715	Yes	
row_62	H4C4	14732	-2.026857852935791	-0.23705335	Yes	
row_63	PML	14855	-2.1031548976898193	-0.22636582	Yes	
row_64	H3C2	14885	-2.124586820602417	-0.20984238	Yes	
row_65	H4C3	14934	-2.158620595932007	-0.19418064	Yes	
row_66	H2BC6	14976	-2.1810669898986816	-0.17790033	Yes	
row_67	H2AC19	15071	-2.246922016143799	-0.16427393	Yes	
row_68	H2BC15	15107	-2.2702934741973877	-0.14686106	Yes	
row_69	H3C13	15151	-2.303771734237671	-0.1296462	Yes	
row_70	H2AC20	15254	-2.385629415512085	-0.11531213	Yes	
row_71	FLI1	15353	-2.4589669704437256	-0.10010379	Yes	
row_72	H2BC8	15434	-2.5153231620788574	-0.08331659	Yes	
row_73	IL6R	15674	-2.718071460723877	-0.074446514	Yes	
row_74	H2AC6	15731	-2.780921220779419	-0.053914953	Yes	
row_75	GATA2	15733	-2.790175437927246	-0.029961493	Yes	
row_76	CEBPB	15936	-2.995509624481201	-0.016455175	Yes	
row_77	H3C8	16526	-6.119996070861816	4.254277E-4	Yes	
