NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKN	1264	1.4186360836029053	-0.06461547	No	
row_1	ADAM10	1326	1.3922219276428223	-0.056301676	No	
row_2	H3-3A	1355	1.3800959587097168	-0.046085786	No	
row_3	NCSTN	1372	1.3711947202682495	-0.035217024	No	
row_4	PSENEN	1425	1.3507853746414185	-0.026713766	No	
row_5	SIAH1	2358	1.0405817031860352	-0.07440441	No	
row_6	H2AZ1	2690	0.959559977054596	-0.08624649	No	
row_7	UBE2L6	3048	0.8803742527961731	-0.10035354	No	
row_8	SNCAIP	3206	0.8426929712295532	-0.10262352	No	
row_9	ITM2B	3587	0.7641013264656067	-0.119133405	No	
row_10	RPS27A	3668	0.7473828792572021	-0.117543936	No	
row_11	GGA3	3801	0.7181305289268494	-0.11936934	No	
row_12	UBA52	3857	0.7059215307235718	-0.11661762	No	
row_13	MFGE8	4709	0.5506057143211365	-0.16361395	No	
row_14	APH1A	4870	0.5234925746917725	-0.168823	No	
row_15	APP	5634	0.38473883271217346	-0.21190026	No	
row_16	UBC	6166	0.2852231562137604	-0.24172847	No	
row_17	TSPAN5	6567	0.21565908193588257	-0.264191	No	
row_18	TSPAN14	6742	0.1878630816936493	-0.27314997	No	
row_19	BACE1	7169	0.11491265892982483	-0.29806367	No	
row_20	UBB	7187	0.11134494841098785	-0.2981359	No	
row_21	GGA2	7434	0.06894481182098389	-0.31250033	No	
row_22	CALB1	7878	-0.016637705266475677	-0.33929658	No	
row_23	TSPAN15	8468	-0.12355654686689377	-0.37404805	No	
row_24	H2AC18	8912	-0.20763935148715973	-0.39919478	No	
row_25	B2M	9314	-0.29080986976623535	-0.42106912	No	
row_26	TSPAN33	9505	-0.3285803496837616	-0.42978585	No	
row_27	H3-3B	9510	-0.32959118485450745	-0.4271827	No	
row_28	SIAH2	9610	-0.3516533076763153	-0.43016624	No	
row_29	H4C11	9651	-0.36360275745391846	-0.42945862	No	
row_30	USP9X	9786	-0.3911725878715515	-0.43422928	No	
row_31	CST3	9907	-0.42012980580329895	-0.43789852	No	
row_32	H4C8	10118	-0.4685598313808441	-0.44662258	No	
row_33	H4C14	10252	-0.5007442235946655	-0.45038617	No	
row_34	H2BC9	10328	-0.5166260004043579	-0.45048547	No	
row_35	H2AX	10714	-0.6094644069671631	-0.46863487	No	
row_36	GSN	11012	-0.6805821061134338	-0.48081863	No	
row_37	H4C1	11059	-0.6921157836914062	-0.4776388	No	
row_38	H2BC21	11333	-0.7696878910064697	-0.48759353	No	
row_39	H4C13	11441	-0.7959462404251099	-0.48722658	No	
row_40	APH1B	12149	-0.9833158850669861	-0.521729	No	
row_41	H3C4	12237	-1.014069676399231	-0.5182621	No	
row_42	APOA1	12409	-1.068163275718689	-0.51943624	No	
row_43	LYZ	12587	-1.1257003545761108	-0.52047837	No	
row_44	H2BC12	12827	-1.2135350704193115	-0.5245324	Yes	
row_45	HSPG2	12946	-1.2553815841674805	-0.52086663	Yes	
row_46	H4C12	13014	-1.2790555953979492	-0.51389503	Yes	
row_47	APOE	13097	-1.3103461265563965	-0.5075654	Yes	
row_48	H2BC17	13107	-1.3134263753890991	-0.49676985	Yes	
row_49	H3C6	13182	-1.3446156978607178	-0.48965773	Yes	
row_50	H2BC14	13229	-1.3626646995544434	-0.48068702	Yes	
row_51	H2BC3	13325	-1.3952683210372925	-0.47441453	Yes	
row_52	H4C2	13377	-1.4115980863571167	-0.46532527	Yes	
row_53	FURIN	13565	-1.4853370189666748	-0.4638697	Yes	
row_54	H2BC13	13571	-1.4892842769622803	-0.45131215	Yes	
row_55	H2BC11	13574	-1.4913228750228882	-0.43855458	Yes	
row_56	SORL1	13636	-1.519533395767212	-0.4291413	Yes	
row_57	H3C12	13646	-1.524367094039917	-0.41652405	Yes	
row_58	H2BC10	13921	-1.6341475248336792	-0.41907403	Yes	
row_59	H2BC5	13928	-1.6365104913711548	-0.40530583	Yes	
row_60	H4C5	13957	-1.6475505828857422	-0.39278018	Yes	
row_61	H3C3	14026	-1.6829837560653687	-0.38238105	Yes	
row_62	GGA1	14051	-1.6966948509216309	-0.3691877	Yes	
row_63	H4C9	14285	-1.8014343976974487	-0.36779967	Yes	
row_64	H2BC7	14296	-1.8048152923583984	-0.35282126	Yes	
row_65	IAPP	14335	-1.8292086124420166	-0.3393349	Yes	
row_66	H3C7	14369	-1.8449333906173706	-0.3254087	Yes	
row_67	H3C1	14400	-1.860592246055603	-0.31116483	Yes	
row_68	H2BC26	14486	-1.8953831195831299	-0.2999652	Yes	
row_69	H2BC4	14509	-1.9068490266799927	-0.28483534	Yes	
row_70	H3C14	14517	-1.9120327234268188	-0.26874855	Yes	
row_71	H2AC8	14573	-1.9389710426330566	-0.2553481	Yes	
row_72	H2AC7	14673	-1.9917974472045898	-0.24416718	Yes	
row_73	H3C10	14689	-2.00132155418396	-0.22779578	Yes	
row_74	H3C11	14693	-2.002318859100342	-0.210686	Yes	
row_75	H2AC14	14713	-2.016253709793091	-0.19442889	Yes	
row_76	H4C16	14727	-2.0249745845794678	-0.17773157	Yes	
row_77	H2AC4	14730	-2.0254526138305664	-0.16036122	Yes	
row_78	H4C4	14732	-2.026857852935791	-0.14291789	Yes	
row_79	TGFBI	14800	-2.066378355026245	-0.12914689	Yes	
row_80	H3C2	14885	-2.124586820602417	-0.11590701	Yes	
row_81	H4C3	14934	-2.158620595932007	-0.100183964	Yes	
row_82	H2BC6	14976	-2.1810669898986816	-0.08384138	Yes	
row_83	H2AC19	15071	-2.246922016143799	-0.07015313	Yes	
row_84	H2BC15	15107	-2.2702934741973877	-0.052675106	Yes	
row_85	H3C13	15151	-2.303771734237671	-0.035394456	Yes	
row_86	H2AC20	15254	-2.385629415512085	-0.020994812	Yes	
row_87	H2BC8	15434	-2.5153231620788574	-0.01015768	Yes	
row_88	H2AC6	15731	-2.780921220779419	-0.004141875	Yes	
row_89	H3C8	16526	-6.119996070861816	4.258831E-4	Yes	
