NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.050591223	Yes	
row_1	UBE2E1	784	1.6605392694473267	0.035882406	Yes	
row_2	ANAPC10	820	1.6403491497039795	0.062671654	Yes	
row_3	SEM1	861	1.6260969638824463	0.08890594	Yes	
row_4	PTTG1	1165	1.4586989879608154	0.096213214	Yes	
row_5	PSMD10	1260	1.4212841987609863	0.115556866	Yes	
row_6	ANAPC4	1272	1.4171490669250488	0.13986954	Yes	
row_7	PSMB6	1331	1.3908638954162598	0.16086382	Yes	
row_8	PSMB1	1391	1.3627511262893677	0.18130177	Yes	
row_9	CDC26	1450	1.3392008543014526	0.20138536	Yes	
row_10	RB1	1558	1.3027392625808716	0.21784966	Yes	
row_11	CDC16	1660	1.2684545516967773	0.23407407	Yes	
row_12	PSMD1	1821	1.2085275650024414	0.24565811	Yes	
row_13	PSMD14	1883	1.1883625984191895	0.26290053	Yes	
row_14	PSMC6	2132	1.1059304475784302	0.2673304	Yes	
row_15	CDC27	2349	1.043047308921814	0.27259564	Yes	
row_16	UBE2D1	2478	1.0106985569000244	0.2826363	Yes	
row_17	PSMA2	2605	0.9821703433990479	0.2922956	Yes	
row_18	PSMB2	2841	0.9261661767959595	0.29434633	Yes	
row_19	CDC23	3040	0.8818792104721069	0.29786402	Yes	
row_20	PSMD13	3051	0.8800524473190308	0.31276974	Yes	
row_21	PSMD12	3273	0.8270295262336731	0.3139234	Yes	
row_22	PSMD7	3297	0.8220282196998596	0.3270166	Yes	
row_23	PSMD4	3309	0.8191383481025696	0.3407878	Yes	
row_24	ANAPC7	3330	0.8150379061698914	0.35394	Yes	
row_25	PSME3	3566	0.7692116498947144	0.35322404	Yes	
row_26	PSMC2	3654	0.7503330111503601	0.36116567	Yes	
row_27	RPS27A	3668	0.7473828792572021	0.3735505	Yes	
row_28	UBA52	3857	0.7059215307235718	0.37457395	Yes	
row_29	PSMC3	3940	0.6903654336929321	0.38176224	Yes	
row_30	ANAPC15	4037	0.6725160479545593	0.38778543	Yes	
row_31	PSMB5	4116	0.6567730903625488	0.39462456	Yes	
row_32	PSMA6	4239	0.634976327419281	0.39840665	Yes	
row_33	PSMB3	4305	0.6225293874740601	0.40543184	Yes	
row_34	AURKB	4424	0.6027894020080566	0.4088895	Yes	
row_35	PSMD11	4501	0.5884295701980591	0.4146454	Yes	
row_36	CDC20	4560	0.577100396156311	0.42129502	Yes	
row_37	PSMC1	4603	0.5701741576194763	0.42879444	Yes	
row_38	PSMA4	4833	0.5295811295509338	0.42421886	Yes	
row_39	PSMA3	4901	0.519446074962616	0.42930543	Yes	
row_40	PLK1	4974	0.5083270072937012	0.4338923	Yes	
row_41	ANAPC16	5197	0.4688567817211151	0.4286715	Yes	
row_42	PSMA1	5233	0.4622754454612732	0.43469417	Yes	
row_43	PSME2	5404	0.42629274725914	0.43188187	Yes	
row_44	PSME1	5463	0.41578492522239685	0.43568787	Yes	
row_45	PSMD8	5480	0.4130707085132599	0.44199738	Yes	
row_46	PSMB7	5773	0.3588389754295349	0.430585	Yes	
row_47	PSME4	5811	0.3527965843677521	0.43455634	Yes	
row_48	PSMB4	5872	0.34337514638900757	0.43696445	Yes	
row_49	AURKA	5896	0.3390858769416809	0.44154456	Yes	
row_50	PSMC5	5908	0.33724820613861084	0.4468212	Yes	
row_51	PSMB9	6051	0.31080082058906555	0.44367394	Yes	
row_52	PSMD2	6156	0.28758013248443604	0.4424257	Yes	
row_53	UBC	6166	0.2852231562137604	0.44690678	Yes	
row_54	PSMC4	6538	0.2220301628112793	0.42828387	No	
row_55	ANAPC5	7091	0.1286025047302246	0.39701906	No	
row_56	UBE2C	7154	0.11832567304372787	0.3953386	No	
row_57	UBB	7187	0.11134494841098785	0.39535746	No	
row_58	PSMF1	7220	0.10643545538187027	0.3952898	No	
row_59	PSMD9	7888	-0.01783563569188118	0.35508665	No	
row_60	PSMD6	8033	-0.040716275572776794	0.34705696	No	
row_61	ANAPC11	8315	-0.09721879661083221	0.33170107	No	
row_62	PSMB8	9123	-0.2519811689853668	0.28712088	No	
row_63	PSMA7	9669	-0.3668043911457062	0.26048023	No	
row_64	ANAPC1	9891	-0.4169706702232361	0.25440553	No	
row_65	SKP2	10058	-0.45146721601486206	0.25227997	No	
row_66	PSMD5	10196	-0.4868204891681671	0.25253922	No	
row_67	FZR1	11780	-0.8793594241142273	0.17187934	No	
row_68	PSMD3	12674	-1.1594445705413818	0.13807137	No	
row_69	UBE2S	12744	-1.1823318004608154	0.15472153	No	
row_70	ANAPC2	13738	-1.5632082223892212	0.12195634	No	
row_71	PSMB10	15666	-2.709846019744873	0.05266685	No	
