NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC73	134	2.6369547843933105	0.015699532	No	
row_1	H3-3A	1355	1.3800959587097168	-0.045984685	No	
row_2	LEO1	1729	1.2413489818572998	-0.057434198	No	
row_3	AXIN2	2918	0.9089944958686829	-0.1214332	No	
row_4	TCF7L1	2968	0.8975093364715576	-0.11629593	No	
row_5	H2AZ2	3171	0.8516238927841187	-0.12087451	No	
row_6	PYGO1	3333	0.8139402270317078	-0.123301454	No	
row_7	KAT5	3405	0.801954448223114	-0.12036566	No	
row_8	ASH2L	3483	0.7860240340232849	-0.11793866	No	
row_9	LEF1	4015	0.6776940226554871	-0.14409006	No	
row_10	BCL9	4456	0.5971413850784302	-0.16543795	No	
row_11	CTNNB1	4792	0.5352016091346741	-0.18096296	No	
row_12	RBBP5	5119	0.483774334192276	-0.19640593	No	
row_13	TCF4	5266	0.45647773146629333	-0.20115347	No	
row_14	TLE1	5888	0.3399263322353363	-0.23583035	No	
row_15	RUVBL1	6347	0.2533625066280365	-0.2613812	No	
row_16	HDAC1	7216	0.10711921006441116	-0.3131785	No	
row_17	PYGO2	7530	0.05070170387625694	-0.33174735	No	
row_18	CREBBP	7937	-0.02379651553928852	-0.35621303	No	
row_19	H2AC18	8912	-0.20763935148715973	-0.41354513	No	
row_20	TERT	9402	-0.30805864930152893	-0.44048586	No	
row_21	H3-3B	9510	-0.32959118485450745	-0.44401	No	
row_22	H4C11	9651	-0.36360275745391846	-0.44923264	No	
row_23	TLE2	9852	-0.4078943133354187	-0.4577022	No	
row_24	SMARCA4	9866	-0.4127880930900574	-0.45475972	No	
row_25	TRRAP	9954	-0.43050944805145264	-0.45615545	No	
row_26	H4C8	10118	-0.4685598313808441	-0.4618272	No	
row_27	H4C14	10252	-0.5007442235946655	-0.46538416	No	
row_28	H2BC9	10328	-0.5166260004043579	-0.4652717	No	
row_29	MEN1	10353	-0.522026777267456	-0.4620101	No	
row_30	EP300	10522	-0.5675387382507324	-0.46709073	No	
row_31	TLE4	10711	-0.6077069044113159	-0.47302392	No	
row_32	H2AX	10714	-0.6094644069671631	-0.46763426	No	
row_33	H4C1	11059	-0.6921157836914062	-0.48228744	No	
row_34	BCL9L	11174	-0.7256715297698975	-0.48265544	No	
row_35	H2BC21	11333	-0.7696878910064697	-0.48530018	No	
row_36	H4C13	11441	-0.7959462404251099	-0.48460716	No	
row_37	TCF7L2	11748	-0.8697627782821655	-0.4953439	No	
row_38	TLE3	11993	-0.9391571879386902	-0.5016841	No	
row_39	H3C4	12237	-1.014069676399231	-0.50728613	No	
row_40	H2BC12	12827	-1.2135350704193115	-0.5321179	Yes	
row_41	TCF7	12918	-1.2435389757156372	-0.52634394	Yes	
row_42	H4C12	13014	-1.2790555953979492	-0.52055275	Yes	
row_43	H2BC17	13107	-1.3134263753890991	-0.51426846	Yes	
row_44	H3C6	13182	-1.3446156978607178	-0.50660783	Yes	
row_45	H2BC14	13229	-1.3626646995544434	-0.4970819	Yes	
row_46	H2BC3	13325	-1.3952683210372925	-0.49023986	Yes	
row_47	H4C2	13377	-1.4115980863571167	-0.48057538	Yes	
row_48	H2BC13	13571	-1.4892842769622803	-0.47884062	Yes	
row_49	H2BC11	13574	-1.4913228750228882	-0.46547648	Yes	
row_50	H3C12	13646	-1.524367094039917	-0.45600808	Yes	
row_51	H2AJ	13647	-1.5247454643249512	-0.44222012	Yes	
row_52	H2BC10	13921	-1.6341475248336792	-0.4440386	Yes	
row_53	H2BC5	13928	-1.6365104913711548	-0.42960474	Yes	
row_54	RUNX3	13931	-1.636955738067627	-0.41492367	Yes	
row_55	H4C5	13957	-1.6475505828857422	-0.40154496	Yes	
row_56	H3C3	14026	-1.6829837560653687	-0.39045984	Yes	
row_57	KMT2D	14200	-1.7718992233276367	-0.38495365	Yes	
row_58	H4C9	14285	-1.8014343976974487	-0.37377003	Yes	
row_59	H2BC7	14296	-1.8048152923583984	-0.35805738	Yes	
row_60	H3C7	14369	-1.8449333906173706	-0.34575093	Yes	
row_61	H3C1	14400	-1.860592246055603	-0.3307497	Yes	
row_62	H2BC26	14486	-1.8953831195831299	-0.31877732	Yes	
row_63	H2BC4	14509	-1.9068490266799927	-0.30287147	Yes	
row_64	H3C14	14517	-1.9120327234268188	-0.2860069	Yes	
row_65	MYC	14569	-1.937958836555481	-0.27158263	Yes	
row_66	H2AC8	14573	-1.9389710426330566	-0.2542313	Yes	
row_67	H2AC7	14673	-1.9917974472045898	-0.24223813	Yes	
row_68	H3C10	14689	-2.00132155418396	-0.22505245	Yes	
row_69	H3C11	14693	-2.002318859100342	-0.20712827	Yes	
row_70	H2AC14	14713	-2.016253709793091	-0.19005074	Yes	
row_71	H4C16	14727	-2.0249745845794678	-0.1725296	Yes	
row_72	H2AC4	14730	-2.0254526138305664	-0.15433542	Yes	
row_73	H4C4	14732	-2.026857852935791	-0.13606776	Yes	
row_74	H3C2	14885	-2.124586820602417	-0.1260957	Yes	
row_75	H4C3	14934	-2.158620595932007	-0.10949368	Yes	
row_76	H2BC6	14976	-2.1810669898986816	-0.09226315	Yes	
row_77	H2AC19	15071	-2.246922016143799	-0.07765899	Yes	
row_78	H2BC15	15107	-2.2702934741973877	-0.059256863	Yes	
row_79	H3C13	15151	-2.303771734237671	-0.041038323	Yes	
row_80	H2AC20	15254	-2.385629415512085	-0.025666185	Yes	
row_81	H2BC8	15434	-2.5153231620788574	-0.013802106	Yes	
row_82	H2AC6	15731	-2.780921220779419	-0.0066487407	Yes	
row_83	H3C8	16526	-6.119996070861816	4.2561864E-4	Yes	
