NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNTRL	110	2.7658779621124268	0.008397099	Yes	
row_1	SGO2	190	2.448385238647461	0.01695487	Yes	
row_2	CENPE	202	2.42108154296875	0.029525362	Yes	
row_3	CEP63	263	2.2210304737091064	0.038002394	Yes	
row_4	NDC80	326	2.090451955795288	0.045642722	Yes	
row_5	BUB1	352	2.0493004322052	0.055322602	Yes	
row_6	CENPK	380	2.0168566703796387	0.0647026	Yes	
row_7	CDK5RAP2	392	1.9999853372573853	0.07496961	Yes	
row_8	BUB1B	407	1.9812971353530884	0.08495078	Yes	
row_9	KIF18A	432	1.946377158164978	0.09412886	Yes	
row_10	NEDD1	483	1.895835280418396	0.10143908	Yes	
row_11	DYNC1I2	551	1.823386311531067	0.10731248	Yes	
row_12	DYNLL2	576	1.8036925792694092	0.11571004	Yes	
row_13	KIF2A	614	1.771934151649475	0.1231382	Yes	
row_14	PDS5B	618	1.7690331935882568	0.13263151	Yes	
row_15	MAD2L1	637	1.7587370872497559	0.14115041	Yes	
row_16	NEK2	652	1.7499909400939941	0.1498663	Yes	
row_17	CENPQ	688	1.7256001234054565	0.1571634	Yes	
row_18	PPP2R5E	730	1.6955666542053223	0.16392899	Yes	
row_19	SMC2	806	1.6461738348007202	0.16834334	Yes	
row_20	PPP1CC	863	1.624915599822998	0.17380433	Yes	
row_21	TUBA1A	916	1.5884283781051636	0.17931058	Yes	
row_22	KIF2C	974	1.5621235370635986	0.18436688	Yes	
row_23	PAFAH1B1	986	1.5540896654129028	0.19219476	Yes	
row_24	SKA2	1008	1.5403611660003662	0.19933549	Yes	
row_25	CCNB1	1053	1.5094741582870483	0.20489947	Yes	
row_26	NME7	1090	1.4872446060180664	0.21083154	Yes	
row_27	SPDL1	1117	1.4752575159072876	0.21731009	Yes	
row_28	NUF2	1171	1.4562855958938599	0.22203226	Yes	
row_29	CEP70	1218	1.4337689876556396	0.22705972	Yes	
row_30	ITGB3BP	1303	1.4038604497909546	0.22959772	Yes	
row_31	CENPU	1314	1.3966034650802612	0.23662533	Yes	
row_32	CENPI	1316	1.3961796760559082	0.2442015	Yes	
row_33	HDAC8	1384	1.3667218685150146	0.24757685	Yes	
row_34	CCP110	1426	1.3504399061203003	0.25245452	Yes	
row_35	CCNB2	1505	1.3213099241256714	0.25490817	Yes	
row_36	NCAPH	1515	1.3176079988479614	0.26156488	Yes	
row_37	CENPA	1571	1.297245740890503	0.26529467	Yes	
row_38	CEP135	1598	1.2883085012435913	0.27075058	Yes	
row_39	SKA1	1606	1.286055326461792	0.2773571	Yes	
row_40	PPP2R5C	1629	1.2802300453186035	0.28301364	Yes	
row_41	STAG1	1659	1.2686861753463745	0.2881786	Yes	
row_42	CEP78	1690	1.2555396556854248	0.29321042	Yes	
row_43	RPS27	1698	1.2539360523223877	0.29964122	Yes	
row_44	CENPJ	1701	1.2529847621917725	0.30637288	Yes	
row_45	CETN2	1855	1.1971596479415894	0.3035569	Yes	
row_46	CKAP5	1873	1.192340612411499	0.3090387	Yes	
row_47	SPC25	1898	1.1843401193618774	0.3140483	Yes	
row_48	YWHAE	1900	1.1839460134506226	0.32046348	Yes	
row_49	FIRRM	1979	1.1566330194473267	0.32201633	Yes	
row_50	PMF1	2118	1.1084458827972412	0.3196332	Yes	
row_51	PPP2CB	2128	1.1062829494476318	0.3251339	Yes	
row_52	YWHAG	2171	1.0912699699401855	0.32853264	Yes	
row_53	SGO1	2219	1.0787893533706665	0.3315571	Yes	
row_54	CENPO	2263	1.0658665895462036	0.3347557	Yes	
