NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDB2	48	3.1851563453674316	0.0379481	Yes	
row_1	PPIE	278	2.194040060043335	0.05215959	Yes	
row_2	PARP1	314	2.119830846786499	0.0772294	Yes	
row_3	ERCC8	391	2.002206325531006	0.09829388	Yes	
row_4	PARP2	945	1.5762510299682617	0.08485339	Yes	
row_5	COPS7B	1403	1.3576627969741821	0.074452475	Yes	
row_6	UBE2V2	1416	1.3543530702590942	0.0911003	Yes	
row_7	MNAT1	1423	1.3510006666183472	0.108070366	Yes	
row_8	COPS8	1636	1.2787024974822998	0.111571655	Yes	
row_9	SUMO1	1732	1.2404301166534424	0.121704705	Yes	
row_10	GTF2H2	1743	1.236889123916626	0.13696705	Yes	
row_11	GTF2H5	1788	1.2200597524642944	0.14994355	Yes	
row_12	RAD23B	1853	1.1972403526306152	0.16140966	Yes	
row_13	CETN2	1855	1.1971596479415894	0.17671013	Yes	
row_14	RFC1	1890	1.1866358518600464	0.18986654	Yes	
row_15	POLR2G	1917	1.176276683807373	0.20337707	Yes	
row_16	XPA	1932	1.173006296157837	0.21757618	Yes	
row_17	POLR2K	2183	1.0890945196151733	0.21633111	Yes	
row_18	UBE2N	2231	1.0753251314163208	0.2272678	Yes	
row_19	RFC3	2531	0.9981847405433655	0.22187315	Yes	
row_20	USP7	2689	0.959583580493927	0.22462802	Yes	
row_21	COPS4	2960	0.8994655013084412	0.21973215	Yes	
row_22	CHD1L	3092	0.8694175481796265	0.22291291	Yes	
row_23	XPC	3151	0.8550590872764587	0.2303536	Yes	
row_24	PIAS3	3259	0.829149067401886	0.23447876	Yes	
row_25	COPS5	3320	0.8173916339874268	0.24131437	Yes	
row_26	ERCC2	3390	0.8039829134941101	0.24743	Yes	
row_27	RPA3	3436	0.7939934134483337	0.25487855	Yes	
row_28	TCEA1	3489	0.7845780253410339	0.26178014	Yes	
row_29	RFC4	3500	0.7817145586013794	0.2712019	Yes	
row_30	XRCC1	3517	0.7786193490028381	0.2802187	Yes	
row_31	PIAS1	3530	0.7765658497810364	0.28945264	Yes	
row_32	RPA1	3537	0.7757415175437927	0.2990413	Yes	
row_33	POLR2J	3556	0.7717076539993286	0.30784762	Yes	
row_34	POLR2D	3664	0.748365044593811	0.31093618	Yes	
row_35	RPS27A	3668	0.7473828792572021	0.32034358	Yes	
row_36	UBA52	3857	0.7059215307235718	0.31795636	Yes	
row_37	GTF2H3	3904	0.6977756023406982	0.3241094	Yes	
row_38	YY1	3945	0.6895208954811096	0.33052182	Yes	
row_39	ERCC1	4007	0.6788633465766907	0.33551902	Yes	
row_40	POLR2A	4043	0.671867847442627	0.34200934	Yes	
row_41	ZNF830	4053	0.6680702567100525	0.35003376	Yes	
row_42	POLE2	4348	0.6162001490592957	0.34004205	Yes	
row_43	POLR2I	4352	0.6154544949531555	0.34775662	Yes	
row_44	LIG3	4367	0.6126207709312439	0.35476515	Yes	
row_45	ACTB	4379	0.6108660697937012	0.3619338	Yes	
row_46	INO80E	4415	0.6048757433891296	0.3675645	Yes	
row_47	LIG1	4488	0.5908672213554382	0.37076288	Yes	
row_48	CUL4B	4505	0.587711751461029	0.37733006	Yes	
row_49	CUL4A	4721	0.5482906699180603	0.37127644	Yes	
row_50	POLR2F	4799	0.5343918204307556	0.37344578	Yes	
row_51	CCNH	4811	0.5332558155059814	0.3796186	Yes	
row_52	ERCC3	4816	0.5325030088424683	0.38620788	Yes	
row_53	RBX1	4848	0.5264285206794739	0.3910755	Yes	
row_54	ERCC6	4879	0.5223509073257446	0.39595166	Yes	
row_55	ISY1	4910	0.5176147222518921	0.40076703	Yes	
row_56	TFPT	4954	0.5108668804168701	0.40470442	Yes	
row_57	POLD3	5026	0.49853649735450745	0.40677896	Yes	
row_58	MCRS1	5042	0.4957105219364166	0.4122265	Yes	
row_59	DDB1	5181	0.4713648855686188	0.4098735	Yes	
row_60	UBE2I	5245	0.46027299761772156	0.4119441	Yes	
row_61	COPS2	5321	0.4422394931316376	0.41305274	Yes	
row_62	INO80C	5505	0.4076448380947113	0.40714258	No	
row_63	PRPF19	5614	0.3880596160888672	0.405547	No	
row_64	COPS3	5810	0.35319024324417114	0.39820755	No	
row_65	RPA2	5862	0.344385027885437	0.39952168	No	
row_66	RFC2	5890	0.33985498547554016	0.4022388	No	
row_67	COPS6	6103	0.29843246936798096	0.39316174	No	
row_68	UBC	6166	0.2852231562137604	0.3930471	No	
row_69	RUVBL1	6347	0.2533625066280365	0.38533986	No	
row_70	AQR	6518	0.22572171688079834	0.37788677	No	
row_71	SUMO2	6554	0.2192942500114441	0.37856987	No	
row_72	POLD2	6759	0.18587437272071838	0.36853558	No	
row_73	INO80B	6782	0.1815648078918457	0.369526	No	
row_74	CDK7	6959	0.15181496739387512	0.3607593	No	
row_75	ACTR8	7084	0.129196435213089	0.35486805	No	
row_76	INO80	7139	0.12061609327793121	0.35312825	No	
row_77	POLR2C	7145	0.11940508335828781	0.35435602	No	
row_78	UBB	7187	0.11134494841098785	0.35328868	No	
row_79	SUMO3	7483	0.061000850051641464	0.33611208	No	
row_80	RFC5	7505	0.056512657552957535	0.33555877	No	
row_81	GTF2H1	7548	0.04789484292268753	0.3336164	No	
row_82	ACTL6A	7855	-0.01246714685112238	0.31514737	No	
row_83	PCNA	8013	-0.03671662136912346	0.3060605	No	
row_84	USP45	8239	-0.08154034614562988	0.293409	No	
row_85	COPS7A	8591	-0.14739230275154114	0.27393168	No	
row_86	RAD23A	8984	-0.2216036468744278	0.25291058	No	
row_87	ERCC4	9268	-0.2826254367828369	0.2393083	No	
row_88	RNF111	9317	-0.29135555028915405	0.24012463	No	
row_89	INO80D	9351	-0.29916101694107056	0.2419543	No	
row_90	POLE	9961	-0.43228647112846375	0.21042581	No	
row_91	ERCC5	10112	-0.4675668478012085	0.20729353	No	
row_92	POLR2E	10113	-0.4676572382450104	0.21329427	No	
row_93	POLE3	10137	-0.47357672452926636	0.21797074	No	
row_94	GTF2H4	10226	-0.49446141719818115	0.21895806	No	
row_95	ELL	10291	-0.5098283886909485	0.22160365	No	
row_96	POLR2B	10565	-0.5779100656509399	0.21239911	No	
row_97	ACTR5	10642	-0.5939154028892517	0.21539311	No	
row_98	XAB2	10679	-0.6005101799964905	0.22090691	No	
row_99	POLE4	10797	-0.6294053196907043	0.22186026	No	
row_100	GPS1	11032	-0.6856980323791504	0.21641308	No	
row_101	NFRKB	12091	-0.966897189617157	0.16440973	No	
row_102	POLR2H	12289	-1.0294291973114014	0.16562565	No	
row_103	POLR2L	12542	-1.1114648580551147	0.16454586	No	
row_104	POLD1	12701	-1.1679651737213135	0.16991371	No	
row_105	POLK	12780	-1.1963648796081543	0.18051627	No	
row_106	UVSSA	13452	-1.4376075267791748	0.15811305	No	
row_107	POLD4	15135	-2.2908153533935547	0.08510899	No	
