NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.06782877	No	
row_1	AEBP2	1865	1.1932172775268555	-0.08624212	No	
row_2	SUZ12	2887	0.9139024615287781	-0.13867098	No	
row_3	RBBP4	3138	0.8583824634552002	-0.14486317	No	
row_4	H2AZ2	3171	0.8516238927841187	-0.13788834	No	
row_5	RBBP7	3294	0.8228333592414856	-0.13668014	No	
row_6	DNMT3B	4076	0.6639984846115112	-0.17715222	No	
row_7	MTF2	4461	0.5967926383018494	-0.1942207	No	
row_8	EED	4669	0.5596553087234497	-0.20092997	No	
row_9	EZH2	5316	0.44310641288757324	-0.23551746	No	
row_10	DNMT1	6169	0.2848260998725891	-0.28427154	No	
row_11	PHF19	7221	0.10642224550247192	-0.34697786	No	
row_12	H2AC18	8912	-0.20763935148715973	-0.44742677	No	
row_13	JARID2	9469	-0.3208770155906677	-0.47782907	No	
row_14	H3-3B	9510	-0.32959118485450745	-0.47680664	No	
row_15	H4C11	9651	-0.36360275745391846	-0.48150042	No	
row_16	H4C8	10118	-0.4685598313808441	-0.5048911	No	
row_17	H4C14	10252	-0.5007442235946655	-0.5077237	No	
row_18	H2BC9	10328	-0.5166260004043579	-0.506868	No	
row_19	H2AX	10714	-0.6094644069671631	-0.5238645	No	
row_20	DNMT3A	11029	-0.6850240230560303	-0.5357584	No	
row_21	H4C1	11059	-0.6921157836914062	-0.5302717	No	
row_22	H2BC21	11333	-0.7696878910064697	-0.53878933	No	
row_23	H4C13	11441	-0.7959462404251099	-0.53695184	No	
row_24	H3C4	12237	-1.014069676399231	-0.5746082	No	
row_25	H2BC12	12827	-1.2135350704193115	-0.5976667	Yes	
row_26	H4C12	13014	-1.2790555953979492	-0.59556735	Yes	
row_27	H2BC17	13107	-1.3134263753890991	-0.5874001	Yes	
row_28	H3C6	13182	-1.3446156978607178	-0.57781315	Yes	
row_29	H2BC14	13229	-1.3626646995544434	-0.5663369	Yes	
row_30	H2BC3	13325	-1.3952683210372925	-0.5574948	Yes	
row_31	H4C2	13377	-1.4115980863571167	-0.5458098	Yes	
row_32	PHF1	13482	-1.4539999961853027	-0.53689915	Yes	
row_33	H2BC13	13571	-1.4892842769622803	-0.52664745	Yes	
row_34	H2BC11	13574	-1.4913228750228882	-0.51115215	Yes	
row_35	H3C12	13646	-1.524367094039917	-0.49950072	Yes	
row_36	H2AJ	13647	-1.5247454643249512	-0.48353398	Yes	
row_37	H2BC10	13921	-1.6341475248336792	-0.48299918	Yes	
row_38	H2BC5	13928	-1.6365104913711548	-0.4662264	Yes	
row_39	H4C5	13957	-1.6475505828857422	-0.4506739	Yes	
row_40	H3C3	14026	-1.6829837560653687	-0.43717936	Yes	
row_41	H4C9	14285	-1.8014343976974487	-0.43398193	Yes	
row_42	H2BC7	14296	-1.8048152923583984	-0.4156896	Yes	
row_43	H3C7	14369	-1.8449333906173706	-0.400742	Yes	
row_44	H3C1	14400	-1.860592246055603	-0.38308007	Yes	
row_45	H2BC26	14486	-1.8953831195831299	-0.3683936	Yes	
row_46	H2BC4	14509	-1.9068490266799927	-0.3497615	Yes	
row_47	H3C14	14517	-1.9120327234268188	-0.3301642	Yes	
row_48	H2AC8	14573	-1.9389710426330566	-0.31319958	Yes	
row_49	H2AC7	14673	-1.9917974472045898	-0.29835364	Yes	
row_50	H3C10	14689	-2.00132155418396	-0.27830714	Yes	
row_51	H3C11	14693	-2.002318859100342	-0.25752154	Yes	
row_52	H2AC14	14713	-2.016253709793091	-0.23756158	Yes	
row_53	H4C16	14727	-2.0249745845794678	-0.21714595	Yes	
row_54	H2AC4	14730	-2.0254526138305664	-0.19605736	Yes	
row_55	H4C4	14732	-2.026857852935791	-0.17489333	Yes	
row_56	H3C2	14885	-2.124586820602417	-0.1618752	Yes	
row_57	H4C3	14934	-2.158620595932007	-0.1421854	Yes	
row_58	H2BC6	14976	-2.1810669898986816	-0.121835485	Yes	
row_59	H2AC19	15071	-2.246922016143799	-0.104014315	Yes	
row_60	H2BC15	15107	-2.2702934741973877	-0.0823657	Yes	
row_61	H3C13	15151	-2.303771734237671	-0.06085229	Yes	
row_62	H2AC20	15254	-2.385629415512085	-0.0420644	Yes	
row_63	H2BC8	15434	-2.5153231620788574	-0.026594123	Yes	
row_64	H2AC6	15731	-2.780921220779419	-0.015447256	Yes	
row_65	H3C8	16526	-6.119996070861816	4.251088E-4	Yes	
