NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX5	125	2.690777540206909	0.005397662	Yes	
row_1	SRSF5	177	2.482321262359619	0.014333865	Yes	
row_2	HNRNPH2	212	2.384272813796997	0.023839002	Yes	
row_3	PPIE	278	2.194040060043335	0.030511769	Yes	
row_4	EIF4E	320	2.1075081825256348	0.03824012	Yes	
row_5	MTREX	363	2.0432748794555664	0.045594532	Yes	
row_6	PPIH	387	2.007815361022949	0.053945344	Yes	
row_7	WBP4	550	1.8238481283187866	0.05285015	Yes	
row_8	HNRNPU	588	1.7954435348510742	0.059306737	Yes	
row_9	PPIG	599	1.7875478267669678	0.06738595	Yes	
row_10	SARNP	623	1.7647184133529663	0.07455437	Yes	
row_11	RBMX	643	1.7569706439971924	0.08193118	Yes	
row_12	TRA2B	718	1.701136827468872	0.08565285	Yes	
row_13	HNRNPR	902	1.5969364643096924	0.082162075	Yes	
row_14	HNRNPH1	925	1.583175539970398	0.08850901	Yes	
row_15	RBM7	989	1.5525981187820435	0.09218492	Yes	
row_16	NUP35	1038	1.5216501951217651	0.0966331	Yes	
row_17	CWC27	1079	1.4941445589065552	0.10143965	Yes	
row_18	ZMAT2	1084	1.4897288084030151	0.10843942	Yes	
row_19	PPP1R8	1160	1.4609215259552002	0.110931195	Yes	
row_20	RBMX2	1183	1.4509921073913574	0.11663521	Yes	
row_21	U2AF1L4	1224	1.4296374320983887	0.12112801	Yes	
row_22	SNRPG	1289	1.4101539850234985	0.12404957	Yes	
row_23	SNRPD3	1339	1.3879895210266113	0.12778611	Yes	
row_24	DHX9	1352	1.3813039064407349	0.13376637	Yes	
row_25	HNRNPA2B1	1359	1.3767750263214111	0.14009371	Yes	
row_26	FUS	1365	1.3735381364822388	0.14646684	Yes	
row_27	SNRNP35	1397	1.3592933416366577	0.15117116	Yes	
row_28	WTAP	1417	1.3541752099990845	0.15658882	Yes	
row_29	SNRNP27	1468	1.3322569131851196	0.15999278	Yes	
row_30	ZCRB1	1501	1.3218448162078857	0.16445345	Yes	
row_31	LUC7L3	1525	1.3147556781768799	0.1694333	Yes	
row_32	SF3B6	1546	1.307152509689331	0.17456073	Yes	
row_33	PRPF38A	1556	1.3032079935073853	0.1803457	Yes	
row_34	SRSF11	1611	1.2854446172714233	0.18327588	Yes	
row_35	PNN	1781	1.221267819404602	0.17881918	Yes	
row_36	SAP18	1809	1.2124764919281006	0.18305548	Yes	
row_37	HNRNPA3	1824	1.2070826292037964	0.1880653	Yes	
row_38	ACIN1	1843	1.2012009620666504	0.19280045	Yes	
row_39	POLR2G	1917	1.176276683807373	0.19403078	Yes	
row_40	SNRPD2	1935	1.172359824180603	0.19868715	Yes	
row_41	DDX39B	1956	1.163666844367981	0.2031167	Yes	
row_42	PPIL4	1959	1.1627380847930908	0.20864907	Yes	
row_43	SF3B5	1961	1.161679983139038	0.21423781	Yes	
row_44	PPIL2	2002	1.1488232612609863	0.21736476	Yes	
row_45	LSM7	2029	1.1398488283157349	0.22130933	Yes	
row_46	POLDIP3	2032	1.1387797594070435	0.22672518	Yes	
row_47	LSM5	2039	1.1374480724334717	0.23188847	Yes	
row_48	PABPN1	2054	1.1316570043563843	0.23653144	Yes	
row_49	BUD31	2123	1.1076583862304688	0.23773561	Yes	
row_50	PAPOLA	2166	1.0933818817138672	0.24046986	Yes	
row_51	POLR2K	2183	1.0890945196151733	0.24478278	Yes	
row_52	CCAR1	2202	1.0841995477676392	0.24894883	Yes	
row_53	HNRNPK	2205	1.0837666988372803	0.2540971	Yes	
row_54	PPWD1	2213	1.0805991888046265	0.25892237	Yes	
row_55	NKAP	2265	1.0655195713043213	0.2609674	Yes	
row_56	NUP88	2279	1.0611326694488525	0.26532888	Yes	
row_57	NUP42	2280	1.0609641075134277	0.27048928	Yes	
row_58	LSM3	2294	1.056854248046875	0.27482992	Yes	
row_59	MFAP1	2400	1.0317013263702393	0.27338845	Yes	
row_60	CPSF2	2401	1.0313608646392822	0.27840486	Yes	
row_61	SRSF7	2405	1.0306408405303955	0.2832332	Yes	
row_62	CHTOP	2420	1.0251636505126953	0.2873582	Yes	
row_63	PRKRIP1	2423	1.0245630741119385	0.2922185	Yes	
row_64	SNRPF	2483	1.009848713874817	0.29350063	Yes	
