NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TERF1	622	1.7654955387115479	-0.01255209	No	
row_1	POT1	915	1.5885214805603027	-0.0076099536	No	
row_2	TERF2	2404	1.030705451965332	-0.083174095	No	
row_3	H2AZ2	3171	0.8516238927841187	-0.11749487	No	
row_4	TINF2	3300	0.821332573890686	-0.11354581	No	
row_5	NEIL3	4621	0.5670307278633118	-0.18553172	No	
row_6	TERF2IP	4641	0.5647897124290466	-0.17862935	No	
row_7	OGG1	8660	-0.15919329226016998	-0.42009568	No	
row_8	H2AC18	8912	-0.20763935148715973	-0.43236035	No	
row_9	H4C11	9651	-0.36360275745391846	-0.4719427	No	
row_10	H4C8	10118	-0.4685598313808441	-0.49352828	No	
row_11	H4C14	10252	-0.5007442235946655	-0.4944547	No	
row_12	H2BC9	10328	-0.5166260004043579	-0.49163628	No	
row_13	H2AX	10714	-0.6094644069671631	-0.5062988	No	
row_14	H4C1	11059	-0.6921157836914062	-0.51729536	No	
row_15	H2BC21	11333	-0.7696878910064697	-0.52287877	No	
row_16	H4C13	11441	-0.7959462404251099	-0.5180178	No	
row_17	ACD	12000	-0.9408559203147888	-0.53844845	No	
row_18	MUTYH	12756	-1.1889230012893677	-0.5672915	Yes	
row_19	H2BC12	12827	-1.2135350704193115	-0.5542306	Yes	
row_20	H4C12	13014	-1.2790555953979492	-0.54727185	Yes	
row_21	H2BC17	13107	-1.3134263753890991	-0.53412086	Yes	
row_22	H2BC14	13229	-1.3626646995544434	-0.5220268	Yes	
row_23	H2BC3	13325	-1.3952683210372925	-0.5078905	Yes	
row_24	H4C2	13377	-1.4115980863571167	-0.4908523	Yes	
row_25	H2BC13	13571	-1.4892842769622803	-0.48132	Yes	
row_26	H2BC11	13574	-1.4913228750228882	-0.46017233	Yes	
row_27	H2AJ	13647	-1.5247454643249512	-0.4427943	Yes	
row_28	H2BC10	13921	-1.6341475248336792	-0.43604887	Yes	
row_29	H2BC5	13928	-1.6365104913711548	-0.4130732	Yes	
row_30	H4C5	13957	-1.6475505828857422	-0.39127466	Yes	
row_31	H4C9	14285	-1.8014343976974487	-0.38541916	Yes	
row_32	H2BC7	14296	-1.8048152923583984	-0.36028582	Yes	
row_33	H2BC26	14486	-1.8953831195831299	-0.34471917	Yes	
row_34	H2BC4	14509	-1.9068490266799927	-0.31885856	Yes	
row_35	H2AC8	14573	-1.9389710426330566	-0.29502696	Yes	
row_36	H2AC7	14673	-1.9917974472045898	-0.27262577	Yes	
row_37	H2AC14	14713	-2.016253709793091	-0.2462361	Yes	
row_38	H4C16	14727	-2.0249745845794678	-0.21814486	Yes	
row_39	H2AC4	14730	-2.0254526138305664	-0.18937954	Yes	
row_40	H4C4	14732	-2.026857852935791	-0.16053352	Yes	
row_41	H4C3	14934	-2.158620595932007	-0.14194056	Yes	
row_42	H2BC6	14976	-2.1810669898986816	-0.11332169	Yes	
row_43	H2AC19	15071	-2.246922016143799	-0.086978644	Yes	
row_44	H2BC15	15107	-2.2702934741973877	-0.056723263	Yes	
row_45	MPG	15203	-2.3437275886535645	-0.029060256	Yes	
row_46	H2AC20	15254	-2.385629415512085	0.0019301036	Yes	
row_47	H2BC8	15434	-2.5153231620788574	0.026944837	Yes	
row_48	H2AC6	15731	-2.780921220779419	0.04865012	Yes	
