NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3-3A	1355	1.3800959587097168	-0.07000209	No	
row_1	MYL6	1589	1.2919764518737793	-0.07259107	No	
row_2	KDM1A	1895	1.18524169921875	-0.080512874	No	
row_3	YWHAE	1900	1.1839460134506226	-0.070149526	No	
row_4	CDC25C	1929	1.1735352277755737	-0.061338317	No	
row_5	RAC1	1939	1.1710896492004395	-0.05139408	No	
row_6	YWHAG	2171	1.0912699699401855	-0.055659533	No	
row_7	MYH10	2645	0.9696074724197388	-0.07572526	No	
row_8	H2AZ2	3171	0.8516238927841187	-0.10000886	No	
row_9	PPP1CB	3274	0.8266904950141907	-0.0988031	No	
row_10	YWHAB	3329	0.8153073191642761	-0.09478157	No	
row_11	YWHAQ	3744	0.7292557954788208	-0.1134141	No	
row_12	NCOA2	4312	0.6216619610786438	-0.14231087	No	
row_13	AR	5382	0.4308144450187683	-0.20343223	No	
row_14	MYL12B	5425	0.42153865098953247	-0.20220888	No	
row_15	PKN2	5534	0.40310758352279663	-0.20516254	No	
row_16	RHOA	6419	0.24168339371681213	-0.25673273	No	
row_17	PDPK1	6916	0.15971526503562927	-0.28545207	No	
row_18	PPP1R12A	7057	0.13359250128269196	-0.29276538	No	
row_19	YWHAZ	7340	0.08469275385141373	-0.30914846	No	
row_20	YWHAH	8235	-0.08076810091733932	-0.36276808	No	
row_21	RHOB	8515	-0.133286714553833	-0.37853348	No	
row_22	PPP1R12B	8826	-0.19008199870586395	-0.39567447	No	
row_23	H2AC18	8912	-0.20763935148715973	-0.39898115	No	
row_24	H3-3B	9510	-0.32959118485450745	-0.43231806	No	
row_25	H4C11	9651	-0.36360275745391846	-0.4375708	No	
row_26	PKN1	9920	-0.42301490902900696	-0.450072	No	
row_27	RHOC	10067	-0.4548160135746002	-0.45487234	No	
row_28	H4C8	10118	-0.4685598313808441	-0.453714	No	
row_29	H4C14	10252	-0.5007442235946655	-0.45731267	No	
row_30	H2BC9	10328	-0.5166260004043579	-0.4572434	No	
row_31	H2AX	10714	-0.6094644069671631	-0.47518632	No	
