NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	0.019656707	No	
row_1	H3-3A	1355	1.3800959587097168	-0.046654847	No	
row_2	AGO4	1363	1.3737506866455078	-0.035740253	No	
row_3	DPY30	2014	1.1462364196777344	-0.06579904	No	
row_4	AGO1	2144	1.09988272190094	-0.06456297	No	
row_5	RUNX1	2546	0.9956549406051636	-0.08072526	No	
row_6	PRMT1	2844	0.9259426593780518	-0.09113968	No	
row_7	H2AZ2	3171	0.8516238927841187	-0.10393084	No	
row_8	ASH2L	3483	0.7860240340232849	-0.11635149	No	
row_9	SIN3A	3582	0.7653607130050659	-0.11599203	No	
row_10	TNRC6C	4243	0.6337823867797852	-0.15088911	No	
row_11	PRMT6	4368	0.6126174926757812	-0.15337136	No	
row_12	TNRC6A	4916	0.5171535015106201	-0.18236065	No	
row_13	RBBP5	5119	0.483774334192276	-0.190649	No	
row_14	HDAC1	7216	0.10711921006441116	-0.3172044	No	
row_15	PRKCQ	8387	-0.1112314984202385	-0.38742378	No	
row_16	WDR5	8505	-0.13171003758907318	-0.3934503	No	
row_17	H2AC18	8912	-0.20763935148715973	-0.4164216	No	
row_18	SIN3B	9245	-0.2784630060195923	-0.43430895	No	
row_19	H3-3B	9510	-0.32959118485450745	-0.44763976	No	
row_20	AGO3	9601	-0.35096243023872375	-0.4502147	No	
row_21	H4C11	9651	-0.36360275745391846	-0.45019248	No	
row_22	THBS1	9841	-0.4049980938434601	-0.4583407	No	
row_23	ITGA2B	9880	-0.4151807427406311	-0.45722386	No	
row_24	H4C8	10118	-0.4685598313808441	-0.46776587	No	
row_25	H4C14	10252	-0.5007442235946655	-0.47171885	No	
row_26	H2BC9	10328	-0.5166260004043579	-0.47201425	No	
row_27	EP300	10522	-0.5675387382507324	-0.4790639	No	
row_28	H2AX	10714	-0.6094644069671631	-0.4856459	No	
row_29	H4C1	11059	-0.6921157836914062	-0.5008482	No	
row_30	H2BC21	11333	-0.7696878910064697	-0.51109326	No	
row_31	H4C13	11441	-0.7959462404251099	-0.5110285	No	
row_32	TNRC6B	11537	-0.8192212581634521	-0.5100421	No	
row_33	NR4A3	11637	-0.8419090509414673	-0.50911146	No	
row_34	KMT2B	11913	-0.9124813675880432	-0.5182994	No	
row_35	H3C4	12237	-1.014069676399231	-0.5295672	No	
row_36	SETD1B	12338	-1.0449674129486084	-0.52702117	No	
row_37	NFE2	12760	-1.190245509147644	-0.54279315	Yes	
row_38	H2BC12	12827	-1.2135350704193115	-0.5367884	Yes	
row_39	MOV10	12909	-1.2404863834381104	-0.5314732	Yes	
row_40	H4C12	13014	-1.2790555953979492	-0.5272381	Yes	
row_41	MYL9	13036	-1.2891654968261719	-0.5178729	Yes	
row_42	SETD1A	13040	-1.2899407148361206	-0.50740695	Yes	
row_43	H2BC17	13107	-1.3134263753890991	-0.5005776	Yes	
