NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.016008388	Yes	
row_1	SGO2	190	2.448385238647461	0.023686225	Yes	
row_2	CENPE	202	2.42108154296875	0.03846674	Yes	
row_3	NDC80	326	2.090451955795288	0.044288028	Yes	
row_4	BUB1	352	2.0493004322052	0.055839445	Yes	
row_5	CENPK	380	2.0168566703796387	0.06706148	Yes	
row_6	BUB1B	407	1.9812971353530884	0.07811769	Yes	
row_7	KIF18A	432	1.946377158164978	0.08907332	Yes	
row_8	DYNC1I2	551	1.823386311531067	0.09349575	Yes	
row_9	DYNLL2	576	1.8036925792694092	0.10354066	Yes	
row_10	KIF2A	614	1.771934151649475	0.11258791	Yes	
row_11	PDS5B	618	1.7690331935882568	0.12369576	Yes	
row_12	MAD2L1	637	1.7587370872497559	0.13382064	Yes	
row_13	CENPQ	688	1.7256001234054565	0.14177717	Yes	
row_14	PPP2R5E	730	1.6955666542053223	0.15009238	Yes	
row_15	UBE2E1	784	1.6605392694473267	0.1574502	Yes	
row_16	ANAPC10	820	1.6403491497039795	0.16577987	Yes	
row_17	SEM1	861	1.6260969638824463	0.17371282	Yes	
row_18	PPP1CC	863	1.624915599822998	0.18402311	Yes	
row_19	TUBA1A	916	1.5884283781051636	0.19098182	Yes	
row_20	KIF2C	974	1.5621235370635986	0.19746687	Yes	
row_21	PAFAH1B1	986	1.5540896654129028	0.20671359	Yes	
row_22	SKA2	1008	1.5403611660003662	0.21526118	Yes	
row_23	SPDL1	1117	1.4752575159072876	0.21807308	Yes	
row_24	PTTG1	1165	1.4586989879608154	0.22450952	Yes	
row_25	NUF2	1171	1.4562855958938599	0.23349889	Yes	
row_26	PSMD10	1260	1.4212841987609863	0.23718932	Yes	
row_27	ANAPC4	1272	1.4171490669250488	0.24556197	Yes	
row_28	ITGB3BP	1303	1.4038604497909546	0.25268796	Yes	
row_29	CENPU	1314	1.3966034650802612	0.26099062	Yes	
row_30	CENPI	1316	1.3961796760559082	0.26984096	Yes	
row_31	PSMB6	1331	1.3908638954162598	0.27786237	Yes	
row_32	HDAC8	1384	1.3667218685150146	0.283406	Yes	
row_33	PSMB1	1391	1.3627511262893677	0.2917372	Yes	
row_34	CDC26	1450	1.3392008543014526	0.29673824	Yes	
row_35	CENPA	1571	1.297245740890503	0.29768014	Yes	
row_36	SKA1	1606	1.286055326461792	0.30380958	Yes	
row_37	PPP2R5C	1629	1.2802300453186035	0.31063566	Yes	
row_38	STAG1	1659	1.2686861753463745	0.31696	Yes	
row_39	CDC16	1660	1.2684545516967773	0.32505623	Yes	
row_40	RPS27	1698	1.2539360523223877	0.33079723	Yes	
row_41	PSMD1	1821	1.2085275650024414	0.33105054	Yes	
row_42	CKAP5	1873	1.192340612411499	0.3355423	Yes	
row_43	PSMD14	1883	1.1883625984191895	0.34257695	Yes	
row_44	SPC25	1898	1.1843401193618774	0.3492802	Yes	
row_45	PMF1	2118	1.1084458827972412	0.3429631	Yes	
row_46	PPP2CB	2128	1.1062829494476318	0.34947386	Yes	
row_47	PSMC6	2132	1.1059304475784302	0.35634932	Yes	
row_48	SGO1	2219	1.0787893533706665	0.357976	Yes	
row_49	CENPO	2263	1.0658665895462036	0.36214966	Yes	
row_50	RAD21	2266	1.0654878616333008	0.36882812	Yes	
row_51	ZWILCH	2292	1.0569835901260376	0.37404582	Yes	
row_52	CDC27	2349	1.043047308921814	0.37727886	Yes	
row_53	SPC24	2384	1.0339187383651733	0.381799	Yes	
row_54	CENPN	2440	1.0203654766082764	0.38494843	Yes	
row_55	UBE2D1	2478	1.0106985569000244	0.3891369	Yes	
row_56	BIRC5	2600	0.9832806587219238	0.3880137	Yes	
row_57	PSMA2	2605	0.9821703433990479	0.39403805	Yes	
row_58	NDE1	2646	0.9690292477607727	0.39777708	Yes	
row_59	CENPF	2724	0.9507784247398376	0.39913705	Yes	
row_60	PSMB2	2841	0.9261661767959595	0.39795506	Yes	
row_61	CDC23	3040	0.8818792104721069	0.391476	Yes	
row_62	CLASP2	3042	0.8813846707344055	0.39704052	Yes	
row_63	PSMD13	3051	0.8800524473190308	0.40216848	Yes	
row_64	CDCA8	3127	0.86063551902771	0.4030754	Yes	
row_65	NUP133	3210	0.8412226438522339	0.40343034	Yes	
row_66	CENPH	3272	0.8270915746688843	0.40497926	Yes	
row_67	PSMD12	3273	0.8270295262336731	0.410258	Yes	
row_68	PSMD7	3297	0.8220282196998596	0.41409832	Yes	
row_69	PSMD4	3309	0.8191383481025696	0.41865402	Yes	
row_70	STAG2	3321	0.8169875741004944	0.423196	Yes	
row_71	NUP43	3325	0.8158512711524963	0.4282199	Yes	
row_72	ANAPC7	3330	0.8150379061698914	0.4331775	Yes	
row_73	DYNC1LI2	3391	0.8038539290428162	0.43463925	Yes	
row_74	DYNC1LI1	3454	0.7912907004356384	0.4358985	Yes	
row_75	TUBA1B	3457	0.7907239198684692	0.44082323	Yes	
row_76	RCC2	3466	0.7885487675666809	0.44536713	Yes	
row_77	PSME3	3566	0.7692116498947144	0.44422287	Yes	
row_78	PSMC2	3654	0.7503330111503601	0.44369194	Yes	
row_79	RPS27A	3668	0.7473828792572021	0.44766736	Yes	
row_80	PPP2R5D	3670	0.7469285130500793	0.45237365	Yes	
row_81	UBA52	3857	0.7059215307235718	0.44550532	Yes	
row_82	PSMC3	3940	0.6903654336929321	0.44489738	Yes	
row_83	ANAPC15	4037	0.6725160479545593	0.4433194	Yes	
row_84	PSMB5	4116	0.6567730903625488	0.44274166	Yes	
row_85	DYNLL1	4186	0.6466732621192932	0.4426498	Yes	
row_86	PSMA6	4239	0.634976327419281	0.44352287	Yes	
row_87	NUP85	4250	0.632612407207489	0.44694918	Yes	
row_88	PSMB3	4305	0.6225293874740601	0.44762048	Yes	
row_89	XPO1	4343	0.6169223189353943	0.44929558	Yes	
row_90	MAPRE1	4400	0.6074020862579346	0.449748	Yes	
