NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAF1A	1214	1.4356645345687866	-0.05832003	No	
row_1	H3-3A	1355	1.3800959587097168	-0.05203762	No	
row_2	TAF1B	2966	0.8986353874206543	-0.1401487	No	
row_3	H2AZ2	3171	0.8516238927841187	-0.1434115	No	
row_4	SIRT1	3762	0.7259963750839233	-0.17145209	No	
row_5	TBP	3839	0.7087244391441345	-0.16847508	No	
row_6	SUV39H1	8894	-0.2038777619600296	-0.47309658	No	
row_7	H2AC18	8912	-0.20763935148715973	-0.4719047	No	
row_8	H3-3B	9510	-0.32959118485450745	-0.5046158	No	
row_9	H4C11	9651	-0.36360275745391846	-0.5092203	No	
row_10	H4C8	10118	-0.4685598313808441	-0.5324906	No	
row_11	H4C14	10252	-0.5007442235946655	-0.5352014	No	
row_12	H2BC9	10328	-0.5166260004043579	-0.53422105	No	
row_13	H2AX	10714	-0.6094644069671631	-0.55106515	No	
row_14	H4C1	11059	-0.6921157836914062	-0.564535	No	
row_15	H2BC21	11333	-0.7696878910064697	-0.57286406	No	
row_16	TAF1C	11398	-0.7869480848312378	-0.5683208	No	
row_17	H4C13	11441	-0.7959462404251099	-0.5623457	No	
row_18	TAF1D	11702	-0.8559708595275879	-0.5689614	No	
row_19	H3C4	12237	-1.014069676399231	-0.59051716	No	
row_20	RRP8	12677	-1.160759449005127	-0.6047348	Yes	
row_21	H2BC12	12827	-1.2135350704193115	-0.60078263	Yes	
row_22	H4C12	13014	-1.2790555953979492	-0.59837484	Yes	
row_23	H2BC17	13107	-1.3134263753890991	-0.5898926	Yes	
row_24	H3C6	13182	-1.3446156978607178	-0.57998365	Yes	
row_25	H2BC14	13229	-1.3626646995544434	-0.56818163	Yes	
row_26	H2BC3	13325	-1.3952683210372925	-0.55900496	Yes	
row_27	H4C2	13377	-1.4115980863571167	-0.5469824	Yes	
row_28	H2BC13	13571	-1.4892842769622803	-0.5427479	Yes	
row_29	H2BC11	13574	-1.4913228750228882	-0.5268969	Yes	
row_30	H3C12	13646	-1.524367094039917	-0.51488066	Yes	
row_31	H2AJ	13647	-1.5247454643249512	-0.49855027	Yes	
row_32	H2BC10	13921	-1.6341475248336792	-0.4976207	Yes	
row_33	H2BC5	13928	-1.6365104913711548	-0.4804575	Yes	
row_34	H4C5	13957	-1.6475505828857422	-0.4645116	Yes	
row_35	H3C3	14026	-1.6829837560653687	-0.4506144	Yes	
row_36	H4C9	14285	-1.8014343976974487	-0.4469826	Yes	
row_37	H2BC7	14296	-1.8048152923583984	-0.4282596	Yes	
row_38	H3C7	14369	-1.8449333906173706	-0.41287073	Yes	
row_39	H3C1	14400	-1.860592246055603	-0.39476448	Yes	
row_40	H2BC26	14486	-1.8953831195831299	-0.37962443	Yes	
row_41	H2BC4	14509	-1.9068490266799927	-0.36053714	Yes	
row_42	H3C14	14517	-1.9120327234268188	-0.34048373	Yes	
row_43	H2AC8	14573	-1.9389710426330566	-0.32305565	Yes	
row_44	H2AC7	14673	-1.9917974472045898	-0.30773285	Yes	
row_45	H3C10	14689	-2.00132155418396	-0.2872088	Yes	
row_46	H3C11	14693	-2.002318859100342	-0.26594558	Yes	
row_47	H2AC14	14713	-2.016253709793091	-0.24550442	Yes	
row_48	H4C16	14727	-2.0249745845794678	-0.22460562	Yes	
row_49	H2AC4	14730	-2.0254526138305664	-0.20303394	Yes	
row_50	H4C4	14732	-2.026857852935791	-0.1813865	Yes	
row_51	H3C2	14885	-2.124586820602417	-0.16785887	Yes	
row_52	H4C3	14934	-2.158620595932007	-0.14765337	Yes	
row_53	H2BC6	14976	-2.1810669898986816	-0.12678254	Yes	
row_54	H2AC19	15071	-2.246922016143799	-0.108423755	Yes	
row_55	H2BC15	15107	-2.2702934741973877	-0.08623304	Yes	
row_56	H3C13	15151	-2.303771734237671	-0.064169414	Yes	
row_57	H2AC20	15254	-2.385629415512085	-0.044810694	Yes	
row_58	H2BC8	15434	-2.5153231620788574	-0.028737232	Yes	
row_59	H2AC6	15731	-2.780921220779419	-0.01692168	Yes	
row_60	H3C8	16526	-6.119996070861816	4.2488953E-4	Yes	
