NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMA5	59	3.0733256340026855	0.03373291	Yes	
row_1	UBE2E1	784	1.6605392694473267	0.009795044	Yes	
row_2	ANAPC10	820	1.6403491497039795	0.027585765	Yes	
row_3	SEM1	861	1.6260969638824463	0.044898786	Yes	
row_4	ORC4	1156	1.4616949558258057	0.044741407	Yes	
row_5	PSMD10	1260	1.4212841987609863	0.055728912	Yes	
row_6	ANAPC4	1272	1.4171490669250488	0.072270826	Yes	
row_7	PSMB6	1331	1.3908638954162598	0.08563026	Yes	
row_8	PSMB1	1391	1.3627511262893677	0.09858733	Yes	
row_9	CDC26	1450	1.3392008543014526	0.11131928	Yes	
row_10	CCNA2	1559	1.3026375770568848	0.12056117	Yes	
row_11	CDC16	1660	1.2684545516967773	0.12987523	Yes	
row_12	PSMD1	1821	1.2085275650024414	0.13480626	Yes	
row_13	PSMD14	1883	1.1883625984191895	0.14552346	Yes	
row_14	RFC1	1890	1.1866358518600464	0.15957026	Yes	
row_15	PSMC6	2132	1.1059304475784302	0.15832068	Yes	
row_16	ORC2	2188	1.0884873867034912	0.16819035	Yes	
row_17	CDC27	2349	1.043047308921814	0.17111154	Yes	
row_18	ORC3	2430	1.0238450765609741	0.17867309	Yes	
row_19	UBE2D1	2478	1.0106985569000244	0.18808533	Yes	
row_20	RFC3	2531	0.9981847405433655	0.19704098	Yes	
row_21	PSMA2	2605	0.9821703433990479	0.20452282	Yes	
row_22	MCM7	2786	0.9361999034881592	0.20492788	Yes	
row_23	PSMB2	2841	0.9261661767959595	0.21288699	Yes	
row_24	POLA1	2983	0.8953283429145813	0.21517153	Yes	
row_25	CDC23	3040	0.8818792104721069	0.22247091	Yes	
row_26	PSMD13	3051	0.8800524473190308	0.23255041	Yes	
row_27	PSMD12	3273	0.8270295262336731	0.22913183	Yes	
row_28	PSMD7	3297	0.8220282196998596	0.23771465	Yes	
row_29	PSMD4	3309	0.8191383481025696	0.24699341	Yes	
row_30	GINS1	3328	0.8153722286224365	0.25579998	Yes	
row_31	ANAPC7	3330	0.8150379061698914	0.26563814	Yes	
row_32	GMNN	3350	0.8108254075050354	0.27432856	Yes	
row_33	DNA2	3355	0.8101407885551453	0.2839245	Yes	
row_34	RPA3	3436	0.7939934134483337	0.28869435	Yes	
row_35	RFC4	3500	0.7817145586013794	0.29435074	Yes	
row_36	RPA1	3537	0.7757415175437927	0.30157942	Yes	
row_37	PSME3	3566	0.7692116498947144	0.30921617	Yes	
row_38	MCM6	3624	0.7559600472450256	0.31492525	Yes	
row_39	PSMC2	3654	0.7503330111503601	0.3222718	Yes	
row_40	RPS27A	3668	0.7473828792572021	0.3305572	Yes	
row_41	UBA52	3857	0.7059215307235718	0.32767805	Yes	
row_42	PSMC3	3940	0.6903654336929321	0.33106747	Yes	
row_43	ANAPC15	4037	0.6725160479545593	0.33338723	Yes	
row_44	PSMB5	4116	0.6567730903625488	0.33661234	Yes	
row_45	PSMA6	4239	0.634976327419281	0.33689225	Yes	
row_46	PSMB3	4305	0.6225293874740601	0.34049338	Yes	
row_47	GINS4	4317	0.620415449142456	0.34735855	Yes	
row_48	POLE2	4348	0.6162001490592957	0.35301504	Yes	
row_49	LIG1	4488	0.5908672213554382	0.35172358	Yes	
row_50	PSMD11	4501	0.5884295701980591	0.35813934	Yes	
row_51	PSMC1	4603	0.5701741576194763	0.35891148	Yes	
row_52	PSMA4	4833	0.5295811295509338	0.35139287	Yes	
row_53	ORC6	4843	0.5278176069259644	0.35725522	Yes	
row_54	RBX1	4848	0.5264285206794739	0.3634053	Yes	
row_55	PSMA3	4901	0.519446074962616	0.36654642	Yes	
row_56	POLD3	5026	0.49853649735450745	0.36504734	Yes	
row_57	ANAPC16	5197	0.4688567817211151	0.36038548	Yes	
row_58	PSMA1	5233	0.4622754454612732	0.36386788	Yes	
row_59	PRIM2	5281	0.45119622349739075	0.36648464	Yes	
row_60	PSME2	5404	0.42629274725914	0.36422998	Yes	
row_61	CCNE2	5412	0.42431676387786865	0.3689571	Yes	
row_62	PSME1	5463	0.41578492522239685	0.37096104	Yes	
row_63	PSMD8	5480	0.4130707085132599	0.37500328	Yes	
row_64	MCM4	5528	0.4036571979522705	0.37704268	Yes	
row_65	GINS2	5666	0.37823882699012756	0.37329057	Yes	
row_66	POLA2	5752	0.3623009920120239	0.3725127	Yes	
row_67	PSMB7	5773	0.3588389754295349	0.3756526	Yes	
row_68	CDK2	5794	0.35550451278686523	0.378752	Yes	
row_69	SKP1	5807	0.3536010980606079	0.38231564	Yes	
row_70	PSME4	5811	0.3527965843677521	0.38641778	Yes	
row_71	RPA2	5862	0.344385027885437	0.38755453	Yes	
row_72	PSMB4	5872	0.34337514638900757	0.39117673	Yes	
row_73	RFC2	5890	0.33985498547554016	0.3942688	Yes	
row_74	PSMC5	5908	0.33724820613861084	0.3973292	Yes	
row_75	CDC45	5922	0.33416748046875	0.4005959	Yes	
row_76	PSMB9	6051	0.31080082058906555	0.396573	No	
row_77	PSMD2	6156	0.28758013248443604	0.39373013	No	
row_78	UBC	6166	0.2852231562137604	0.39664605	No	
row_79	ORC5	6455	0.23547068238258362	0.38196105	No	
row_80	CUL1	6516	0.22659805417060852	0.381058	No	
row_81	PSMC4	6538	0.2220301628112793	0.38247538	No	
row_82	GINS3	6656	0.2007308155298233	0.3777857	No	
row_83	ORC1	6720	0.19140839576721191	0.37627253	No	
row_84	POLD2	6759	0.18587437272071838	0.3762151	No	
row_85	MCM3	6937	0.15557065606117249	0.3673218	No	
row_86	ANAPC5	7091	0.1286025047302246	0.359563	No	
row_87	UBE2C	7154	0.11832567304372787	0.35722306	No	
row_88	UBB	7187	0.11134494841098785	0.35662597	No	
row_89	PSMF1	7220	0.10643545538187027	0.35596925	No	
row_90	PRIM1	7352	0.08346109092235565	0.34900245	No	
row_91	RFC5	7505	0.056512657552957535	0.34042898	No	
row_92	MCM8	7771	0.003177338046953082	0.3243238	No	
row_93	PSMD9	7888	-0.01783563569188118	0.31747374	No	
row_94	CCNA1	7905	-0.019363094121217728	0.3167342	No	
row_95	MCM2	7911	-0.019730014726519585	0.31666923	No	
row_96	PCNA	8013	-0.03671662136912346	0.31096226	No	
row_97	PSMD6	8033	-0.040716275572776794	0.3102993	No	
row_98	ANAPC11	8315	-0.09721879661083221	0.2943616	No	
row_99	FEN1	8344	-0.10200287401676178	0.2938947	No	
row_100	CDC6	8644	-0.15602898597717285	0.27757472	No	
row_101	CCNE1	8645	-0.15693186223506927	0.27948073	No	
row_102	PSMB8	9123	-0.2519811689853668	0.2534824	No	
row_103	PSMA7	9669	-0.3668043911457062	0.22473608	No	
row_104	ANAPC1	9891	-0.4169706702232361	0.21633711	No	
row_105	POLE	9961	-0.43228647112846375	0.217384	No	
row_106	SKP2	10058	-0.45146721601486206	0.21701899	No	
row_107	POLE3	10137	-0.47357672452926636	0.21801908	No	
row_108	PSMD5	10196	-0.4868204891681671	0.22039843	No	
row_109	MCM5	10633	-0.5920441746711731	0.20102805	No	
row_110	POLE4	10797	-0.6294053196907043	0.19874257	No	
row_111	FZR1	11780	-0.8793594241142273	0.14959954	No	
row_112	PSMD3	12674	-1.1594445705413818	0.10928015	No	
row_113	POLD1	12701	-1.1679651737213135	0.12188179	No	
row_114	UBE2S	12744	-1.1823318004608154	0.1336832	No	
row_115	CDT1	13384	-1.4142438173294067	0.11193214	No	
row_116	ANAPC2	13738	-1.5632082223892212	0.10941342	No	
row_117	POLD4	15135	-2.2908153533935547	0.05219243	No	
row_118	PSMB10	15666	-2.709846019744873	0.05281742	No	
