NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DNA_METHYLATION	REACTOME_DNA_METHYLATION	Details ...	57	-0.6564373	-2.182407	0.0	0.0	0.0	3708	tags=70%, list=22%, signal=90%	
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	Details ...	61	-0.64784944	-2.1708958	0.0	0.0	0.0	3708	tags=66%, list=22%, signal=84%	
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Details ...	78	-0.6082541	-2.1080952	0.0	2.0444595E-4	0.002	3521	tags=60%, list=21%, signal=76%	
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Details ...	58	-0.64200616	-2.0986512	0.0	1.7523939E-4	0.002	3708	tags=69%, list=22%, signal=89%	
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Details ...	61	-0.6171668	-2.078887	0.0	1.5333448E-4	0.002	3858	tags=67%, list=23%, signal=87%	
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Details ...	62	-0.61128396	-2.0570877	0.0	2.0480486E-4	0.003	3708	tags=65%, list=22%, signal=83%	
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Details ...	66	-0.6103745	-2.0540726	0.0	1.8432438E-4	0.003	3708	tags=62%, list=22%, signal=80%	
REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOTIC_RECOMBINATION	Details ...	78	-0.58745	-2.0227602	0.0	2.7862086E-4	0.005	3708	tags=55%, list=22%, signal=71%	
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	Details ...	64	-0.60580206	-2.015986	0.0	2.5540244E-4	0.005	3708	tags=63%, list=22%, signal=80%	
REACTOME_HDACS_DEACETYLATE_HISTONES	REACTOME_HDACS_DEACETYLATE_HISTONES	Details ...	89	-0.56248206	-1.9645809	0.0	0.0010861545	0.023	3521	tags=53%, list=21%, signal=67%	
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Details ...	69	-0.5741532	-1.9437982	0.0	0.0017040052	0.039	3708	tags=58%, list=22%, signal=74%	
