NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	Details ...	110	0.5291466	2.683681	0.0	0.0	0.0	3466	tags=50%, list=21%, signal=63%	
REACTOME_MRNA_SPLICING	REACTOME_MRNA_SPLICING	Details ...	211	0.46613976	2.648633	0.0	0.0	0.0	5110	tags=58%, list=31%, signal=83%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	Details ...	226	0.4481678	2.6055787	0.0	0.0	0.0	4608	tags=52%, list=28%, signal=71%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	Details ...	119	0.49019033	2.5670412	0.0	0.0	0.0	3466	tags=47%, list=21%, signal=59%	
REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	Details ...	43	0.59148	2.4595985	0.0	0.0	0.0	5245	tags=70%, list=32%, signal=102%	
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	Details ...	279	0.45103937	2.4388227	0.0	0.0	0.0	5110	tags=55%, list=31%, signal=79%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	Details ...	181	0.4558934	2.4054055	0.0	4.4341374E-4	0.001	4608	tags=53%, list=28%, signal=73%	
REACTOME_CILIUM_ASSEMBLY	REACTOME_CILIUM_ASSEMBLY	Details ...	187	0.434506	2.3542469	0.0	3.8798703E-4	0.001	4435	tags=51%, list=27%, signal=69%	
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	Details ...	86	0.47525823	2.259122	0.0	0.0023412055	0.007	5908	tags=71%, list=36%, signal=110%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE	Details ...	196	0.41859978	2.237011	0.0	0.0024096165	0.008	3477	tags=44%, list=21%, signal=56%	
REACTOME_INTRAFLAGELLAR_TRANSPORT	REACTOME_INTRAFLAGELLAR_TRANSPORT	Details ...	49	0.4951621	2.2115057	0.0	0.0021905606	0.008	4435	tags=63%, list=27%, signal=86%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	Details ...	57	0.4572709	2.1558437	0.0	0.003854164	0.015	6166	tags=74%, list=37%, signal=117%	
