NAME	TITLE	SCORE	
SLC6A11		5.535913	
SORCS1		5.4564457	
CER1		4.688291	
RAI2		4.6516438	
RPSA2		4.477403	
PCP4		4.4167347	
HCG23		4.08301	
FCGR2A		4.0103917	
SLC6A1		3.9939444	
SLC15A2		3.9715974	
HMGN5		3.9480648	
TMSB15A		3.938103	
GABBR2		3.916367	
EBF2		3.898815	
SLC38A11		3.8735452	
MARVELD3		3.8080308	
KCNIP1		3.8009644	
SCRG1		3.7849498	
ZNF423		3.736727	
GRIA2		3.7197683	
TAX1BP1		3.709002	
FRMPD4		3.6995249	
TDRKH-AS1		3.6848671	
INSYN2A		3.6517513	
PLG		3.6117103	
FGF12		3.59639	
TMSB4Y		3.5757008	
MARCHF4		3.5229247	
LOC124904027		3.5051546	
PCDHGA9		3.4928546	
MYZAP		3.4602082	
REPS2		3.4459422	
LEFTY2		3.4446917	
SLC35F4		3.4195328	
LINC01670		3.3974233	
PLD5		3.3869865	
AMER2		3.3851683	
ETV1		3.3639948	
INPP5D		3.3387876	
SEPTIN7		3.3323064	
ZNF260		3.3296678	
LZTFL1		3.3187912	
PCDHA13		3.3070772	
NETO2		3.300169	
CIP2A		3.2338407	
CLYBL		3.2263067	
CTTNBP2		3.2213943	
ELFN2		3.2064977	
DDB2		3.1851563	
SOX10		3.1728325	
RPL23AP49		3.1678672	
PTPN3		3.1579993	
ICA1L		3.154655	
NUCKS1		3.1476412	
NREP		3.1289155	
CFAP210		3.1000912	
COL28A1		3.0932798	
MIR181A2HG		3.0816467	
SLC18A1		3.0742328	
PSMA5		3.0733256	
LRRTM3		3.0597553	
FEZ1		3.0470006	
SULT1C4		3.0419636	
PAX6		3.0402546	
MASP1		3.0248778	
DBF4		3.0190492	
LIX1		3.0177758	
CIMAP3		3.0172725	
ASDURF		3.0025358	
KLF8		2.9938326	
ZNF793-AS1		2.9734814	
LOC121725015		2.9710586	
PDGFRA		2.9709094	
MAEL		2.951361	
FGF1		2.9510028	
PRELP		2.9481761	
KAT2B		2.940986	
NEK3		2.9306984	
LCP2		2.9264135	
ACE2		2.9239078	
TMEM98		2.915178	
AK9		2.9051728	
TSPAN7		2.9009762	
LINC02884		2.896358	
NRAD1		2.8921275	
KLF12		2.8909307	
PON2		2.8812206	
GOLGA8S		2.8669975	
HOXA9		2.8667603	
GPLD1		2.8655932	
ATP5PB		2.856595	
SELENOP		2.8535478	
NAALADL2		2.8512118	
WNT3		2.8484998	
FABP7		2.8454227	
ZNF519		2.8414538	
ITK		2.8398514	
LMBRD1		2.8324583	
ART3		2.8248515	
RABL3		2.8131723	
SLC38A3		2.8022645	
ZMAT1		2.7974167	
ARL15		2.7950444	
LSAMP		2.794064	
EPAS1		2.7932646	
CCDC181		2.791519	
IFT88		2.791437	
HRH2		2.7834795	
MTARC1		2.7730377	
ZIC1		2.7676704	
CNTRL		2.765878	
DLGAP5		2.7538352	
SPATA6		2.7526395	
CDO1		2.7510717	
FAM200B		2.7378557	
GOLGA6L9		2.7333436	
RPE65		2.7320938	
CD200		2.7301972	
TIMMDC1		2.7245638	
GALNT1		2.7225118	
TMEM117		2.7149549	
RCHY1		2.7121105	
EIF3L		2.709861	
AP3S2		2.7065885	
PMF1-BGLAP		2.695004	
DDX5		2.6907775	
RNF141		2.688735	
ETFRF1		2.6814582	
ERMN		2.6746042	
NDUFS4		2.667435	
BLOC1S5-TXNDC5		2.6526048	
ZNF738		2.65029	
ZNF302		2.6396303	
KYAT3		2.639189	
CDC73		2.6369548	
FUNDC2		2.6313856	
BMPER		2.6214654	
ARHGEF6		2.6204383	
BCO1		2.620095	
LINC02981		2.6159124	
CACNG8		2.614187	
TRAF3IP2-AS1		2.6122663	
SORBS2		2.6100297	
GAB3		2.6065593	
SOCS2-AS1		2.599059	
CPNE4		2.596101	
CGRRF1		2.5873556	
TMSB15B		2.5855918	
ZNF83		2.5791125	
TM4SF18		2.575219	
KATNBL1		2.5742168	
FAM110C		2.5721657	
PCSK5		2.5709062	
KLRC3		2.569237	
PPP2R2B		2.564172	
LINC02328		2.5493934	
VPS41		2.5476754	
SLC1A3		2.5476575	
SLA		2.5463476	
TENM4		2.5413973	
NME5		2.5350494	
STXBP5L		2.5347252	
CDK6-AS1		2.5322194	
FAM169A		2.5297997	
PRKD3		2.5280807	
HMGB1P5		2.5217965	
FCGR2B		2.5164576	
PARP8		2.5159626	
OPCML		2.5146956	
FAXC		2.5092595	
SLC4A4		2.5087829	
ELP4		2.5041878	
PACRG		2.5029404	
TMOD4		2.4946492	
APOOL		2.4943652	
TP53INP1		2.4932144	
LANCL1		2.4914463	
SRSF5		2.4823213	
DYRK4		2.4785333	
RASSF4		2.471082	
GTF2IP1		2.470948	
ZNF415		2.47065	
